a,b,c,L,exact,degenerate,nodes,secs,word
1,2,3,50,1,1,751156,0.009,"1,0,2,0,3,2,0,1,3,2,3,0,2,0,1,0,2,0,3,2,0,1,3,2,0,3,2,3,1,3,2,3,0,2,0,1,0,2,0,3,2,0,1,3,2,3,0,2,0,1"
1,2,4,62,1,0,76391112,1.057,"0,2,0,1,2,4,0,4,1,4,2,0,1,2,4,2,1,0,1,4,1,0,2,0,1,0,2,4,2,1,0,2,4,1,4,2,4,0,4,2,4,1,2,0,2,4,1,2,1,0,2,1,2,4,0,2,4,1,4,2,0,4"
1,3,4,55,1,1,2638908,0.033,"1,0,1,4,0,3,0,1,4,1,0,1,4,3,4,1,4,0,1,0,3,0,1,0,4,1,0,3,4,1,0,4,1,4,3,4,1,4,0,1,0,3,0,1,4,1,0,1,4,3,4,0,1,4,1"
1,2,5,86,0,0,400000056,6.094,"0,2,0,5,0,1,2,5,0,5,1,0,1,2,1,0,1,5,0,1,0,2,5,1,5,2,5,0,5,2,5,1,2,0,2,5,1,5,0,1,5,2,0,1,2,1,5,1,2,0,1,0,5,0,1,0,2,0,1,5,2,1,2,0,1,5,2,5,1,5,0,2,0,1,0,2,5,2,0,2,5,1,5,2,0,2"
1,3,5,88,0,0,400000048,6.023,"1,0,5,0,3,0,5,0,1,0,3,1,0,1,5,0,3,5,1,5,0,3,0,1,0,5,1,5,3,5,0,5,3,5,1,3,5,3,0,1,5,1,3,5,1,0,5,0,3,0,5,1,0,1,3,0,1,0,5,0,3,0,5,0,1,5,1,3,1,5,0,5,3,5,1,3,1,0,1,3,5,1,5,0,5,3,1,5"
2,3,5,55,1,1,3402940,0.044,"2,0,2,5,0,3,0,2,5,2,0,2,5,3,5,2,5,0,2,0,3,0,2,0,5,2,0,3,5,2,0,5,2,5,3,5,2,5,0,2,0,3,0,2,5,2,0,2,5,3,5,0,2,5,2"
1,4,5,55,1,1,4548020,0.057,"1,0,1,5,0,4,0,1,5,1,0,1,5,4,5,1,5,0,1,0,4,0,1,0,5,1,0,4,5,1,0,5,1,5,4,5,1,5,0,1,0,4,0,1,5,1,0,1,5,4,5,0,1,5,1"
1,2,6,110,0,0,400000044,6.599,"0,1,0,6,1,6,2,0,6,0,1,0,2,0,6,2,6,1,2,6,0,2,0,1,0,6,0,1,0,2,1,0,1,6,2,0,2,1,2,6,0,6,1,6,2,1,0,2,0,6,0,1,6,0,6,2,6,1,6,2,6,0,2,1,6,0,2,6,0,6,1,2,1,0,2,1,2,6,2,0,6,2,6,1,2,0,1,6,0,1,0,2,0,1,0,6,0,2,6,2,1,0,6,0,1,0,6,2,1,0"
1,3,6,110,0,0,400000092,6.559,"0,1,0,6,0,1,0,3,6,0,6,1,0,1,3,1,6,0,1,6,3,6,0,1,0,3,6,3,1,0,1,6,0,1,0,3,0,1,0,6,0,3,6,0,6,1,0,3,0,1,0,6,1,6,3,6,1,0,6,0,3,6,0,6,1,6,3,6,1,6,0,1,3,1,6,0,6,3,0,6,0,1,3,1,6,0,1,0,3,0,1,0,6,0,3,6,3,1,6,0,6,3,1,6,1,0,6,1,6,3"
2,3,6,112,0,0,400000056,6.495,"0,2,6,2,3,6,2,6,0,2,3,0,6,0,3,2,3,6,0,3,2,6,2,0,6,2,6,3,6,2,6,0,6,3,0,3,2,6,0,6,3,6,2,0,2,6,2,0,3,0,6,0,2,3,6,3,0,6,0,2,0,3,0,2,0,6,2,0,2,3,2,6,3,0,6,3,2,6,0,2,0,3,0,6,0,2,6,0,6,3,6,2,6,3,6,0,3,2,6,2,0,6,2,6,3,0,2,3,6,2,3,0"
