# 381 normalised alphabets, maxc=18, budget=400000000, depth=4000, workers=3
0,1,2,5  L>=86 nodes=400000056 6.1s
0,1,3,5  L>=88 nodes=400000048 6.0s
0,1,2,6  L>=110 nodes=400000044 6.6s
0,1,3,6  L>=110 nodes=400000092 6.6s
0,2,3,6  L>=112 nodes=400000056 6.5s
0,1,4,6  L>=114 nodes=400000060 6.8s
0,1,2,7  L>=144 nodes=400000108 7.0s
0,1,3,7  L>=133 nodes=400000128 7.0s
0,2,3,7  L>=130 nodes=400000072 7.2s
0,1,4,7  L>=150 nodes=400000172 7.2s
0,2,4,7  L>=136 nodes=400000088 7.0s
0,1,5,7  L>=155 nodes=400000088 7.6s
0,1,2,8  L>=177 nodes=400000136 7.7s
0,1,3,8  L>=164 nodes=400000096 7.6s
0,2,3,8  L>=157 nodes=400000096 7.6s
# 25/381
0,1,4,8  L>=194 nodes=400000116 7.8s
0,3,4,8  L>=155 nodes=400000104 7.5s
0,1,5,8  L>=195 nodes=400000196 7.9s
0,2,5,8  L>=189 nodes=400000088 7.7s
0,1,6,8  L>=231 nodes=400000116 8.2s
0,1,2,9  L>=208 nodes=400000224 8.2s
0,1,3,9  L>=192 nodes=400000184 8.1s
0,2,3,9  L>=170 nodes=400000164 7.9s
0,1,4,9  L>=236 nodes=400000180 9.1s
0,2,4,9  L>=225 nodes=400000172 8.3s
0,3,4,9  L>=179 nodes=400000132 7.9s
0,1,5,9  L>=232 nodes=400000192 8.5s
0,2,5,9  L>=200 nodes=400000136 8.3s
0,3,5,9  L>=165 nodes=400000136 7.8s
0,1,6,9  L>=213 nodes=400000188 8.4s
0,2,6,9  L>=199 nodes=400000176 8.0s
0,1,7,9  L>=262 nodes=400000244 9.4s
0,1,2,10  L>=245 nodes=400000144 9.0s
0,1,3,10  L>=238 nodes=400000180 8.9s
0,2,3,10  L>=216 nodes=400000184 8.5s
# 50/381
0,1,4,10  L>=230 nodes=400000264 8.8s
0,3,4,10  L>=238 nodes=400000184 8.6s
0,1,5,10  L>=266 nodes=400000204 9.2s
0,2,5,10  L>=262 nodes=400000168 8.9s
0,3,5,10  L>=237 nodes=400000176 8.6s
0,4,5,10  L>=234 nodes=400000184 8.6s
0,1,6,10  L>=290 nodes=400000304 9.9s
0,3,6,10  L>=232 nodes=400000248 8.5s
0,1,7,10  L>=275 nodes=400000272 9.3s
0,2,7,10  L>=283 nodes=400000284 9.5s
0,1,8,10  L>=353 nodes=400000448 10.9s
0,1,2,11  L>=285 nodes=400000172 9.1s
0,1,3,11  L>=288 nodes=400000208 9.4s
0,2,3,11  L>=268 nodes=400000180 9.3s
0,1,4,11  L>=336 nodes=400000220 10.6s
0,2,4,11  L>=260 nodes=400000168 9.3s
0,3,4,11  L>=310 nodes=400000172 9.8s
0,1,5,11  L>=354 nodes=400000296 10.5s
0,2,5,11  L>=269 nodes=400000316 9.1s
0,3,5,11  L>=292 nodes=400000328 9.8s
0,4,5,11  L>=257 nodes=400000208 8.9s
0,1,6,11  L>=283 nodes=400000300 9.9s
0,2,6,11  L>=272 nodes=400000140 9.5s
# 75/381
0,3,6,11  L>=260 nodes=400000268 9.2s
0,4,6,11  L>=241 nodes=400000284 9.0s
0,1,7,11  L>=400 nodes=400000344 10.8s
0,2,7,11  L>=332 nodes=400000304 10.7s
0,3,7,11  L>=290 nodes=400000220 9.4s
0,1,8,11  L>=336 nodes=400000316 10.9s
0,2,8,11  L>=331 nodes=400000196 9.8s
0,1,9,11  L>=406 nodes=400000528 12.3s
0,1,2,12  L>=318 nodes=400000280 9.9s
0,1,3,12  L>=352 nodes=400000360 11.0s
0,2,3,12  L>=326 nodes=400000348 11.0s
0,1,4,12  L>=330 nodes=400000252 10.7s
0,3,4,12  L>=346 nodes=400000304 10.5s
0,1,5,12  L>=350 nodes=400000396 11.3s
0,2,5,12  L>=327 nodes=400000372 11.5s
0,3,5,12  L>=347 nodes=400000340 11.2s
0,4,5,12  L>=290 nodes=400000228 9.8s
0,1,6,12  L>=325 nodes=400000336 10.0s
0,5,6,12  L>=321 nodes=400000204 9.9s
0,1,7,12  L>=427 nodes=400000536 12.6s
# 100/381
0,2,7,12  L>=322 nodes=400000316 10.5s
0,3,7,12  L>=321 nodes=400000368 11.4s
0,4,7,12  L>=306 nodes=400000268 10.0s
0,1,8,12  L>=365 nodes=400000368 11.7s
0,3,8,12  L>=333 nodes=400000288 11.2s
0,1,9,12  L>=452 nodes=400000372 12.8s
0,2,9,12  L>=434 nodes=400000488 14.1s
0,1,10,12  L>=457 nodes=400000604 14.7s
0,1,2,13  L>=337 nodes=400000304 9.8s
0,1,3,13  L>=413 nodes=400000448 13.2s
0,2,3,13  L>=360 nodes=400000456 12.8s
0,1,4,13  L>=404 nodes=400000504 13.2s
0,2,4,13  L>=314 nodes=400000392 10.2s
0,3,4,13  L>=361 nodes=400000428 11.4s
0,1,5,13  L>=397 nodes=400000512 13.8s
0,2,5,13  L>=390 nodes=400000244 11.2s
0,3,5,13  L>=370 nodes=400000356 11.6s
0,4,5,13  L>=341 nodes=400000352 11.3s
0,1,6,13  L>=405 nodes=400000504 12.7s
0,2,6,13  L>=373 nodes=400000252 11.3s
0,3,6,13  L>=315 nodes=400000224 10.0s
0,4,6,13  L>=333 nodes=400000392 11.3s
0,5,6,13  L>=393 nodes=400000484 12.3s
# 125/381
0,1,7,13  L>=342 nodes=400000404 11.1s
0,2,7,13  L>=350 nodes=400000424 11.8s
0,3,7,13  L>=356 nodes=400000380 12.5s
0,4,7,13  L>=363 nodes=400000268 10.6s
0,5,7,13  L>=322 nodes=400000248 10.3s
0,1,8,13  L>=422 nodes=400000504 13.7s
0,2,8,13  L>=442 nodes=400000492 13.8s
0,3,8,13  L>=315 nodes=400000332 10.5s
0,4,8,13  L>=334 nodes=400000252 10.3s
0,1,9,13  L>=571 nodes=400000704 14.2s
0,2,9,13  L>=449 nodes=400000528 13.5s
0,3,9,13  L>=439 nodes=400000332 12.8s
0,1,10,13  L>=490 nodes=400000628 15.4s
0,2,10,13  L>=477 nodes=400000580 14.6s
0,1,11,13  L>=482 nodes=400000624 15.5s
0,1,2,14  L>=379 nodes=400000344 10.7s
0,1,3,14  L>=506 nodes=400000660 15.5s
0,2,3,14  L>=444 nodes=400000552 13.9s
0,1,4,14  L>=492 nodes=400000592 15.2s
# 150/381
0,3,4,14  L>=411 nodes=400000496 13.4s
0,1,5,14  L>=477 nodes=400000628 14.4s
0,2,5,14  L>=515 nodes=400000696 14.1s
0,3,5,14  L>=442 nodes=400000500 13.3s
0,4,5,14  L>=488 nodes=400000408 12.9s
0,1,6,14  L>=532 nodes=400000644 15.7s
0,3,6,14  L>=321 nodes=400000168 10.5s
0,5,6,14  L>=378 nodes=400000284 11.1s
0,1,7,14  L>=350 nodes=400000464 11.2s
0,2,7,14  L>=350 nodes=400000388 11.3s
0,3,7,14  L>=350 nodes=400000408 11.2s
0,4,7,14  L>=349 nodes=400000304 11.0s
0,5,7,14  L>=349 nodes=400000440 10.8s
0,6,7,14  L>=347 nodes=400000324 10.6s
0,1,8,14  L>=547 nodes=400000744 15.4s
0,3,8,14  L>=484 nodes=400000608 13.2s
0,5,8,14  L>=332 nodes=400000416 11.7s
0,1,9,14  L>=519 nodes=400000612 14.9s
0,2,9,14  L>=545 nodes=400000416 13.8s
0,3,9,14  L>=361 nodes=400000412 12.5s
0,4,9,14  L>=341 nodes=400000256 10.5s
0,1,10,14  L>=600 nodes=400000612 16.4s
0,3,10,14  L>=441 nodes=400000424 12.8s
0,1,11,14  L>=573 nodes=400000724 17.0s
# 175/381
0,2,11,14  L>=481 nodes=400000616 15.2s
0,1,12,14  L>=503 nodes=400000660 15.9s
0,1,2,15  L>=378 nodes=400000396 11.1s
0,1,3,15  L>=431 nodes=400000556 13.4s
0,2,3,15  L>=414 nodes=400000552 13.6s
0,1,4,15  L>=552 nodes=400000696 15.0s
0,2,4,15  L>=371 nodes=400000328 11.0s
0,3,4,15  L>=547 nodes=400000672 16.5s
0,1,5,15  L>=460 nodes=400000576 14.6s
0,2,5,15  L>=580 nodes=400000668 16.3s
0,3,5,15  L>=451 nodes=400000556 13.7s
0,4,5,15  L>=437 nodes=400000484 13.0s
0,1,6,15  L>=557 nodes=400000780 17.0s
0,2,6,15  L>=462 nodes=400000616 14.2s
0,4,6,15  L>=397 nodes=400000392 12.5s
0,5,6,15  L>=393 nodes=400000468 12.5s
0,1,7,15  L>=498 nodes=400000668 16.0s
0,2,7,15  L>=527 nodes=400000736 16.5s
0,3,7,15  L>=538 nodes=400000588 14.5s
0,4,7,15  L>=454 nodes=400000532 13.0s
0,5,7,15  L>=501 nodes=400000396 13.2s
0,6,7,15  L>=396 nodes=400000488 13.4s
0,1,8,15  L>=341 nodes=400000428 10.5s
# 200/381
0,2,8,15  L>=522 nodes=400000656 15.5s
0,3,8,15  L>=513 nodes=400000744 15.0s
0,4,8,15  L>=349 nodes=400000172 11.5s
0,5,8,15  L>=525 nodes=400000432 14.3s
0,6,8,15  L>=449 nodes=400000568 14.3s
0,1,9,15  L>=455 nodes=400000468 14.3s
0,2,9,15  L>=543 nodes=400000548 13.8s
0,4,9,15  L>=440 nodes=400000504 14.3s
0,5,9,15  L>=453 nodes=400000652 15.1s
0,1,10,15  L>=447 nodes=400000608 14.6s
0,2,10,15  L>=543 nodes=400000676 16.5s
0,3,10,15  L>=382 nodes=400000516 13.3s
0,4,10,15  L>=419 nodes=400000392 12.6s
0,1,11,15  L>=698 nodes=400000872 18.1s
0,2,11,15  L>=479 nodes=400000584 14.8s
0,3,11,15  L>=506 nodes=400000512 13.9s
0,1,12,15  L>=789 nodes=400001016 21.7s
0,2,12,15  L>=612 nodes=400000784 17.4s
0,1,13,15  L>=811 nodes=400001116 24.5s
0,1,2,16  L>=381 nodes=400000428 12.3s
0,1,3,16  L>=568 nodes=400000744 16.7s
# 225/381
0,2,3,16  L>=510 nodes=400000660 14.9s
0,1,4,16  L>=546 nodes=400000676 16.4s
0,3,4,16  L>=435 nodes=400000596 14.6s
0,1,5,16  L>=577 nodes=400000768 17.6s
0,2,5,16  L>=575 nodes=400000768 15.4s
