n,a_max,num_anomalous_a,floor_1e9_rho
3,1,1,1500000000
4,2,1,1200000000
5,2,1,1428571428
6,2,1,1071428571
7,3,1,1325757575
8,3,1,1174825174
9,4,1,1233566433
10,4,1,1209378856
11,5,1,1155275065
12,5,1,1212533596
13,6,2,1088937176
14,6,1,1200553237
15,6,2,1070452132
16,7,1,1181188559
17,7,1,1101172560
18,8,1,1158376329
19,8,1,1119079974
20,9,1,1134202676
21,9,1,1128143901
22,10,1,1109800098
23,10,1,1131027869
24,11,2,1085786754
25,11,1,1129554537
26,12,2,1062493785
27,12,1,1124993420
28,12,2,1056339635
29,13,1,1118242615
30,13,2,1069162944
31,14,1,1109946064
32,14,1,1078271829
33,15,1,1100570784
34,15,1,1084389368
35,16,1,1090458712
36,16,1,1088088150
37,17,1,1079862131
38,17,1,1089824516
39,18,2,1068968266
40,18,1,1089964423
41,19,2,1057916613
42,19,1,1088803067
43,20,2,1046811309
44,20,1,1086579876
45,20,2,1044015919
46,21,1,1083490036
47,21,2,1050500622
48,22,1,1079693419
49,22,2,1055578629
50,23,1,1075321533
51,23,2,1059436101
52,24,1,1070482979
53,24,1,1062232809
54,25,1,1065267760
55,25,1,1064106253
56,26,2,1059750702
57,26,1,1065175080
58,27,2,1053994184
59,27,1,1065541936
60,28,2,1048050337
61,28,1,1065295845
62,29,2,1041962817
63,29,1,1064514202
64,30,2,1035768240
65,30,1,1063264450
66,30,2,1034263553
67,31,1,1061605484
68,31,2,1037974344
69,32,1,1059588844
70,32,2,1041049557
71,33,1,1057259723
72,33,2,1043549821
73,34,1,1054657821
74,34,2,1045529575
75,35,1,1051818071
76,35,1,1047037760
77,36,1,1048771266
78,36,1,1048118436
79,37,2,1045544591
80,37,1,1048811322
81,38,2,1042162077
82,38,1,1049152264
83,39,2,1038644995
84,39,1,1049173661
85,40,2,1035012198
86,40,1,1048904824
87,41,2,1031280415
88,41,1,1048372307
89,42,2,1027464500
90,42,1,1047600192
91,42,2,1026561851
92,43,1,1046610341
93,43,2,1028876301
94,44,1,1045422626
95,44,2,1030865599
96,45,1,1044055125
97,45,2,1032553113
98,46,1,1042524302
99,46,2,1033960414
100,47,1,1040845165
101,47,2,1035107431
102,48,1,1039031405
103,48,1,1036012588
