n,a_n,x_star,delta_n,floor_1e9_rho,anomaly
370,179,6.5553,0.5553,1001291743,1
371,179,6.5645,0.0645,1005177161,1
372,180,6.5737,0.5737,1000856452,1
373,180,6.5828,0.0828,1005112380,1
374,181,6.5920,0.5920,1000411636,1
375,181,6.6011,0.1011,1005033940,1
376,182,6.6102,0.6102,999957542,0
377,182,6.6193,0.1193,1004942137,1
378,182,6.6284,0.3716,999858654,0
379,183,6.6375,0.1375,1004837263,1
380,183,6.6466,0.3534,1000137291,1
381,184,6.6556,0.1556,1004719599,1
382,184,6.6647,0.3353,1000399318,1
383,185,6.6737,0.1737,1004589425,1
384,185,6.6827,0.3173,1000645056,1
385,186,6.6917,0.1917,1004447012,1
386,186,6.7007,0.2993,1000874815,1
387,187,6.7097,0.2097,1004292624,1
388,187,6.7187,0.2813,1001088905,1
389,188,6.7276,0.2276,1004126522,1
390,188,6.7366,0.2634,1001287623,1
391,189,6.7455,0.2455,1003948959,1
392,189,6.7545,0.2455,1001471266,1
393,190,6.7634,0.2634,1003760185,1
394,190,6.7723,0.2277,1001640120,1
395,191,6.7812,0.2812,1003560441,1
396,191,6.7901,0.2099,1001794469,1
397,192,6.7989,0.2989,1003349966,1
398,192,6.8078,0.1922,1001934590,1
399,193,6.8166,0.3166,1003128993,1
400,193,6.8255,0.1745,1002060754,1
401,194,6.8343,0.3343,1002897749,1
402,194,6.8431,0.1569,1002173226,1
403,195,6.8519,0.3519,1002656457,1
404,195,6.8607,0.1393,1002272267,1
405,196,6.8695,0.3695,1002405336,1
406,196,6.8783,0.1217,1002358133,1
407,197,6.8871,0.3871,1002144597,1
408,197,6.8958,0.1042,1002431074,1
409,198,6.9045,0.4045,1001874451,1
410,198,6.9133,0.0867,1002491335,1
411,199,6.9220,0.4220,1001595102,1
412,199,6.9307,0.0693,1002539157,1
413,200,6.9394,0.4394,1001306749,1
414,200,6.9481,0.0519,1002574776,1
415,201,6.9568,0.4568,1001009588,1
416,201,6.9654,0.0346,1002598423,1
417,202,6.9741,0.4741,1000703812,1
418,202,6.9827,0.0173,1002610324,1
419,203,6.9914,0.4914,1000389607,1
420,203,7.0000,0.0000,1002610702,1
421,204,7.0086,0.5086,1000067158,1
422,204,7.0172,0.0172,1002599774,1
423,205,7.0258,0.5258,999736644,0
424,205,7.0344,0.0344,1002577754,1
425,206,7.0430,0.5430,999398241,0
426,206,7.0515,0.0515,1002544852,1
427,207,7.0601,0.5601,999052122,0
428,207,7.0686,0.0686,1002501273,1
429,208,7.0772,0.5772,998698455,0
430,208,7.0857,0.0857,1002447218,1
431,209,7.0942,0.5942,998337406,0
432,209,7.1027,0.1027,1002382885,1
433,210,7.1112,0.6112,997969136,0
434,210,7.1197,0.1197,1002308468,1
435,210,7.1282,0.3718,997889388,0
436,211,7.1366,0.1366,1002224157,1
437,211,7.1451,0.3549,998115252,0
438,212,7.1535,0.1535,1002130138,1
439,212,7.1620,0.3380,998328711,0
440,213,7.1704,0.1704,1002026593,1
441,213,7.1788,0.3212,998529973,0
442,214,7.1872,0.1872,1001913703,1
443,214,7.1956,0.3044,998719243,0
444,215,7.2040,0.2040,1001791642,1
445,215,7.2124,0.2876,998896723,0
446,216,7.2208,0.2208,1001660585,1
447,216,7.2291,0.2709,999062611,0
448,217,7.2375,0.2375,1001520699,1
449,217,7.2458,0.2542,999217100,0
450,218,7.2542,0.2542,1001372152,1
451,218,7.2625,0.2375,999360381,0
452,219,7.2708,0.2708,1001215105,1
453,219,7.2791,0.2209,999492643,0
454,220,7.2874,0.2874,1001049719,1
455,220,7.2957,0.2043,999614069,0
456,221,7.3040,0.3040,1000876151,1
457,221,7.3122,0.1878,999724839,0
458,222,7.3205,0.3205,1000694555,1
459,222,7.3288,0.1712,999825133,0
460,223,7.3370,0.3370,1000505081,1
461,223,7.3452,0.1548,999915124,0
462,224,7.3535,0.3535,1000307878,1
463,224,7.3617,0.1383,999994984,0
464,225,7.3699,0.3699,1000103092,1
465,225,7.3781,0.1219,1000064882,1
466,226,7.3863,0.3863,999890864,0
467,226,7.3944,0.1056,1000124983,1
468,227,7.4026,0.4026,999671336,0
469,227,7.4108,0.0892,1000175451,1
470,228,7.4189,0.4189,999444645,0
471,228,7.4271,0.0729,1000216445,1
472,229,7.4352,0.4352,999210926,0
473,229,7.4433,0.0567,1000248123,1
474,230,7.4515,0.4515,998970310,0
475,230,7.4596,0.0404,1000270639,1
476,231,7.4677,0.4677,998722929,0
477,231,7.4758,0.0242,1000284145,1
478,232,7.4839,0.4839,998468910,0
479,232,7.4919,0.0081,1000288791,1
480,233,7.5000,0.5000,998208378,0
481,233,7.5081,0.0081,1000284723,1
482,234,7.5161,0.5161,997941456,0
483,234,7.5242,0.0242,1000272085,1
484,235,7.5322,0.5322,997668265,0
485,235,7.5402,0.0402,1000251019,1
486,236,7.5482,0.5482,997388924,0
487,236,7.5562,0.0562,1000221665,1
488,237,7.5642,0.5642,997103549,0
489,237,7.5722,0.0722,1000184160,1
490,238,7.5802,0.5802,996812254,0
491,238,7.5882,0.0882,1000138637,1
492,239,7.5962,0.5962,996515151,0
493,239,7.6041,0.1041,1000085231,1
494,240,7.6121,0.6121,996212351,0
495,240,7.6200,0.1200,1000024070,1
496,240,7.6280,0.3720,996147103,0
497,241,7.6359,0.1359,999955284,0
498,241,7.6438,0.3562,996332712,0
499,242,7.6517,0.1517,999878997,0
500,242,7.6596,0.3404,996508873,0
