k,omega,factors,E_heuristic,observed,decided
4,2,3*5,2.67,1,decided
5,1,mersenne-prime,0,0,theorem
6,2,3*7,1.09,0,decided
7,1,mersenne-prime,0,0,theorem
8,3,3*5*17,0.0462,0,decided
9,2,7*73,0.996,1,decided
10,3,3*11*31,0.0886,0,decided
11,2,23*89,1.97,1,decided
12,4,3*5*7*13,0.202,0,decided
13,1,mersenne-prime,0,0,theorem
14,3,3*43*127,0.0088,0,decided
15,3,7*31*151,0.0268,0,decided
16,4,3*5*17*257,0.00312,0,decided
17,1,mersenne-prime,0,0,theorem
18,4,3*7*19*73,1.45e-05,0,decided
19,1,mersenne-prime,0,0,theorem
20,5,3*5*11*31*41,2.87e-06,0,decided
21,3,7*127*337,0.000302,0,decided
22,4,3*23*89*683,0.013,0,decided
23,2,47*178481,0.68,0,decided
24,6,3*5*7*13*17*241,8.23e-09,0,decided
25,3,31*601*1801,0.0106,0,decided
26,3,3*2731*8191,6.02e-07,0,decided
27,3,7*73*262657,0.000441,0,decided
28,6,3*5*29*43*113*127,1.37e-14,0,decided
29,3,233*1103*2089,0.00176,0,decided
30,6,3*7*11*31*151*331,1.09e-12,0,decided
31,1,mersenne-prime,0,0,theorem
32,5,3*5*17*257*65537,5.63e-08,0,decided
33,4,7*23*89*599479,6.58e-06,0,decided
34,3,3*43691*131071,8.95e-09,0,decided
35,4,31*71*127*122921,2.77e-11,0,decided
36,8,3*5*7*13*19*37*73*109,9.66e-21,0,decided
37,2,223*616318177,0.407,0,decided
38,3,3*174763*524287,1.68e-09,0,decided
39,4,7*79*8191*121369,9.95e-13,0,decided
40,7,3*5*11*17*31*41*61681,6.21e-16,0,decided
41,2,13367*164511353,0.551,1,decided
42,6,3*7*43*127*337*5419,4.3e-16,0,decided
43,3,431*9719*2099863,0.0557,0,decided
44,7,3*5*23*89*397*683*2113,7.33e-20,0,decided
45,6,7*31*73*151*631*23311,1.66e-15,0,undecided-levels
46,4,3*47*178481*2796203,1.69e-11,0,decided
47,3,2351*4513*13264529,0.0432,0,decided
48,9,3*5*7*13*17*97*241*257*673,1.94e-33,0,decided
49,2,127*4432676798593,3.65e-05,0,decided
50,7,3*11*31*251*601*1801*4051,2.12e-18,0,undecided-levels
51,5,7*103*2143*11119*131071,2.17e-18,0,decided
52,7,3*5*53*157*1613*2731*8191,1.28e-26,0,decided
53,3,6361*69431*20394401,0.026,0,undecided-levels
54,6,3*7*19*73*87211*262657,5.83e-26,0,decided
55,6,23*31*89*881*3191*201961,3.29e-12,0,undecided-levels
56,8,3*5*17*29*43*113*127*15790321,1.5e-29,0,undecided-levels
57,4,7*32377*524287*1212847,3.5e-17,0,decided
58,6,3*59*233*1103*2089*3033169,5.08e-18,0,undecided-levels
59,2,179951*3203431780337,0.444,0,decided
60,11,3*5*7*11*13*31*41*61*151*331*1321,6.68e-46,0,undecided-levels
61,1,mersenne-prime,0,0,theorem
62,3,3*715827883*2147483647,4.22e-17,0,decided
63,6,7*73*127*337*92737*649657,4.38e-16,0,undecided-levels
64,7,3*5*17*257*641*65537*6700417,9.73e-27,0,undecided-levels
67,2,193707721*761838257287,1.85,1,decided
83,2,167*57912614113275649087721,0.000882,0,decided
97,2,11447*13842607235828485645766393,0.0023,0,decided
101,2,7432339208719*341117531003194129,0.778,?,undecided(min-dom 7.4e12 beyond enumeration)
103,2,2550183799*3976656429941438590393,0.238,0,decided
109,2,745988807*870035986098720987332873,0.62,0,decided
131,2,263*10350794431055162386718619237468234569,1.52e-07,?,undecided(n exceeds u128)
