# family,n,g,imax_swept,status,hits
2^4,16,3,3,complete,"[('EXC', 16, 2, 6)]"
2^5,32,1,1,complete,"[]"
2^6,64,3,3,complete,"[]"
2^7,128,1,1,complete,"[]"
2^8,256,5,5,complete,"[]"
2^9,512,3,3,complete,"[('EXC', 512, 2, 147)]"
2^10,1024,3,3,complete,"[]"
2^11,2048,9,9,complete,"[('EXC', 2048, 2, 713)]"
2^12,4096,3,3,complete,"[]"
2^13,8192,1,1,complete,"[]"
2^14,16384,3,3,complete,"[]"
2^15,32768,19,19,complete,"[]"
2^16,65536,15,15,complete,"[]"
2^17,131072,1,1,complete,"[]"
2^18,262144,5,5,complete,"[]"
2^19,524288,1,1,complete,"[]"
2^20,1048576,3,3,complete,"[]"
2^21,2097152,9,9,complete,"[]"
2^22,4194304,3,3,complete,"[]"
2^23,8388608,15,15,complete,"[]"
2^24,16777216,3,3,complete,"[]"
2^25,33554432,39,39,complete,"[]"
2^26,67108864,5,5,complete,"[]"
2^27,134217728,39,39,complete,"[]"
2^28,268435456,57,57,complete,"[]"
2^29,536870912,3,3,complete,"[]"
2^30,1073741824,35,35,complete,"[]"
2^31,2147483648,1,1,complete,"[]"
2^32,4294967296,5,5,complete,"[]"
2^33,8589934592,9,9,complete,"[]"
2^34,17179869184,41,41,complete,"[]"
2^35,34359738368,31,31,complete,"[]"
2^36,68719476736,5,5,complete,"[]"
2^37,137438953472,25,25,complete,"[]"
2^38,274877906944,45,45,complete,"[]"
2^39,549755813888,7,7,complete,"[]"
2^40,1099511627776,87,87,complete,"[]"
2^41,2199023255552,21,21,complete,"[('EXC', 2199023255552, 2, 285920731515)]"
2^42,4398046511104,11,11,complete,"[]"
2^43,8796093022208,57,57,complete,"[]"
2^44,17592186044416,17,17,complete,"[]"
2^45,35184372088832,55,55,complete,"[('UNK', 35184372088832, 2, 0), ('UNK', 35184372088832, 3, 0), ('UNK', 35184372088832, 4, 0)]"
2^46,70368744177664,21,21,complete,"[]"
2^47,140737488355328,115,115,complete,"[]"
2^48,281474976710656,59,59,complete,"[]"
2^49,562949953421312,81,81,complete,"[]"
2^50,1125899906842624,27,27,complete,"[('UNK', 1125899906842624, 2, 0)]"
2^51,2251799813685248,129,129,complete,"[]"
2^52,4503599627370496,47,47,complete,"[]"
2^53,9007199254740992,111,111,complete,"[('UNK', 9007199254740992, 2, 0)]"
2^54,18014398509481984,33,33,complete,"[('UNK', 18014398509481984, 3, 0)]"
2^55,36028797018963968,55,55,complete,"[('UNK', 36028797018963968, 2, 0), ('UNK', 36028797018963968, 3, 0), ('UNK', 36028797018963968, 4, 0), ('UNK', 36028797018963968, 5, 0)]"
2^56,72057594037927936,5,5,complete,"[('UNK', 72057594037927936, 2, 0), ('UNK', 72057594037927936, 3, 0), ('UNK', 72057594037927936, 4, 0), ('UNK', 72057594037927936, 5, 0)]"
2^57,144115188075855872,13,13,complete,"[]"
2^58,288230376151711744,27,27,complete,"[('UNK', 288230376151711744, 2, 0)]"
2^59,576460752303423488,55,55,complete,"[]"
2^60,1152921504606846976,93,93,complete,"[('UNK', 1152921504606846976, 2, 0)]"
2^61,2305843009213693952,1,1,complete,"[]"
2^62,4611686018427387904,57,57,complete,"[]"
2^63,9223372036854775808,25,25,complete,"[('UNK', 9223372036854775808, 2, 0)]"
2^64,18446744073709551616,59,59,complete,"[('UNK', 18446744073709551616, 2, 0), ('UNK', 18446744073709551616, 3, 0)]"
3^2+1,10,3,3,complete,"[('EXC', 10, 3, 5)]"
3^3+1,28,5,5,complete,"[('EXC', 28, 3, 14), ('EXC', 28, 5, 14)]"
3^4+1,82,3,3,complete,"[]"
3^5+1,244,3,3,complete,"[('EXC', 244, 3, 122)]"
3^6+1,730,3,3,complete,"[]"
3^7+1,2188,9,9,complete,"[('EXC', 2188, 3, 1094)]"
3^8+1,6562,9,9,complete,"[]"
3^9+1,19684,3,3,complete,"[]"
3^10+1,59050,21,21,complete,"[]"
3^11+1,177148,17,17,complete,"[]"
3^12+1,531442,59,59,complete,"[]"
3^13+1,1594324,23,23,complete,"[('EXC', 1594324, 3, 797162)]"
3^14+1,4782970,9,9,complete,"[]"
3^15+1,14348908,17,17,complete,"[]"
3^16+1,43046722,99,99,complete,"[]"
3^17+1,129140164,11,11,complete,"[]"
3^18+1,387420490,11,11,complete,"[]"
3^19+1,1162261468,15,15,complete,"[]"
3^20+1,3486784402,9,9,complete,"[]"
3^21+1,10460353204,5,5,complete,"[]"
3^22+1,31381059610,3,3,complete,"[]"
3^23+1,94143178828,21,21,complete,"[]"
3^24+1,282429536482,29,29,complete,"[]"
3^25+1,847288609444,21,21,complete,"[]"
3^26+1,2541865828330,21,21,complete,"[]"
3^27+1,7625597484988,27,27,complete,"[]"
3^28+1,22876792454962,23,23,complete,"[]"
3^29+1,68630377364884,15,15,complete,"[]"
3^30+1,205891132094650,27,27,complete,"[]"
3^31+1,617673396283948,5,5,complete,"[]"
3^32+1,1853020188851842,35,35,complete,"[]"
3^33+1,5559060566555524,53,53,complete,"[]"
3^34+1,16677181699666570,57,57,complete,"[]"
3^35+1,50031545098999708,29,29,complete,"[]"
3^36+1,150094635296999122,11,11,complete,"[]"
3^37+1,450283905890997364,3,3,complete,"[('UNK', 450283905890997364, 1, 0)]"
3^38+1,1350851717672992090,11,11,complete,"[]"
3^39+1,4052555153018976268,59,59,complete,"[('UNK', 4052555153018976268, 1, 0)]"
3^40+1,12157665459056928802,39,39,complete,"[]"
