# odd primes <= 489938: 40759  (0.0s)
  at x=1.000e+10 unseen: k31:20394205 k32:418561210 k33:2681600699   [sieve 93s track 303s]
  at x=2.000e+10 unseen: k31:193704 k32:40797372 k33:837155728   [sieve 194s track 606s]
  at x=3.000e+10 unseen: k31:1870 k32:3977050 k33:261357751   [sieve 279s track 900s]
  at x=4.000e+10 unseen: k31:24 k32:388265 k33:81619786   [sieve 366s track 1195s]
# k=31: N_k = 43901697682  last pattern code = 1784492180  (1718s)
  at x=5.000e+10 unseen: k32:37700 k33:25477787   [sieve 451s track 1489s]
  at x=6.000e+10 unseen: k32:3718 k33:7956803   [sieve 536s track 1775s]
  at x=7.000e+10 unseen: k32:360 k33:2483243   [sieve 619s track 2058s]
  at x=8.000e+10 unseen: k32:34 k33:775302   [sieve 702s track 2340s]
  at x=9.000e+10 unseen: k32:3 k33:241862   [sieve 786s track 2624s]
# k=32: N_k = 99494377311  last pattern code = 2930773200  (3774s)
  at x=1.000e+11 unseen: k33:75925   [sieve 871s track 2913s]
  at x=1.100e+11 unseen: k33:23661   [sieve 959s track 3201s]
  at x=1.200e+11 unseen: k33:7400   [sieve 1045s track 3486s]
  at x=1.300e+11 unseen: k33:2332   [sieve 1130s track 3774s]
  at x=1.400e+11 unseen: k33:691   [sieve 1217s track 4063s]
  at x=1.500e+11 unseen: k33:241   [sieve 1302s track 4348s]
  at x=1.600e+11 unseen: k33:78   [sieve 1388s track 4636s]
  at x=1.700e+11 unseen: k33:24   [sieve 1475s track 4925s]
  at x=1.800e+11 unseen: k33:4   [sieve 1563s track 5214s]
  at x=1.900e+11 unseen: k33:1   [sieve 1648s track 5500s]
# k=33: N_k = 196202853829  last pattern code = 3712643644  (7387s)
# done 7386.6s (sieve 1701s, track 5677s)
