x,Lx,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,U2,U4,U6,U8,U10,U12,U14,U16,U18,U20,U22,U24,U26,U28,U30,U32,T012,T024,T013,Q0123,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254,c255
500000,-386,36,-646,-196,226,162,428,294,44,430,-420,198,-462,138,86,-222,420,308,6,-1118,-510,-4,-112,486,-360,-82,1646,1238,-300,764,-434,-568,366,88,-6,242,-20,-310,-520,-296,700,36,-240,-422,-88,966,-238,42,204,-8,826,254,1046,1894,1943,1971,1923,1935,1997,1991,1913,1931,1909,2010,1967,1890,2046,1930,1901,1950,1919,1934,1907,1963,1993,1896,1973,1888,2003,2027,2016,1941,1891,1922,1910,1933,1982,1912,1968,1956,1920,1940,1920,1950,1928,1928,1943,1947,1944,1953,1986,1928,1937,1974,2035,2022,1986,2037,1913,2002,1937,1864,1969,2026,1918,2012,1864,1940,1973,1929,1953,1931,1922,1982,1947,1996,1873,1922,1989,1954,1908,1928,1989,1957,1964,1961,1935,1924,1985,1950,1971,1894,1961,1928,1940,1981,1936,1975,1964,1962,1934,1904,1878,2003,1898,1982,2031,1988,1987,2042,1934,1952,1984,1926,1956,1931,1995,1944,2024,1863,1949,1902,1976,1985,1981,1968,1894,2026,1969,1894,1966,1943,1951,1961,1981,1905,1980,1945,1918,1938,1932,1946,1902,2001,1997,1902,1931,1965,1961,1942,1953,1915,1878,1995,1966,1977,2006,1981,1934,1998,1942,2022,1966,1980,1900,1941,1961,1913,1991,1922,1997,1971,1968,1981,1978,1908,1924,1964,1953,1968,1845,1927,1978,1953,1990,1899,1969,1923,2031,1948,1909,1940,1944,1983,1996,1954,1969,1956,1910,1939,1926,2016,1886,1930,2022,1871,1972,2029,2007,2012,1999,1923,1938,1943,1984,2015,1974,1883,1946,1919,1944,2015,1928,1973,1921,1909,2015,1961,1932,1961,2024,1949,1945,2054,1980,1873,1940,1947,1895,1911,1959,1968,1968,1962,1990,1950,2010,1950,1893,1968,1960,1967,1979,1875,2034,1920,1940,1966,1944
1000000,-530,-1108,68,-424,-706,132,174,284,-110,990,102,-776,-170,-826,-16,184,610,-108,742,-1592,-938,618,296,-366,-858,152,944,774,-254,1438,318,296,26,32,-60,370,-336,-60,-598,-310,566,312,-518,98,-396,806,-340,540,-394,-198,1704,1254,-148,3820,3886,3949,3782,3910,3894,3898,3872,3941,3831,3960,3879,3767,4009,3825,3914,3853,3937,3892,3869,3922,3971,3856,3861,3810,3926,4028,3964,3818,3845,3942,3877,3917,3871,3856,3971,3916,3874,3915,3886,3941,3795,3912,3946,3857,3877,3906,3943,3850,3868,3922,3894,4018,3931,4045,3849,3925,3853,3779,3953,4008,3921,3979,3772,3884,3993,3899,3889,3902,3881,3994,3895,3962,3840,3864,3981,3907,3905,3878,3964,3941,3921,3890,3893,3888,3965,3955,3981,3855,3841,3913,3845,3917,3911,3961,3929,3832,3901,3876,3838,3936,3759,3799,3938,3995,3999,4021,3881,3815,4104,3886,3890,3822,3970,3919,3955,3800,3890,3841,3957,3885,4054,3961,3867,4007,3935,3864,3836,3886,3845,3855,3988,3862,3945,3878,3867,3849,3930,3933,3838,3969,3983,3838,3905,3935,3890,3898,3932,3814,3887,3878,3988,3908,3890,3921,3930,3960,3887,3987,3874,3960,3917,3927,3918,3886,3971,3897,3956,3921,3988,3941,3990,3839,3881,3921,3947,3883,3846,3773,3843,3976,3971,3874,3927,3867,4021,3911,3845,3931,3907,3963,3928,3847,3850,3908,3856,3877,3890,3958,3848,3863,3990,3837,3885,3891,3946,3969,3897,3936,3924,3967,3960,4021,3966,3766,3887,3874,3775,4034,3956,3971,3845,3877,3962,3865,3863,3891,3968,3917,3963,4038,3928,3865,3928,3966,3772,3834,3886,3930,3949,3906,3889,3961,4011,3993,3848,3879,3922,3910,3918,3880,3934,3821,3879,3836,3806
1500000,-1262,-360,-774,158,44,-2,-404,-308,-156,294,-396,-1390,-788,-710,860,268,1506,-478,516,-1376,-696,798,-1528,-828,382,22,-34,1664,-458,1160,326,966,-368,164,380,-414,-210,-200,-1478,236,1052,100,-808,-466,550,142,-480,454,-1202,-508,2728,1528,108,5736,5815,5860,5796,5890,5796,5845,5872,5884,5767,5867,5807,5732,5961,5769,5875,5772,5905,5865,5809,5843,5881,5828,5772,5725,5909,5932,5972,5720,5811,5954,5807,5926,5811,5802,5921,5913,5777,5822,5897,5917,5732,5808,5875,5814,5796,5838,5890,5685,5867,5897,5914,5952,5810,6071,5806,5902,5781,5716,5898,5983,5973,5911,5798,5894,5965,5791,5865,5811,5859,5935,5825,5943,5818,5751,5900,5845,5805,5794,6023,5886,5883,5787,5827,5801,5964,5970,5832,5813,5838,5802,5814,5777,5798,5904,5878,5724,5825,5851,5844,5916,5728,5795,5933,5888,5922,5964,5779,5821,6052,5904,5828,5734,5910,5847,5941,5773,5784,5726,5999,5839,6006,5975,5869,5969,5891,5883,5771,5815,5841,5826,5921,5761,5878,5848,5772,5793,5907,5857,5793,5902,5943,5762,5886,5965,5818,5825,5910,5806,5802,5782,5956,5827,5902,5830,5905,5963,5803,6002,5902,5933,5845,5868,5839,5848,5874,5828,5920,5852,5882,5957,5927,5837,5820,5737,5892,5864,5828,5747,5814,5858,5933,5802,5926,5742,6007,5841,5827,5862,5871,5949,5856,5762,5782,5848,5755,5889,5791,5910,5823,5840,5917,5857,5838,5884,5930,5972,5881,5892,5824,5935,5921,5933,5920,5688,5797,5879,5723,5989,5914,5972,5870,5829,5927,5820,5778,5829,5889,5841,5967,6019,5920,5828,5934,5889,5706,5780,5851,5938,5928,5864,5808,5961,5998,5989,5811,5905,5867,5833,5953,5825,5903,5817,5837,5771,5791
2000000,-1234,-392,-940,-964,-268,-692,-1580,762,-236,426,-1152,-1400,-1346,-1588,842,996,1226,-616,1640,-2024,-692,756,-1070,-220,170,546,-158,1206,264,1376,-92,1084,-758,168,-336,-1156,470,-1284,-1520,558,1336,650,-794,-294,340,668,280,-276,-1368,-1942,3426,1102,964,7721,7751,7777,7765,7808,7668,7803,7845,7808,7744,7759,7759,7613,7906,7767,7834,7672,7837,7859,7788,7831,7775,7858,7688,7582,7899,7842,7926,7799,7750,7911,7734,7772,7801,7754,7854,7841,7792,7843,7843,7959,7706,7744,7784,7769,7756,7805,7903,7575,7798,7847,7923,7869,7770,8020,7752,7945,7800,7659,7812,7980,7920,7855,7756,7826,7803,7837,7791,7768,7869,7902,7775,7829,7734,7741,7889,7822,7738,7725,8011,7844,7907,7731,7791,7719,7920,7975,7793,7741,7874,7757,7776,7780,7660,7896,7845,7702,7731,7733,7759,7923,7644,7796,7932,7819,7797,7991,7674,7738,7952,7788,7850,7685,7953,7884,7884,7745,7703,7616,7875,7831,7906,7946,7822,8035,7774,7802,7739,7751,7791,7699,7883,7744,7850,7716,7756,7701,7903,7847,7787,7868,7862,7782,7811,7901,7771,7774,7898,7834,7753,7666,8020,7791,7871,7797,7846,7946,7721,7989,7877,7857,7827,7883,7823,7722,7838,7717,7893,7792,7816,7895,7984,7846,7777,7635,7838,7858,7694,7720,7805,7747,7895,7670,7886,7693,7968,7789,7679,7757,7848,7954,7785,7716,7779,7757,7681,7836,7765,7828,7818,7843,7938,7846,7797,7840,7905,7942,7855,7840,7799,7829,7819,7889,7959,7649,7680,7811,7651,7885,7780,7881,7808,7709,7894,7793,7707,7868,7887,7858,7999,7949,7865,7820,7851,7857,7655,7724,7713,7901,7753,7815,7802,7973,7930,7926,7809,7821,7779,7786,7997,7789,7778,7748,7793,7739,7805
2500000,-868,-482,-220,-1358,-640,-140,-2176,-310,-490,184,-1930,-1512,-1286,-1804,652,1114,276,-1198,780,-2406,-1568,1892,-160,0,468,2052,-684,1752,264,2004,606,350,-538,366,-328,-976,-238,-1864,-1414,272,658,468,-1626,-46,766,322,54,390,-1518,-674,4076,1544,1324,9855,9716,9788,9717,9740,9666,9837,9765,9829,9598,9733,9751,9638,9866,9628,9804,9693,9789,9740,9688,9740,9776,9858,9594,9527,9928,9773,9937,9662,9668,9905,9733,9731,9805,9691,9791,9712,9735,9782,9725,9891,9736,9661,9809,9688,9730,9754,9757,9485,9765,9815,9878,9750,9753,9969,9772,9854,9679,9629,9748,9948,9908,9835,9719,9808,9788,9795,9738,9719,9787,9846,9745,9711,9665,9784,9814,9711,9713,9630,9925,9724,9861,9727,9736,9646,9857,9934,9876,9697,9805,9755,9728,9750,9656,9858,9779,9670,9589,9628,9791,9901,9595,9660,9905,9789,9714,9977,9679,9626,9980,9817,9798,9637,9903,9794,9819,9791,9633,9575,9809,9827,9883,9899,9766,9999,9726,9663,9709,9716,9789,9618,9885,9687,9818,9667,9667,9653,9830,9783,9701,9817,9844,9702,9834,9843,9693,9707,9819,9887,9694,9560,9917,9723,9764,9730,9804,9871,9709,9951,9821,9865,9728,9815,9800,9664,9863,9642,9830,9694,9727,9842,10001,9814,9753,9652,9880,9774,9654,9681,9687,9753,9903,9637,9843,9686,9934,9795,9636,9762,9757,9890,9653,9697,9715,9710,9596,9764,9697,9815,9791,9825,9861,9797,9663,9776,9821,9950,9847,9869,9754,9800,9736,9775,9986,9634,9656,9731,9563,9901,9752,9870,9775,9661,9764,9742,9717,9833,9815,9785,9865,9937,9892,9834,9822,9784,9611,9668,9673,9828,9627,9822,9745,9856,10010,9865,9762,9766,9646,9740,9983,9728,9646,9724,9648,9709,9679
3000000,-942,-1024,-196,-3016,-530,-1204,-896,380,-14,-186,-2756,-2256,-2714,-1300,840,1406,-90,-2378,816,-2804,-2314,892,-1774,-1468,-138,2386,-96,2564,378,2138,658,832,46,164,244,-1054,-58,-2754,-2310,1148,66,522,-1918,-384,650,614,-482,390,-1460,-314,3260,1798,1816,11748,11661,11792,11604,11604,11735,11799,11665,11708,11520,11734,11684,11608,11843,11560,11730,11629,11645,11691,11585,11726,11827,11758,11536,11516,11939,11782,11903,11635,11634,11830,11696,11684,11690,11549,11757,11698,11658,11699,11679,11796,11738,11667,11747,11597,11603,11753,11705,11450,11772,11769,11808,11804,11739,11958,11739,11821,11605,11635,11653,11827,11862,11868,11617,11745,11730,11668,11680,11598,11763,11864,11685,11675,11643,11720,11757,11589,11741,11583,11906,11641,11819,11703,11721,11620,11888,11938,11871,11614,11758,11654,11647,11791,11613,11833,11694,11619,11573,11588,11817,11875,11495,11626,11790,11793,11719,11972,11545,11607,11909,11752,11732,11652,11877,11716,11776,11753,11626,11511,11711,11783,11779,11871,11691,11966,11729,11609,11641,11661,11735,11547,11860,11624,11683,11652,11625,11566,11756,11819,11610,11847,11842,11709,11796,11745,11661,11665,11793,11808,11587,11442,11922,11706,11638,11761,11794,11791,11654,11859,11789,11791,11658,11812,11792,11620,11819,11631,11810,11664,11686,11841,12062,11775,11698,11651,11822,11742,11633,11601,11608,11708,11778,11558,11745,11708,11887,11744,11569,11735,11700,11827,11633,11651,11677,11639,11597,11724,11666,11825,11820,11731,11815,11675,11607,11755,11814,11861,11742,11808,11785,11736,11720,11730,12015,11536,11602,11761,11451,11832,11656,11804,11700,11602,11766,11709,11663,11802,11828,11671,11787,11943,11813,11800,11737,11773,11593,11605,11579,11752,11636,11720,11753,11742,11980,11784,11740,11673,11677,11690,11943,11653,11659,11667,11583,11641,11517
3500000,-1728,-692,470,-2872,-310,-1052,-1954,1482,-396,-1044,-3340,-1550,-2900,-1414,1368,1470,-126,-2642,804,-3008,-2040,1374,-664,-2720,-1316,1282,-710,1900,-82,1930,2042,1768,738,512,806,-1080,-512,-2600,-2090,1312,-150,706,-1526,604,-16,1010,-916,696,-1298,-1186,3404,1440,2154,13767,13568,13752,13522,13566,13715,13709,13588,13682,13485,13709,13668,13550,13742,13494,13678,13612,13602,13652,13459,13714,13804,13721,13565,13425,13836,13709,13813,13601,13504,13739,13640,13608,13678,13521,13703,13701,13576,13630,13633,13738,13685,13679,13722,13437,13601,13724,13736,13420,13663,13697,13789,13719,13721,13879,13672,13768,13612,13537,13533,13741,13850,13771,13630,13622,13675,13720,13598,13486,13726,13797,13598,13668,13537,13714,13660,13539,13663,13548,13901,13576,13713,13638,13693,13570,13856,13890,13884,13504,13653,13577,13613,13821,13623,13904,13697,13567,13474,13573,13710,13806,13416,13608,13709,13666,13683,13904,13528,13562,13866,13639,13689,13639,13799,13714,13773,13655,13545,13446,13658,13689,13773,13891,13715,13990,13595,13612,13614,13568,13706,13529,13775,13601,13662,13583,13584,13532,13626,13809,13618,13711,13780,13611,13701,13674,13622,13625,13804,13709,13597,13317,13895,13658,13650,13731,13738,13779,13566,13852,13761,13689,13640,13691,13692,13504,13798,13572,13816,13551,13646,13747,14052,13720,13589,13720,13865,13621,13620,13525,13528,13630,13711,13549,13656,13670,13875,13663,13571,13721,13756,13814,13596,13652,13629,13543,13569,13672,13701,13694,13714,13628,13892,13592,13552,13769,13806,13797,13712,13753,13670,13664,13695,13627,13943,13420,13701,13737,13400,13764,13592,13724,13611,13573,13713,13714,13638,13800,13698,13714,13728,13967,13800,13756,13676,13666,13593,13575,13490,13696,13597,13713,13699,13728,13994,13777,13714,13619,13635,13723,13949,13600,13539,13682,13544,13614,13544
4000000,-1098,500,668,-2296,568,-1724,-2132,1256,-432,-1296,-3176,-2092,-3492,-1298,1456,1094,-636,-3966,1984,-3534,-1344,2036,-1784,-2868,-1098,72,-582,708,-470,1916,1074,2296,-574,1060,1508,-1168,-164,-2484,-1912,694,-400,1558,-192,-384,248,1006,-1312,78,-1800,-1222,4726,1694,2012,15868,15585,15745,15506,15514,15713,15647,15596,15654,15458,15677,15638,15457,15670,15471,15633,15562,15590,15588,15476,15658,15783,15715,15506,15419,15705,15670,15804,15534,15505,15692,15605,15618,15650,15441,15647,15675,15499,15630,15641,15737,15595,15616,15630,15450,15537,15612,15625,15366,15646,15595,15723,15671,15650,15923,15584,15736,15501,15517,15525,15688,15814,15719,15671,15626,15643,15687,15549,15452,15718,15780,15584,15579,15506,15673,15538,15455,15626,15481,15930,15536,15775,15553,15609,15533,15728,15788,15804,15414,15633,15537,15533,15701,15550,15803,15650,15546,15379,15544,15619,15754,15329,15572,15734,15600,15620,15858,15449,15621,15786,15562,15642,15557,15762,15600,15717,15591,15537,15414,15562,15651,15744,15876,15619,15935,15523,15621,15577,15585,15666,15482,15737,15598,15602,15480,15508,15498,15606,15764,15583,15667,15804,15568,15664,15706,15498,15586,15795,15674,15463,15272,15731,15593,15613,15651,15703,15703,15537,15810,15785,15651,15586,15729,15717,15410,15712,15451,15770,15574,15567,15645,15962,15597,15533,15639,15828,15559,15517,15488,15583,15549,15657,15484,15620,15583,15816,15611,15451,15707,15681,15739,15527,15625,15576,15513,15439,15652,15629,15691,15648,15625,15875,15464,15465,15751,15728,15759,15665,15701,15671,15569,15612,15608,15879,15342,15663,15662,15438,15669,15571,15698,15512,15585,15616,15655,15573,15737,15720,15746,15600,15907,15690,15772,15561,15629,15556,15479,15454,15648,15559,15671,15695,15746,15880,15742,15648,15519,15645,15715,15882,15514,15545,15662,15536,15577,15510
4500000,-978,490,864,-2112,1374,-1344,-2422,2030,-1212,-24,-3318,-2292,-2554,-882,-228,2470,-492,-3444,746,-3404,-3232,-8,-1688,-1308,-1652,878,-1382,1100,-2254,2430,492,1010,-718,870,1842,-1576,-516,-2652,-1554,114,144,252,-1314,358,-226,356,-2718,150,-1496,-652,3968,1628,2650,17801,17544,17764,17418,17508,17711,17686,17446,17631,17444,17609,17664,17435,17698,17394,17542,17536,17449,17476,17564,17603,17761,17684,17424,17345,17719,17649,17773,17449,17430,17562,17563,17616,17609,17367,17569,17585,17372,17638,17652,17692,17500,17573,17665,17445,17427,17520,17585,17331,17628,17652,17665,17518,17579,17917,17479,17713,17474,17551,17409,17598,17762,17624,17636,17607,17629,17636,17553,17369,17631,17770,17442,17559,17351,17617,17426,17483,17441,17502,17931,17511,17701,17477,17489,17494,17719,17827,17787,17396,17645,17414,17522,17600,17538,17788,17589,17516,17386,17492,17576,17745,17347,17488,17697,17473,17583,17800,17346,17577,17812,17509,17579,17484,17676,17581,17677,17634,17511,17323,17527,17614,17635,17812,17590,17872,17453,17576,17542,17544,17638,17455,17714,17567,17562,17447,17490,17354,17596,17755,17444,17629,17724,17485,17583,17689,17487,17481,17726,17589,17477,17188,17681,17614,17598,17448,17623,17738,17530,17798,17697,17620,17580,17633,17643,17325,17671,17286,17781,17520,17466,17640,17949,17596,17509,17618,17792,17571,17440,17440,17520,17538,17567,17472,17609,17447,17784,17594,17441,17651,17640,17701,17482,17575,17540,17493,17384,17581,17568,17583,17626,17617,17856,17449,17443,17729,17630,17766,17564,17689,17575,17519,17578,17492,17870,17279,17623,17615,17315,17691,17559,17631,17497,17503,17594,17599,17491,17657,17633,17728,17545,17871,17633,17791,17514,17562,17556,17353,17437,17619,17518,17606,17614,17692,17827,17671,17607,17467,17610,17606,17884,17466,17487,17618,17500,17542,17475
5000000,-2292,-362,532,-1608,2126,-674,-2228,2160,-1030,-502,-3146,-1410,-3758,-634,44,1232,-1064,-3402,-504,-4420,-3850,794,-1636,-708,-938,1180,-1366,1268,-2092,2314,844,1910,-1748,1014,2346,-870,-390,-3006,-1582,354,-574,-688,-1920,-124,348,438,-2744,-270,-2024,-1058,2702,3106,1334,19739,19464,19686,19280,19443,19674,19570,19374,19542,19422,19559,19581,19323,19630,19348,19429,19404,19302,19497,19592,19602,19695,19620,19331,19206,19636,19591,19708,19405,19465,19511,19355,19534,19579,19270,19505,19540,19368,19653,19668,19672,19434,19426,19604,19431,19321,19508,19571,19254,19559,19597,19559,19444,19551,19858,19473,19614,19458,19595,19427,19530,19731,19551,19494,19500,19573,19607,19533,19282,19570,19725,19333,19548,19323,19487,19461,19506,19413,19501,19923,19445,19654,19442,19465,19377,19606,19758,19734,19378,19649,19369,19430,19541,19526,19771,19572,19505,19205,19432,19562,19723,19301,19420,19609,19387,19527,19732,19349,19468,19759,19483,19556,19430,19606,19550,19703,19617,19573,19290,19570,19531,19599,19812,19594,19768,19434,19485,19507,19464,19502,19431,19664,19521,19466,19383,19403,19164,19667,19738,19370,19519,19669,19522,19437,19709,19473,19411,19729,19504,19335,19132,19748,19607,19520,19404,19623,19667,19557,19750,19690,19539,19561,19582,19553,19331,19580,19266,19756,19427,19473,19557,19888,19596,19478,19559,19772,19456,19435,19427,19470,19470,19530,19369,19566,19422,19795,19595,19433,19600,19675,19651,19498,19466,19522,19380,19253,19549,19538,19463,19626,19634,19817,19352,19419,19621,19614,19723,19517,19655,19481,19469,19557,19523,19839,19317,19597,19513,19248,19631,19505,19676,19502,19504,19577,19483,19428,19655,19527,19728,19470,19815,19631,19749,19499,19630,19565,19293,19377,19695,19525,19481,19576,19648,19743,19631,19622,19380,19650,19526,19792,19441,19436,19550,19442,19507,19476
