stream,mean_R,sd_R,N_k,N_k_code
lambda,1.000123,1.000251,293427643,10057040
prng1,1.000398,1.000455,281457130,3158666
prng2,1.000425,1.000771,290180789,10545506
prng3,1.000216,1.000577,288863770,13728180
prng4,1.000541,1.000826,298893312,14364034
prng5,0.999350,0.999399,284284721,9642940
prng6,0.999466,0.999402,279818603,353827
prng7,0.999708,0.999394,332417007,1803734
prng8,1.000299,1.000506,323894210,2339308
prng9,0.999972,1.000368,296596234,7208206
prng10,0.999987,1.000409,255208510,3930342
prng11,0.999717,0.999460,307698283,2814056
prng12,0.999900,0.999926,315722433,9938237
prng13,1.000069,1.000088,261809036,14820291
prng14,0.999584,0.999915,269942252,6327762
prng15,1.000169,0.999863,270177822,4022854
prng16,0.999931,0.999506,302813528,7494519
prng17,0.999596,0.999789,280250078,4824940
prng18,0.999917,1.000158,281899713,13401103
prng19,1.000062,1.000328,277605544,9198398
prng20,1.000211,1.000432,262362995,4396655
prng21,0.999710,0.999288,303359378,3754220
prng22,0.999694,0.999515,281814825,5220107
prng23,1.000119,1.000108,303037627,14583673
prng24,1.000128,0.999571,325263276,14428411
prng25,0.999542,0.999530,280367475,3220900
prng26,0.999983,0.999791,284387353,15353486
prng27,0.999743,0.999693,288284565,10660911
prng28,1.000124,1.000106,335497294,2837962
prng29,0.999695,0.999736,272361873,6869990
prng30,0.999621,0.999696,286740136,14817453
prng31,1.000632,1.000347,261969655,8177102
prng32,0.999989,0.999900,319659168,7175416
