# lambda  k=24  patterns=16777216  missing=0
# R = (first-occurrence start + k-1) / Conway A(w);  model E[R]=1
stat,label,k,value
mean_R,lambda,24,1.000123
sd_R,lambda,24,1.000251
naive_se_R,lambda,24,0.000244
max_R,lambda,24,17.489652
argmax_R_code,lambda,24,10057040
min_R,lambda,24,0.00000143
argmin_R_code,lambda,24,5184726
N_k,lambda,24,293427643
N_k_code,lambda,24,10057040

popcount,count,mean_R,sd_R
0,1,0.250502,0.000000
1,24,1.054478,0.606763
2,276,0.966088,0.913931
3,2024,0.962986,1.036689
4,10626,1.002137,1.019630
5,42504,1.007970,0.999861
6,134596,0.999827,0.996147
7,346104,1.007313,1.005897
8,735471,1.001760,0.998999
9,1307504,1.000333,0.998411
10,1961256,1.000681,0.999947
11,2496144,1.000256,1.000000
12,2704156,0.999370,1.001195
13,2496144,0.998954,0.999808
14,1961256,1.000305,1.002122
15,1307504,0.999609,0.999382
16,735471,0.999335,1.001085
17,346104,0.999357,0.996691
18,134596,1.002110,0.999128
19,42504,0.999677,0.997090
20,10626,1.020221,0.989285
21,2024,1.007045,0.959675
22,276,1.038312,0.998913
23,24,0.928209,0.537733
24,1,1.156966,0.000000

nontrivial_overlaps,count,mean_R
0,4493828,0.999875
1,8647964,1.000007
2,2961784,1.000480
3,533412,1.001295
4,106760,1.002320
5,25196,1.005281
6,6194,1.004338
7,1560,1.031555
8,388,0.977491
9,96,0.984567
10,24,1.007227
11,8,0.934504
23,2,0.703734
