popcount,n_patterns,lambda_meanR,control_meanR,control_sd,z
0,1,0.250502,0.805718,0.735122,-0.755
1,24,1.054478,0.921446,0.340182,+0.391
2,276,0.966088,0.969314,0.089901,-0.036
3,2024,0.962986,1.000267,0.034783,-1.072
4,10626,1.002137,0.995907,0.016956,+0.367
5,42504,1.007970,0.999688,0.007174,+1.154
6,134596,0.999827,1.000137,0.005029,-0.062
7,346104,1.007313,1.000791,0.002819,+2.314
8,735471,1.001760,1.000616,0.002128,+0.538
9,1307504,1.000333,1.000325,0.001673,+0.005
10,1961256,1.000681,1.000124,0.001282,+0.435
11,2496144,1.000256,0.999852,0.001411,+0.286
12,2704156,0.999370,0.999868,0.000885,-0.562
13,2496144,0.998954,1.000188,0.000961,-1.284
14,1961256,1.000305,1.000080,0.001202,+0.187
15,1307504,0.999609,0.999226,0.001459,+0.263
16,735471,0.999335,0.999193,0.002331,+0.061
17,346104,0.999357,0.999221,0.003888,+0.035
18,134596,1.002110,0.998625,0.005145,+0.677
19,42504,0.999677,0.999888,0.009498,-0.022
20,10626,1.020221,1.004733,0.019366,+0.800
21,2024,1.007045,0.994574,0.043956,+0.284
22,276,1.038312,0.977427,0.102994,+0.591
23,24,0.928209,0.972211,0.353220,-0.125
24,1,1.156966,0.945736,0.648467,+0.326
