x,Lx,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,U2,U4,U6,U8,U10,U12,U14,U16,U18,U20,U22,U24,U26,U28,U30,U32,T012,T024,T013,Q0123,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208,c209,c210,c211,c212,c213,c214,c215,c216,c217,c218,c219,c220,c221,c222,c223,c224,c225,c226,c227,c228,c229,c230,c231,c232,c233,c234,c235,c236,c237,c238,c239,c240,c241,c242,c243,c244,c245,c246,c247,c248,c249,c250,c251,c252,c253,c254,c255,hL,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32
20000000,-4510,-3682,734,-1774,-1172,-3988,-2866,54,1684,-1904,-6904,-2880,888,-710,3048,40,898,-7212,444,-6584,-7908,3584,-5690,4406,-9016,1796,1250,-954,4002,-2178,-7262,5424,-8126,2782,-2418,314,906,-4814,3614,-2064,-1256,1702,-1010,-2918,-6542,3298,-854,-8898,-3716,-5678,3100,6574,-2462,77798,77900,78360,77255,78139,78448,77822,77723,78327,77941,78141,78527,77631,78214,77774,77941,77870,77795,78109,78246,78398,77956,78445,78283,77431,78111,77840,78417,77737,78077,78647,77467,78231,78305,77759,77974,78094,78232,78350,78243,78399,78304,77898,78025,77810,78106,78015,78494,77879,78073,78035,77972,78068,78029,78717,78318,77912,78264,78043,78130,78099,78621,77899,77756,77794,78413,78173,78297,77520,78168,78330,77960,78049,78004,78328,77950,78080,78641,78310,78582,77840,78241,78057,78383,77939,78456,78096,78519,78033,78162,78041,77476,78192,77957,78862,78304,77836,77709,77836,78006,78425,77756,78194,77654,77986,78276,78322,77850,77818,78442,77906,78505,77802,77956,78470,78268,78156,78245,77689,78437,78631,78264,78519,78503,78401,77636,78445,77818,77900,77715,78227,78290,78129,78220,78023,77992,77338,78414,78213,78201,77911,78043,78040,78173,78666,77938,78217,78347,78305,77967,77471,78226,78521,77896,78257,78618,78439,78096,78073,78188,77976,78165,77929,78316,77959,78046,78371,78649,77682,78136,78497,78590,78385,77411,78134,78672,77666,77769,78146,77876,78194,78143,77543,78093,77846,78474,78358,77996,78796,78401,78138,78507,77821,78104,78176,77718,78232,78246,77624,78253,78555,78560,77944,77747,78337,78234,78225,77679,78301,78004,77948,78637,77879,78631,77701,78287,77402,77860,78296,78160,78128,78397,78335,78341,78089,78185,78642,77871,78690,77935,78377,78250,78319,78309,78188,78138,77444,78014,78619,78171,78472,78557,78155,78359,78472,78081,77769,78353,78398,78250,78034,77619,78247,78017,77819,77735,8.1376280670392175e-05,-0.84252631862954797,-1.3563535408304825,0.62302807826484108,-1.5462766360252982,2.0963865996387794,-0.49229608410773062,-2.3128971055862322,0.36064450100723233,1.4549986566275048,0.23372219973382458,-0.32656823954589553,-1.1782061118470903,-0.29687583935271211,0.21557913656904582,1.8322334037886847,-0.40524188448571158,-0.6850299667824773,-0.38103594186257106,-2.086324199852319,1.2548950101647902,0.762257309424066,-1.6526400384763404,-0.043811335820313879,1.2897561661222794,2.1827689668653978,-0.56143431654945497,-0.73606318685152938,-1.1672447336554321,0.19126519219332189,0.11146532432081124,-1.8177718932717766,0.4246409729868999
40000000,-3192,-640,410,-678,1782,-2110,-1694,4312,-1002,4336,-8708,-3148,-4002,1266,-6758,2836,2390,-10412,-304,-11372,-9080,1730,-4398,6746,2390,526,9332,-5222,7540,-8526,-14066,5982,-4692,4092,1048,80,170,-4720,-1136,-6812,706,1600,-2176,-1518,1502,10042,4492,-14106,-5590,-1350,-512,2970,-1408,156517,156258,156447,155514,156203,156641,156068,155928,156236,156237,156048,156996,156233,156301,155719,155927,156082,155867,156270,156108,156597,155956,156432,156753,156362,156236,155699,157096,155692,155760,156596,155747,156461,156478,155731,156346,156386,156288,156358,156122,156163,156953,155717,156367,155988,156007,156150,156409,156444,156594,156169,156126,155969,155646,157188,156491,156013,155941,155928,155888,156259,156775,156296,156069,155656,156460,156473,156153,155583,156054,156853,155721,156580,156081,156725,155851,156230,156647,155757,156965,155499,156494,156474,156298,156036,156540,156268,156863,156235,156107,155964,155493,156298,156388,156881,156355,156398,155795,156015,156617,156547,155737,156083,156090,156018,156173,156276,155651,156628,156257,156558,156407,156178,155874,156006,156740,156181,156422,156001,156304,156883,156190,156812,156417,156104,156166,156862,155788,156258,155703,156397,156482,156270,156403,156466,155718,155713,156141,156505,156189,156365,156494,155733,156416,156857,156210,156404,156372,156518,156128,155563,155806,156676,156059,155916,156583,156262,156056,156438,156618,155655,156148,155906,156228,156275,156288,156519,156600,155830,155819,156859,156764,156354,155450,156536,156827,155749,156038,156115,156047,156222,156281,155697,156474,156039,156805,156675,156417,156814,156454,155974,156581,156305,156419,156200,156031,156271,156640,156006,156428,156487,156695,155921,155518,156505,155852,156561,156091,156304,155640,156089,156821,155613,157083,155537,156500,155552,156055,156539,156678,156546,156704,156387,156200,156326,156436,156896,155817,156635,155702,156274,156562,155926,156737,156420,156386,154979,156960,156692,156180,156584,156839,156331,156096,156482,156384,155938,156568,156540,156237,156054,156089,156673,155977,155788,155749,0.00013825371842018946,-0.84244664537241887,-1.3564165194472702,0.62306060096468074,-1.5461636858253376,2.0964490832451905,-0.49219556508039852,-2.3127732102641989,0.36053966644775853,1.4552387681774674,0.23363796599584033,-0.32657146743483134,-1.1783846441009429,-0.29679088099197992,0.21526124014344269,1.8323361920009893,-0.40514083058060296,-0.68519409801269981,-0.38104130748807902,-2.0864963515188215,1.2548578161870521,0.76218766205198385,-1.6526575878094951,-0.043776981630402015,1.2901574494289461,2.1827470893562322,-0.56113767111566959,-0.7362026774773528,-1.1671406350218525,0.1910472543157426,0.11122537546258644,-1.8177894727197343,0.42473674748348794
60000000,-3016,-908,-3670,2352,-1562,74,54,3082,2482,4262,-9772,-960,-3414,3418,-6024,3000,-1298,-8646,6824,-11946,-13450,-1898,-4068,2820,-750,304,10284,-5664,-6566,-6438,-13494,2274,590,836,2546,1806,786,-5006,-4986,-6654,562,5178,-2708,-1108,2700,10830,-7074,-12710,-3398,-2550,-800,796,-1110,234125,234147,234028,234035,234036,234551,234604,234090,234533,234164,234617,234817,234321,234687,233753,234055,234460,234204,234424,233889,234895,234254,234210,235016,234314,234366,233794,235555,233892,233622,234752,233656,234605,234742,233954,234510,234694,234563,234300,234055,233855,235661,234073,234456,234137,233722,234442,234533,234442,235023,234335,234232,233874,234220,235501,234874,234107,233988,233949,233690,234627,234593,234553,234091,233922,234556,234833,234147,233542,234080,234944,233406,234771,234028,234754,234302,234868,234895,233680,235400,233581,234157,234763,234951,234305,234391,234113,234998,234294,234283,233953,233210,234898,234344,234817,234523,234287,234092,234442,234696,234683,233719,234026,234106,233968,234379,234453,234364,234643,234874,234889,234467,234353,234123,234401,234854,234552,234205,233892,234091,235199,234279,234279,234743,234428,234383,234524,234123,234147,233916,234559,234659,234661,234883,234404,233718,234131,234149,234532,234409,234359,234662,233761,234353,234887,234260,234833,234466,234621,234275,233649,233959,235151,234201,234300,234820,234203,234017,234468,234988,233873,234238,233668,233840,234105,234493,235463,235025,233883,234053,234623,234655,234440,233441,234800,234807,233937,234115,234067,233900,234473,234597,234016,234482,234369,235267,234808,234293,234851,234429,234258,234556,234141,234662,234711,233975,234738,234861,234077,234708,234376,235271,234142,233306,234484,234225,234540,234056,234530,233351,233835,235537,233631,234887,233769,234609,233757,233684,235117,235288,234738,234757,234463,234291,234516,234594,235157,234089,234964,233729,234683,234490,233913,234993,234065,234014,232798,235531,234606,234287,234757,235123,234292,234319,234354,233874,234437,234802,234681,234332,233949,234496,234585,234062,234123,234149,0.00012518049546625772,-0.84244032174322736,-1.3564966288810723,0.6231413766359376,-1.5462417082620441,2.0964896739562398,-0.49215922905039078,-2.3127924390271595,0.36059837688061164,1.4552252954243732,0.2336153799470585,-0.32652493741857702,-1.1783604611174476,-0.2967267046480927,0.21527296107823685,1.8323400856014127,-0.40521385866416465,-0.68517343019132304,-0.38089220137591917,-2.086522170493033,1.2547779310116727,0.76212600299727695,-1.652654740254869,-0.043850859080195793,1.2901017320782708,2.1827260150316947,-0.56110516950958622,-0.73621320861062456,-1.1674356526515526,0.1910790875570984,0.11124861082733045,-1.8178651971182571,0.42485393099203816
80000000,-7132,-5276,32,8830,-100,1302,-3638,-1124,1108,3382,-6690,3628,-2636,2038,1464,5902,-1472,2558,8288,-15054,-12698,-462,1166,-614,-1400,4578,17430,5362,-10734,-9184,-7442,-4516,2514,672,-510,-2960,-674,-4580,-942,-2848,-470,3952,-3990,4314,2602,16164,-3976,-10278,124,4668,-4692,1502,-7290,312179,312224,312195,312281,311993,313028,312561,312273,312356,312223,312778,313359,312302,312705,312308,311856,312504,311955,312552,311958,312688,312419,312381,313440,311987,312516,311644,313507,312354,311891,312562,311616,312729,312740,311934,312396,313148,312972,311859,312038,311898,313351,312128,313010,312281,312211,312873,312817,312393,312641,312379,312311,311741,312372,313693,312891,312281,312197,311869,312393,312171,312428,312551,311826,312078,312798,312836,312438,311491,312032,312974,311440,312634,312399,313064,312855,312705,312576,311749,313272,312110,312194,312819,312726,312682,312033,312056,313399,312582,312308,311907,311824,312874,313036,312959,312999,312294,312132,312501,312577,312756,311875,312399,311843,312257,312410,312544,312708,312718,313408,313215,312658,312591,312320,312450,313090,312722,312282,312716,312889,313082,312484,312323,312557,312257,312528,312537,312347,312224,312252,312826,312553,312586,313109,312446,311891,312103,312287,312328,312462,312201,312446,311937,312322,312965,312375,313568,311939,312561,312719,312111,312250,313047,312174,312469,313077,312124,312371,312037,312761,312147,312534,311589,312018,311885,312947,313422,312983,312406,312194,312587,312445,312609,311520,313037,313141,312033,312437,312252,311931,312926,312880,312433,312982,312630,313343,313135,313212,313395,312452,312234,313058,312398,312581,312859,311899,312899,312758,311673,312819,312706,313108,312216,311506,312516,312970,312746,311526,312571,311413,312013,313679,311918,312999,312074,312779,311888,311875,313899,313591,313099,313311,312888,312293,312685,312626,313156,311915,313058,311847,313087,312429,311727,313282,312373,312145,311045,314082,313195,312523,312720,312751,312455,312426,312287,312236,312411,312829,312389,312397,312200,312683,312529,312355,312347,312586,6.2273235800804167e-05,-0.84250601803955893,-1.3564468162571708,0.62324000836805016,-1.5462121858756726,2.0965040810998077,-0.49222246815805432,-2.3128574128366117,0.3605827838504374,1.4552174379029883,0.23366022504080805,-0.32645244861965522,-1.1783541410618568,-0.29674749293107794,0.21538355964642167,1.8323805162998541,-0.40521048168437407,-0.68501641505542676,-0.3808666485535841,-2.086565712768865,1.2547881056435788,0.76213484645056362,-1.6525760823617157,-0.043903935663660125,1.2900997850422404,2.1827831400557458,-0.56100291090823828,-0.73605575710951665,-1.1674984007292131,0.19103824386084378,0.11133556207602881,-1.8179713173528849,0.42488888165858107
100000000,-3884,-3916,4632,10714,-1834,1676,-1190,-1666,1096,3664,-5112,4426,3884,402,8628,8472,-2456,1746,2408,-16922,-12564,1298,2548,-160,7316,5252,22780,2334,-9664,-14346,-5304,-3592,5920,2736,126,-4212,1796,-2492,2898,3884,-3104,778,-2836,4930,6398,18130,-544,-8758,2766,-3116,-11494,-1334,-13742,389562,390115,390215,390293,390369,391238,390374,390491,390522,390895,391393,391613,390311,390961,390221,390270,390698,390258,391463,390297,391069,390686,390453,391629,390186,390639,390088,391269,390259,389546,390675,389697,390909,391121,390393,390666,391877,391611,389773,390511,389899,391403,390136,391264,390355,390288,391232,390955,390672,390593,390601,390258,389781,390454,391592,390652,390268,390159,389773,390278,390603,390453,390545,390251,390191,391237,391297,390556,389768,390409,391076,389453,391165,390849,391127,391228,390869,390436,389776,391526,390772,390163,390993,390521,390857,389816,390012,391706,390607,390277,390091,389846,391234,391611,390995,390998,390386,390449,390351,390253,390914,389729,389974,390291,390066,390567,391011,390834,390738,391530,391062,390383,390757,390224,390696,390969,390799,390644,390498,391166,391832,390294,390396,390573,390523,390288,390542,390777,390115,390393,391392,390572,391048,391768,390898,390000,390434,390865,390362,390469,390514,390396,389584,390102,391332,390801,392025,389987,390233,390714,390190,390558,391079,390220,390147,390975,390168,390505,390381,391099,390519,390732,389784,389863,390137,390744,391532,390791,391036,390111,390537,390454,390529,389649,391613,391038,390163,390011,390042,390007,390852,391391,390676,390793,390713,391506,391670,391386,391523,390516,390266,391068,390317,390727,391519,390342,391531,390422,389834,390233,390968,391163,389820,389520,390430,390686,390897,389954,390479,389484,389888,391802,390290,391175,390167,390945,389567,389772,392152,391623,390985,391445,391044,390336,390658,391412,391601,389814,391217,389611,391142,390560,389897,391123,390454,390278,388601,392245,391368,390997,391313,391191,390132,390733,390221,390088,390348,391199,390672,390571,389913,390974,390720,390599,390777,391017,9.9600844359033967e-05,-0.84248850503200901,-1.3563959538542616,0.62326125182428815,-1.5462313516922193,2.0965086093285037,-0.49219860799333109,-2.3128586678633036,0.36057490955218918,1.4552192440114742,0.23367874115320644,-0.32645135728874586,-1.1782821198727873,-0.29676585032650055,0.21546301940646187,1.8324067325170639,-0.40522843034001138,-0.6850222066465278,-0.38092956021904106,-2.0865850113820925,1.2547925265987332,0.76215387426438275,-1.652554870659221,-0.043901686116640838,1.2901966794480075,2.1827877494966739,-0.56094267766721462,-0.7360891154764726,-1.167485103869786,0.1909826297252476,0.11135961118486906,-1.8179594657577447,0.42492604054176875
120000000,-8592,-994,-890,12914,-2896,3714,-452,2460,-510,3518,-4246,4642,3878,-6868,8312,8216,3352,4934,4478,-9198,-14460,7182,10586,-2294,3772,3152,19708,2414,-8100,-17922,-1358,-5034,-3772,18,774,-2804,1052,-4320,3824,5230,870,216,-4688,11546,7186,16290,-2076,-4358,-2474,-4248,-14554,4060,-21622,467363,468305,468115,468449,468468,469036,468669,468405,468378,468930,468807,469657,468682,469228,468300,468565,468776,468378,469619,468151,468853,468656,468279,469778,468481,468865,468464,469483,468424,467371,469020,467932,469395,469493,468236,469077,469983,469935,467570,468868,468030,469397,467690,469269,468393,468064,469242,469406,468586,468715,468955,468279,468109,468583,469261,469140,468667,468453,467813,468217,468674,468876,469064,468128,468472,469082,469022,469241,467931,468438,469542,467710,469220,469125,468738,469547,468691,468345,468353,469850,468634,468148,468725,468428,468270,467593,467957,469881,468797,468225,468017,467874,469628,469589,469695,468825,468447,468492,468932,467826,469085,468145,467858,468321,468380,468509,469093,469208,468675,469472,469183,468593,468862,468055,469523,469138,469177,468690,468663,469206,470351,468207,468757,469063,468593,468715,468681,468754,468305,468259,469389,468625,468840,469428,469241,468460,468776,468840,468702,468400,468664,468719,467495,468387,470112,468935,470299,468287,468574,468303,468178,468870,468820,468369,468228,468918,468696,468659,468530,469260,468159,468770,468133,468175,468362,468350,469466,469335,468752,467756,468173,468569,468629,467827,469975,469114,468353,468043,468275,467900,468780,469718,468886,468636,468250,470208,470054,469652,469884,468944,468244,469307,468092,468932,469246,468460,469685,468664,467841,468172,469827,469461,468139,467501,468498,468801,469002,467940,468295,468160,467987,470373,468238,469149,468500,469208,467599,467950,470481,469648,468830,470117,469133,468726,468577,469214,469417,468187,470203,467495,469441,468621,468075,469851,468294,468500,466874,470657,469764,469265,468929,469549,468175,468924,468749,468104,468868,469823,468127,468892,468096,469628,468426,469009,468754,468908,5.3142102523237337e-05,-0.84246018931918443,-1.3564441670859386,0.62328221637134806,-1.5462416780897974,2.0965255245226846,-0.49218766914030454,-2.3128228884600945,0.36056381538946747,1.4552185248222325,0.23368678113790839,-0.32645156121019264,-1.1782847303720652,-0.2968331207201278,0.2154568081788201,1.832404596232561,-0.40517455164079003,-0.6849940507138278,-0.38091235373430887,-2.0865150077070842,1.2547756065958329,0.76220313389141015,-1.6524829149020137,-0.043921216812917038,1.2901630256711754,2.1827708558987311,-0.56096594806873046,-0.73608721181190651,-1.1674692216447626,0.19094877516402844,0.11139283453778022,-1.8179745855706195,0.42483474096893886
140000000,-5636,2584,-2398,14656,-1890,6654,1564,4258,5380,8156,-8520,4868,-4210,-9214,4362,14572,990,3280,4628,-4972,-8960,6944,14898,6360,-250,4918,23286,6244,-6066,-24526,-1842,-1106,-330,2652,2990,-6722,2516,-8420,1436,6852,-4586,1608,-1764,10984,6958,20490,-5160,-6712,-824,-2986,-14044,3244,-18618,545827,546664,546127,546816,546655,547243,546675,546893,546198,547368,547276,547592,546855,546984,546784,546835,547203,546356,547812,546327,546773,547034,546021,547897,546766,546750,546589,547589,546968,545446,547527,546011,547993,547561,546003,547293,548285,547995,546012,546702,546057,547102,546238,547273,546427,546038,547296,547543,546804,547354,546904,546596,546567,546305,547739,546926,546834,546543,546086,546268,547210,546993,546824,546198,546643,547472,546999,547515,546242,546049,548020,545668,547368,547494,547022,547502,547427,546121,546209,547605,546474,546259,546625,546365,546315,546185,545985,548157,546879,546314,546184,545843,547463,547553,547533,547232,546582,546797,547216,546435,547033,546345,546339,546206,546545,546957,547038,547324,546927,547707,546819,546610,547115,545847,547447,547072,547316,546379,546699,547548,548590,546752,546619,547383,546428,546838,546811,546907,546664,546279,547771,546752,546911,547625,547164,546726,547361,546771,546531,546326,546661,547194,545630,546703,548351,546940,548468,546387,546386,546477,546444,546942,547392,546750,546283,547076,546409,546908,546676,547011,546122,546953,546288,546395,546577,546529,547536,547112,546676,545888,546262,546869,546766,545989,547720,547222,546575,546297,546474,545949,546935,548057,546895,546503,546127,547976,547609,547979,548132,547009,546442,547520,546300,547051,547537,546375,547890,546808,545835,546665,547923,547361,545841,545884,546715,547238,547108,546082,546601,546424,546481,548283,546249,546946,546771,546785,545993,546109,548808,547555,546640,548035,547608,546730,546769,547115,547482,546065,548251,545380,547614,546984,546480,547807,546157,546232,545175,548656,547856,547728,546769,547700,546184,547526,546971,546010,547132,548036,545879,546958,546362,547785,546409,547309,546907,547146,7.3646461324592397e-05,-0.84243286390452243,-1.356456195702608,0.62329629658634977,-1.5462337064813163,2.0965466285184218,-0.49217176641386023,-2.3128085192109826,0.36060894351170425,1.4552533538991743,0.23365321986813792,-0.32644855423898966,-1.1783486061292354,-0.29685159658697741,0.21542720848246225,1.8324538865239759,-0.40519503942678642,-0.68500667165277307,-0.38091070957521561,-2.086484227992953,1.2548175841765303,0.76220354044889382,-1.6524485400567481,-0.04385282900558423,1.2901318371900306,2.18278527200864,-0.56094025396855229,-0.73605731493739956,-1.1674516061820974,0.19089762532752019,0.11138905786554175,-1.8179445874396141,0.42486261872995285
160000000,-7206,2022,-2022,18766,298,10518,-212,2684,1654,17042,-8012,5862,3614,-10998,10396,10800,-4972,-4520,4110,-5780,-10572,13932,10294,8398,9774,7570,19580,2358,-9008,-27928,-194,3452,-4222,3254,266,-9042,1754,-9314,7252,11520,-6080,728,-3882,6666,12410,17542,-10472,-6096,-2750,-5434,-21746,4918,-20842,623849,624761,624393,624605,624946,625196,624868,624648,624718,625333,625416,625707,624906,625203,625096,624668,625694,624697,625631,624131,624620,624954,623938,626158,624885,625128,625118,625432,625054,623768,625459,623891,626159,626144,623886,626154,626736,625893,624065,624843,624016,625342,624343,625150,624435,623728,625330,626086,624591,625355,625094,625059,624225,624905,625794,625015,625060,624477,624786,624042,625051,625141,624811,624315,624703,625735,625513,625674,624442,623796,626754,623735,625330,626233,625179,625291,625251,624113,624351,625845,624330,624217,624902,624671,624340,623980,623931,626299,624887,624568,624227,623839,625365,625924,626076,625518,624549,625048,625133,624290,625438,624500,624472,624420,624317,624755,625114,626124,625047,626007,624538,624767,625104,623865,625461,625301,625654,624912,624490,625805,626551,624869,624671,625418,624611,624932,625363,624948,624761,624237,625749,624911,625105,625927,625241,625116,625673,624429,624158,624389,625107,625347,623726,624682,626609,625343,626998,624777,624738,624539,624225,625258,625061,625025,624012,625377,624483,625060,624733,625235,624279,625043,624352,624335,624827,624577,625299,625353,624531,624231,623977,625080,625020,624338,625959,625508,625006,624068,624844,623833,624847,626333,625260,624290,623909,626285,625780,626253,626369,624948,624732,625996,624295,624925,625519,624683,625660,624751,623700,624673,626622,625542,624098,624192,624835,625276,625192,624123,624992,624470,624502,625981,624422,625077,625428,625168,624187,624109,626953,625711,624829,626109,625241,625210,624671,625154,625278,624083,626726,623790,625639,624895,625145,625728,624385,624472,623249,626657,626400,625684,624721,625496,625055,625233,625219,623945,625416,626278,623666,625419,624493,626276,624474,625837,624948,625205,6.4737503801454385e-05,-0.84243527859172052,-1.3564524264775559,0.62332238097907078,-1.5462178276528302,2.096572744418999,-0.49218595762960149,-2.3128183071849406,0.36058454464960654,1.4553121592517251,0.23365546320784938,-0.32644036425409984,-1.1782964377078999,-0.29686297440949866,0.21546849506179488,1.8324294545496465,-0.40523570279595023,-0.68505980176530212,-0.3809126625657453,-2.0864906224665654,1.2548074687296045,0.76224956028741053,-1.6524792966037705,-0.043840726748679594,1.2901999777392323,2.1828022714093427,-0.56096383449459297,-0.73608344493724964,-1.1674701015922004,0.19087447169701044,0.11139998677261327,-1.817914728247271,0.42483761682630539
180000000,-17010,3442,-2192,11352,734,15012,162,7202,4476,14670,-3134,16632,3562,-18482,9904,8872,-15088,-3852,3160,774,-7446,12510,2060,11398,18366,8744,21482,310,-3098,-24384,2934,-1260,-11108,2666,-1190,-8992,4968,-6494,9656,9836,-10512,956,-2802,5974,18128,19602,-7246,-3144,-3866,-5812,-18784,1020,-24878,700984,702272,702197,702387,702415,702926,702945,702269,703446,702888,703405,703684,703268,703276,703129,702901,704069,702975,703207,702142,702692,703146,702246,704058,703028,703821,702969,703793,703098,701939,703676,702230,703524,704821,701757,704758,704158,703760,701731,703151,702560,703165,702632,703069,702607,701493,702945,704236,702568,703564,703350,703155,702498,702699,703837,703275,702947,702924,702927,702065,703562,703486,702953,702697,702178,703468,704385,704253,702494,702103,705314,702178,703257,703608,703417,702985,702972,702008,702262,704050,702460,702556,702786,702613,702198,702363,702112,704426,703203,702664,702020,701799,702983,704117,704407,703826,702368,703166,703521,702381,703774,702347,702776,702443,702796,702948,702825,704024,703240,704143,703017,702873,703010,701638,703363,703700,703806,703364,702765,703833,704911,703141,703109,703641,702630,703042,703606,703473,702272,702312,703144,702827,703919,704163,703599,703761,703598,702461,702433,702620,703581,703486,701908,703005,704276,703540,704711,702740,703033,702555,701854,703123,703104,702684,702228,703319,702773,703053,703372,703420,702122,703817,702840,702734,702707,702642,703249,703161,702456,702234,701929,703469,703260,702326,704155,703997,702966,702338,702771,702064,703246,704150,703546,702615,701701,704139,704243,704533,704490,703264,702719,704382,702406,702503,703697,703107,703565,702950,701753,702735,704559,703843,702171,701992,702816,703539,703564,702742,703479,703018,702563,703797,702492,703035,703475,703726,702101,702171,705376,704362,702857,704659,703347,703275,702541,703638,702994,702107,704628,701816,703579,703863,703701,703412,702702,703177,701032,705594,704499,703749,703169,703463,703081,703742,703307,702515,703861,704415,701721,703682,702713,704635,702773,704306,703473,703804,8.670067131662991e-06,-0.84242648002858245,-1.3564534914788073,0.62327844722840775,-1.5462147198754395,2.096600307025092,-0.49218460437284456,-2.312790783739215,0.36060158616913768,1.455299436496942,0.23368352118689234,-0.32637699146497345,-1.1782957939833254,-0.29690652045813326,0.21546740712977686,1.8324170384062557,-0.40529556051910148,-0.68505642489514851,-0.38091865260843144,-2.0864527313514198,1.2548258627768654,0.76224150751881503,-1.6525262124797304,-0.043822304734603204,1.2902515682657121,2.1828088640995671,-0.56095319483603323,-0.73609596094183238,-1.1674343737159913,0.19089629968456887,0.11141790481592551,-1.8179415037962579,0.42479790907929843
200000000,-11126,1768,-4740,8106,114,9062,-2528,8132,6536,18960,-5074,12120,5858,-5888,8612,10872,-12750,2344,4044,-194,-7370,12482,10072,18398,19260,10960,16274,-1768,1430,-23456,5568,1502,-7742,-824,-4518,-13242,8370,-6750,7048,10278,-13846,380,-2258,5646,15376,15872,-7198,-2904,-5286,-15826,-17188,-144,-32170,779001,779980,779999,780322,780456,780801,781297,780281,781605,780483,781532,781626,781372,781804,781441,781269,781955,781745,781160,780259,781123,781633,780223,782286,781058,782215,781368,782154,781319,779727,781990,780215,781725,783098,780721,783152,782570,782036,779736,781205,780948,781641,780789,781380,780373,779248,781283,782902,780893,781322,781583,781268,781280,780468,781733,781791,781388,780848,780523,780071,781779,782068,780824,780535,780282,781567,782335,783008,781317,780751,783985,779892,781574,782021,781766,781129,780853,780213,780500,781990,780452,780921,781038,780666,780276,780604,780026,782868,781012,780923,779769,779536,781240,781929,783153,781957,780221,781387,782001,779861,782179,780627,780906,780445,781389,780989,780439,781749,781344,781595,781131,780942,781301,779914,781465,781493,781829,780947,780747,782053,782964,782021,781526,782171,780584,780617,781819,781348,779980,780341,781258,781256,781632,782357,781879,782429,782095,780936,781224,780883,781901,781718,779605,780936,782868,782128,783446,780682,781466,780536,779398,781899,781157,780636,780380,781370,780917,780867,781857,781144,780124,782245,781347,780725,781025,780859,781330,781285,780425,780063,780091,781514,781562,780057,781886,782208,780715,780540,781223,780083,781098,781720,781206,780282,779827,782110,782253,782729,783206,781629,780377,782632,780039,780947,781654,781300,781714,781356,779634,780649,783422,782107,780236,780168,780940,781537,781284,781011,781917,781151,780846,781949,780212,781001,781594,781226,780243,780383,783049,781952,780697,783053,781682,781052,780765,781567,781069,780422,783350,779777,781571,781850,781679,781806,780774,781071,779282,783406,782619,781792,781031,781577,781661,781928,781656,780898,781941,782358,779644,781568,781028,782128,780628,782539,781348,781268,3.9498156799687106e-05,-0.84243450325949387,-1.3564663191151154,0.62326100129798323,-1.546218529616296,2.0965692632361419,-0.49219756359510825,-2.3127856742535848,0.3606129964174033,1.455323255536306,0.23367254768310211,-0.32640052066496322,-1.1782830692760666,-0.29683877894709321,0.2154617756956366,1.8324279909893095,-0.40528306130804226,-0.68502440609798432,-0.3809138074883579,-2.0864571138747889,1.2548268220541889,0.76224147855177193,-1.6524837947350597,-0.043784925546277803,1.2902551088670868,2.1828206369429539,-0.56098054012844412,-0.73610651815208705,-1.1674104008532977,0.19090125263839311,0.11143193817372417,-1.8179271139244688,0.42481495223549837
