seg 200/50000  x=4.00e+09  87s  eta 21562s
seg 400/50000  x=8.00e+09  169s  eta 20947s
seg 600/50000  x=1.20e+10  248s  eta 20441s
seg 800/50000  x=1.60e+10  334s  eta 20521s
seg 1000/50000  x=2.00e+10  424s  eta 20772s
seg 1200/50000  x=2.40e+10  526s  eta 21377s
seg 1400/50000  x=2.80e+10  629s  eta 21838s
seg 1600/50000  x=3.20e+10  729s  eta 22065s
seg 1800/50000  x=3.60e+10  826s  eta 22110s
seg 2000/50000  x=4.00e+10  927s  eta 22248s
seg 2200/50000  x=4.40e+10  1039s  eta 22570s
seg 2400/50000  x=4.80e+10  1134s  eta 22487s
seg 2600/50000  x=5.20e+10  1235s  eta 22513s
seg 2800/50000  x=5.60e+10  1355s  eta 22846s
seg 3000/50000  x=6.00e+10  1456s  eta 22806s
seg 3200/50000  x=6.40e+10  1549s  eta 22647s
seg 3400/50000  x=6.80e+10  1635s  eta 22414s
seg 3600/50000  x=7.20e+10  1719s  eta 22153s
seg 3800/50000  x=7.60e+10  1808s  eta 21986s
seg 4000/50000  x=8.00e+10  1906s  eta 21914s
seg 4200/50000  x=8.40e+10  2002s  eta 21831s
seg 4400/50000  x=8.80e+10  2102s  eta 21787s
seg 4600/50000  x=9.20e+10  2187s  eta 21586s
seg 4800/50000  x=9.60e+10  2270s  eta 21373s
seg 5000/50000  x=1.00e+11  2350s  eta 21149s
seg 5200/50000  x=1.04e+11  2430s  eta 20938s
seg 5400/50000  x=1.08e+11  2520s  eta 20816s
seg 5600/50000  x=1.12e+11  2603s  eta 20634s
seg 5800/50000  x=1.16e+11  2685s  eta 20460s
seg 6000/50000  x=1.20e+11  2766s  eta 20285s
seg 6200/50000  x=1.24e+11  2850s  eta 20132s
seg 6400/50000  x=1.28e+11  2933s  eta 19981s
seg 6600/50000  x=1.32e+11  3016s  eta 19831s
seg 6800/50000  x=1.36e+11  3098s  eta 19679s
seg 7000/50000  x=1.40e+11  3184s  eta 19558s
seg 7200/50000  x=1.44e+11  3269s  eta 19433s
seg 7400/50000  x=1.48e+11  3355s  eta 19313s
seg 7600/50000  x=1.52e+11  3441s  eta 19198s
seg 7800/50000  x=1.56e+11  3528s  eta 19086s
seg 8000/50000  x=1.60e+11  3609s  eta 18946s
seg 8200/50000  x=1.64e+11  3696s  eta 18842s
seg 8400/50000  x=1.68e+11  3780s  eta 18720s
seg 8600/50000  x=1.72e+11  3869s  eta 18623s
seg 8800/50000  x=1.76e+11  3954s  eta 18514s
seg 9000/50000  x=1.80e+11  4035s  eta 18381s
seg 9200/50000  x=1.84e+11  4117s  eta 18256s
seg 9400/50000  x=1.88e+11  4202s  eta 18148s
seg 9600/50000  x=1.92e+11  4284s  eta 18027s
seg 9800/50000  x=1.96e+11  4369s  eta 17921s
seg 10000/50000  x=2.00e+11  4451s  eta 17803s
seg 10200/50000  x=2.04e+11  4534s  eta 17693s
seg 10400/50000  x=2.08e+11  4618s  eta 17585s
seg 10600/50000  x=2.12e+11  4698s  eta 17463s
seg 10800/50000  x=2.16e+11  4777s  eta 17340s
seg 11000/50000  x=2.20e+11  4854s  eta 17210s
seg 11200/50000  x=2.24e+11  4935s  eta 17096s
seg 11400/50000  x=2.28e+11  5013s  eta 16975s
seg 11600/50000  x=2.32e+11  5095s  eta 16865s
seg 11800/50000  x=2.36e+11  5174s  eta 16748s
seg 12000/50000  x=2.40e+11  5254s  eta 16638s
seg 12200/50000  x=2.44e+11  5356s  eta 16596s
seg 12400/50000  x=2.48e+11  5444s  eta 16508s
seg 12600/50000  x=2.52e+11  5521s  eta 16388s
seg 12800/50000  x=2.56e+11  5598s  eta 16270s
seg 13000/50000  x=2.60e+11  5679s  eta 16163s
seg 13200/50000  x=2.64e+11  5768s  eta 16081s
seg 13400/50000  x=2.68e+11  5856s  eta 15993s
seg 13600/50000  x=2.72e+11  5944s  eta 15909s
seg 13800/50000  x=2.76e+11  6034s  eta 15828s
seg 14000/50000  x=2.80e+11  6117s  eta 15730s
seg 14200/50000  x=2.84e+11  6199s  eta 15629s
seg 14400/50000  x=2.88e+11  6282s  eta 15530s
seg 14600/50000  x=2.92e+11  6369s  eta 15443s
seg 14800/50000  x=2.96e+11  6466s  eta 15378s
seg 15000/50000  x=3.00e+11  6567s  eta 15324s
