000 001 2
000 010 1
000 011 2
000 022 1
000 100 0
000 101 0
000 110 1
000 111 0
000 122 0
000 202 2
000 212 1
000 220 0
000 221 2
001 010 1
001 011 1
001 022 2
001 100 2
001 101 0
001 110 1
001 111 1
001 122 2
001 202 0
001 212 0
001 220 0
001 221 0
010 011 2
010 022 2
010 100 0
010 101 0
010 110 0
010 111 0
010 122 2
010 202 2
010 212 2
010 220 1
010 221 1
011 022 1
011 100 2
011 101 0
011 110 2
011 111 0
011 122 1
011 202 0
011 212 0
011 220 1
011 221 1
022 100 1
022 101 2
022 110 2
022 111 0
022 122 0
022 202 1
022 212 0
022 220 0
022 221 2
100 101 2
100 110 1
100 111 2
100 122 1
100 202 0
100 212 0
100 220 1
100 221 1
101 110 1
101 111 1
101 122 2
101 202 2
101 212 2
101 220 1
101 221 1
110 111 2
110 122 2
110 202 0
110 212 0
110 220 0
110 221 0
111 122 1
111 202 1
111 212 2
111 220 2
111 221 0
122 202 0
122 212 1
122 220 2
122 221 0
202 212 1
202 220 2
202 221 1
212 220 1
212 221 2
220 221 2
