n,alpha,m,exists,witness
7,5/4,1,1,0
7,5/4,2,1,01
7,5/4,3,1,012
7,5/4,4,1,0123
7,5/4,5,1,01234
7,5/4,6,1,012345
7,5/4,7,1,0123456
7,5/4,8,1,01230425
7,5/4,9,1,012304135
7,5/4,10,1,0123041324
7,5/4,11,1,01230413245
7,5/4,12,1,012304132456
7,5/4,13,1,0123041320534
7,5/4,14,1,01230413205146
7,5/4,15,1,012304132051425
7,5/4,16,1,0123041320514256
7,5/4,17,1,01230413201425134
7,5/4,18,1,012304132014231524
7,5/4,19,1,0123041320142310245
7,5/4,20,1,01230413201423102435
7,5/4,21,1,012304132014231024156
7,5/4,22,1,0123041320142310241526
7,5/4,23,1,01230413201423102415264
7,5/4,24,1,012304132014231024130526
7,5/4,25,1,0123041320142310241305146
7,5/4,26,1,01230413201423102413051425
7,5/4,27,1,012304132014231024130514256
7,5/4,28,1,0123041320142310241304210324
7,5/4,29,1,01230413201423102413042103245
7,5/4,30,1,012304132014231024130421032456
7,5/4,31,1,0123041320142310241304210324536
7,5/4,32,1,01230413201423102413042103240526
7,5/4,33,1,012304132014231024130421032405136
7,5/4,34,1,0123041320142310241304210324051345
7,5/4,35,1,01230413201423102413042103240513425
7,5/4,36,1,012304132014231024130421032401342536
7,5/4,37,1,0123041320142310241304210324013420356
7,5/4,38,1,01230413201423102413042103240134203145
7,5/4,39,1,012304132014231024130421032401342031456
7,5/4,40,1,0123041320142310241304210324012503140265
7,5/4,41,1,01230413201423102413042103240125031402135
7,5/4,42,1,012304132014231024130421032401250314021345
7,5/4,43,1,0123041320142310241304210324012503140213426
7,5/4,44,1,01230413201423102413042103240123410243051345
7,5/4,45,1,012304132014231024130421032401234102430513425
7,5/4,46,1,0123041320142310241304210324012341024301420345
7,5/4,47,1,01230413201423102413042103240123410243014203156
7,5/4,48,1,012304132014231024130421032401230513201523102536
7,5/4,49,1,0123041320142310241304210324012305132015231025136
7,5/4,50,1,01230413201423102413042103240123051320152310251345
7,5/4,51,1,012304132014231024130421032401230513201523102513426
7,5/4,52,1,0123041320142310241304210324012304510241503120432145
7,5/4,53,1,01230413201423102413042103240123045102415031204160245
7,5/4,54,1,012304132014231024130421032401230451024150312041602135
7,5/4,55,1,0123041320142310241304210324012304510241503120416021345
7,5/4,56,1,01230413201423102413042103240123041502130512031402150326
7,5/4,57,1,012304132014231024130421032401230415021305120314021503246
7,5/4,58,1,0123041320142310241304210324012304150213051203140215032456
7,5/4,59,1,01564350634561405164506153640563451605461506453601465241632
7,5/4,60,1,012304132014231024130421032401230415021305120314021503240526
