n=4 alpha=7/5: |V_14| = 33 test blocks
n=4 k=3: |V_k|=4 C2pairs=0 preserve-survivors=0  [0.0s]
n=4 k=4: |V_k|=5 C2pairs=0 preserve-survivors=0  [0.0s]
n=4 k=5: |V_k|=7 C2pairs=0 preserve-survivors=0  [0.0s]
n=4 k=6: |V_k|=9 C2pairs=2 preserve-survivors=0  [0.0s]
n=4 k=7: |V_k|=12 C2pairs=7 preserve-survivors=0  [0.0s]
n=4 k=8: |V_k|=16 C2pairs=10 preserve-survivors=0  [0.0s]
n=4 k=9: |V_k|=19 C2pairs=24 preserve-survivors=0  [0.0s]
n=4 k=10: |V_k|=21 C2pairs=8 preserve-survivors=0  [0.0s]
n=4 k=11: |V_k|=25 C2pairs=48 preserve-survivors=0  [0.0s]
n=4 k=12: |V_k|=27 C2pairs=26 preserve-survivors=0  [0.0s]
n=4 k=13: |V_k|=29 C2pairs=30 preserve-survivors=0  [0.0s]
n=4 k=14: |V_k|=33 C2pairs=50 preserve-survivors=0  [0.0s]
n=4 k=15: |V_k|=35 C2pairs=12 preserve-survivors=0  [0.0s]
n=4 k=16: |V_k|=40 C2pairs=80 preserve-survivors=0  [0.0s]
n=4 k=17: |V_k|=47 C2pairs=81 preserve-survivors=0  [0.0s]
n=4 k=18: |V_k|=51 C2pairs=84 preserve-survivors=0  [0.0s]
n=4 k=19: |V_k|=59 C2pairs=129 preserve-survivors=0  [0.0s]
n=4 k=20: |V_k|=63 C2pairs=240 preserve-survivors=0  [0.0s]
n=4 k=21: |V_k|=71 C2pairs=121 preserve-survivors=0  [0.0s]
n=4 k=22: |V_k|=80 C2pairs=420 preserve-survivors=0  [0.1s]
n=4 k=23: |V_k|=89 C2pairs=282 preserve-survivors=0  [0.0s]
n=4 k=24: |V_k|=102 C2pairs=500 preserve-survivors=0  [0.1s]
n=4 k=25: |V_k|=112 C2pairs=353 preserve-survivors=0  [0.1s]
n=4 k=26: |V_k|=127 C2pairs=542 preserve-survivors=0  [0.1s]
n=4: total C2 pairs seen: 3049
