n,alpha,m,exists,witness
4,7/5,1,1,0
4,7/5,2,1,01
4,7/5,3,1,012
4,7/5,4,1,0123
4,7/5,5,0,
4,7/5,6,0,
4,7/5,7,0,
4,7/5,8,1,01203213
4,7/5,9,1,012031023
4,7/5,10,1,0120310213
4,7/5,11,0,
4,7/5,12,0,
4,7/5,13,0,
4,7/5,14,0,
4,7/5,15,0,
4,7/5,16,0,
4,7/5,17,0,
4,7/5,18,0,
4,7/5,19,0,
4,7/5,20,0,
4,7/5,21,1,012310320130231203213
4,7/5,22,0,
4,7/5,23,0,
4,7/5,24,0,
4,7/5,25,0,
4,7/5,26,0,
4,7/5,27,0,
4,7/5,28,0,
4,7/5,29,0,
4,7/5,30,1,012302132031023012032130231032
4,7/5,31,0,
4,7/5,32,1,01302103201230213203123013210312
4,7/5,33,1,013023103201230213203123013210312
4,7/5,34,1,0120310213201231032130231201321023
4,7/5,35,0,
4,7/5,36,1,012310213012032102312013210312302132
4,7/5,37,0,
4,7/5,38,0,
4,7/5,39,0,
4,7/5,40,0,
4,7/5,41,0,
4,7/5,42,0,
4,7/5,43,0,
4,7/5,44,0,
4,7/5,45,0,
4,7/5,46,0,
4,7/5,47,0,
4,7/5,48,0,
4,7/5,49,0,
4,7/5,50,0,
4,7/5,51,0,
4,7/5,52,0,
4,7/5,53,0,
4,7/5,54,0,
4,7/5,55,0,
4,7/5,56,0,
4,7/5,57,0,
4,7/5,58,0,
4,7/5,59,0,
4,7/5,60,0,
4,7/5,61,0,
4,7/5,62,0,
4,7/5,63,0,
4,7/5,64,0,
4,7/5,65,0,
4,7/5,66,0,
4,7/5,67,0,
4,7/5,68,0,
4,7/5,69,0,
4,7/5,70,1,0123103201302312032102301203102132012310321302312013210312301320310213
4,7/5,71,0,
4,7/5,72,0,
4,7/5,73,1,0130231203210230132031230213201231032130231201321031230132031021301231032
4,7/5,74,0,
4,7/5,75,0,
4,7/5,76,0,
4,7/5,77,0,
4,7/5,78,1,012031021301231032013021031201321023120321301231021320123021032013023120321023
4,7/5,79,1,0120310213012310320130210312013210231203213012310213203123021032013023120321023
4,7/5,80,1,01302103123013210231203213012310213201230210320130231203210230132031021301231032
4,7/5,81,1,012310213012032102312013021031230132031021301231032013023120321023013203123021032
4,7/5,82,0,
4,7/5,83,0,
4,7/5,84,0,
4,7/5,85,0,
4,7/5,86,0,
4,7/5,87,0,
4,7/5,88,1,0123021031201321023012031021301231032130231203210230132031230210320130231032130123102132
4,7/5,89,1,01203102130123103201302103123013203102301203213023120132103123021320123103213023120321023
4,7/5,90,1,013021032012310213012032102301320312302132012310321302312013210312302132031023012032102312
4,7/5,91,0,
4,7/5,92,0,
4,7/5,93,0,
4,7/5,94,0,
4,7/5,95,0,
4,7/5,96,0,
4,7/5,97,0,
4,7/5,98,0,
4,7/5,99,0,
4,7/5,100,0,
4,7/5,101,0,
4,7/5,102,0,
4,7/5,103,0,
4,7/5,104,1,01302103123013210231203213012310213203123021032013023103213012031021320123021031201321023012032130231032
4,7/5,105,0,
4,7/5,106,0,
4,7/5,107,1,01321023012031021301231032013023120321023013203123021032012310213012032102312013210312302132012310321302312
4,7/5,108,1,013210230120310213012310321302312013210312302132012310213012031023013210312013023103213012310213201230210312
4,7/5,109,1,0123102130120321023120130210320123021320312301321023120321301231021320312302103201302312032102301320312302132
4,7/5,110,1,01203102132012302103120132102301203102130123103201302103123013210231203213012310213203123013210312013023103213
4,7/5,111,0,
4,7/5,112,1,0120321302310320123021320312301321023120321301231021320123021031201321023012031021301231032013021031230132031023
4,7/5,113,0,
4,7/5,114,1,013203102130123103201302103120132102312032130123102132031230132103120130210320123021320310230120321023120132103123
4,7/5,115,1,0132031230213201231021301203210231201302103201231021320312301321023120321301231021320123021032013023103213012031023
4,7/5,116,1,01203102130123103201302103120132102301203213023103201230213203123013210231203213012310213203123021032013023120321023
4,7/5,117,1,013210312013021032012310213203123013210231203213012310320130210312013210230120310213201230210312013023103213012031023
4,7/5,118,1,0132103120130210320123021320310230120321302310320130210312301320310213012310321302312013210312302132012310213012031023
4,7/5,119,1,01231032130231201321031230213203102301203213023103201230213203123013210231203213012310213201230210312013210230120310213
4,7/5,120,1,012031021301231032013021031201321023120321302310320123021320312301321031201302310321301231021320123021032013023120321023
4,7/5,121,1,0132031021301231032130231201321031230132031023012032130231032013021031201321023120321301231021320123021032013023120321023
4,7/5,122,1,01320310213012032102312013021032012310213203123013210231203213023103201302103120132102301203102130123103213023120132103123
4,7/5,123,1,012310321301203102301321031201302103201230213203102301203210231201302103123013203102130123103201302312032102301320312302132
4,7/5,124,1,0120310213012310320130210312013210231203213012310213203123013210312013023103213012031023013203123021320123103213023120321023
4,7/5,125,1,01203102130123103201302103120132102301203213023103201230213203123013210312013023103213012031023013203123021032013023120321023
