n,m,status,solutions,nodes,depth_nodes,seconds
2,1,NONE,0,1,"1,0",0.011
2,2,FOUND,1,2,"1,1",0.0
3,2,NONE,0,1,"1,0,0",0.0
3,3,NONE,0,1,"1,0,0",0.0
3,4,FOUND,2,5,"1,2,2",0.0
4,4,NONE,0,1,"1,0,0,0",0.0
4,5,NONE,0,1,"1,0,0,0",0.0
4,6,NONE,0,3,"1,1,1,0",0.0
4,7,FOUND,1,10,"1,2,6,1",0.0
5,7,NONE,0,1,"1,0,0,0,0",0.0
5,8,NONE,0,1,"1,0,0,0,0",0.002
5,9,NONE,0,1,"1,0,0,0,0",0.0
5,10,NONE,0,1,"1,0,0,0,0",0.0
5,11,NONE,0,11,"1,2,3,5,0",0.0
5,12,NONE,0,34,"1,3,9,21,0",0.0
5,13,FOUND,1,71,"1,5,20,44,1",0.01
6,13,NONE,0,1,"1,0,0,0,0,0",0.0
6,14,NONE,0,1,"1,0,0,0,0,0",0.0
6,15,NONE,0,1,"1,0,0,0,0,0",0.0
6,16,NONE,0,1,"1,0,0,0,0,0",0.0
6,17,NONE,0,1,"1,0,0,0,0,0",0.0
6,18,NONE,0,4,"1,1,1,1,0,0",0.0
6,19,NONE,0,19,"1,2,5,7,4,0",0.0
6,20,NONE,0,80,"1,4,11,25,39,0",0.0
6,21,NONE,0,205,"1,5,19,64,116,0",0.0
6,22,NONE,0,488,"1,6,31,138,312,0",0.0
6,23,NONE,0,855,"1,8,45,247,554,0",0.0
6,24,FOUND,1,1172,"1,9,62,300,799,1",0.0
7,24,NONE,0,1,"1,0,0,0,0,0,0",0.0
7,25,NONE,0,1,"1,0,0,0,0,0,0",0.0
7,26,NONE,0,1,"1,0,0,0,0,0,0",0.002
7,27,NONE,0,1,"1,0,0,0,0,0,0",0.001
7,28,NONE,0,1,"1,0,0,0,0,0,0",0.0
7,29,NONE,0,1,"1,0,0,0,0,0,0",0.0
7,30,NONE,0,1,"1,0,0,0,0,0,0",0.0
7,31,NONE,0,3,"1,1,1,0,0,0,0",0.0
7,32,NONE,0,9,"1,2,3,3,0,0,0",0.002
7,33,NONE,0,27,"1,3,7,11,5,0,0",0.0
7,34,NONE,0,92,"1,4,13,31,34,9,0",0.0
7,35,NONE,0,303,"1,5,21,62,118,96,0",0.0
7,36,NONE,0,776,"1,7,31,116,303,318,0",0.0
7,37,NONE,0,1642,"1,8,44,191,661,737,0",0.011
7,38,NONE,0,3366,"1,9,58,300,1302,1696,0",0.0
7,39,NONE,0,5707,"1,10,74,439,2279,2904,0",0.001
7,40,NONE,0,10287,"1,12,93,624,3661,5896,0",0.001
7,41,NONE,0,14936,"1,13,114,864,5525,8419,0",0.002
7,42,NONE,0,23958,"1,14,136,1168,8314,14325,0",0.001
7,43,NONE,0,32805,"1,16,163,1549,11733,19343,0",0.003
7,44,FOUND,1,904,"1,17,191,7,145,542,1",0.002
8,44,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,45,NONE,0,1,"1,0,0,0,0,0,0,0",0.012
8,46,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,47,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,48,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,49,NONE,0,1,"1,0,0,0,0,0,0,0",0.001
8,50,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,51,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,52,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,53,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,54,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,55,NONE,0,1,"1,0,0,0,0,0,0,0",0.0
8,56,NONE,0,3,"1,1,1,0,0,0,0,0",0.0
8,57,NONE,0,9,"1,2,3,3,0,0,0,0",0.0
8,58,NONE,0,25,"1,3,7,10,4,0,0,0",0.0
8,59,NONE,0,70,"1,4,13,28,23,1,0,0",0.0
