n,m,status,solutions,nodes,depth_nodes,tasks,seconds,threads,engine
10,161,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.001,4,dss_search3+tight
10,162,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,163,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,164,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,165,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,166,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,167,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,168,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,169,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,170,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.001,4,dss_search3+tight
10,171,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,172,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,173,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.001,4,dss_search3+tight
10,174,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,175,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,176,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,177,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,178,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.017,4,dss_search3+tight
10,179,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,180,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,181,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,182,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,183,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,184,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,185,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,186,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,187,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,188,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.001,4,dss_search3+tight
10,189,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.005,4,dss_search3+tight
10,190,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.000,4,dss_search3+tight
10,191,NONE,0,1,"1,0,0,0,0,0,0,0,0,0",0,0.001,4,dss_search3+tight
10,192,NONE,0,3,"1,1,1,0,0,0,0,0,0,0",1,0.000,4,dss_search3+tight
10,193,NONE,0,10,"1,2,3,4,0,0,0,0,0,0",3,0.000,4,dss_search3+tight
10,194,NONE,0,24,"1,3,8,10,2,0,0,0,0,0",8,0.000,4,dss_search3+tight
10,195,NONE,0,51,"1,4,14,22,10,0,0,0,0,0",14,0.000,4,dss_search3+tight
10,196,NONE,0,106,"1,6,21,44,33,1,0,0,0,0",21,0.000,4,dss_search3+tight
10,197,NONE,0,219,"1,7,29,85,89,8,0,0,0,0",29,0.001,4,dss_search3+tight
10,198,NONE,0,389,"1,8,39,126,180,35,0,0,0,0",39,0.001,4,dss_search3+tight
10,199,NONE,0,699,"1,9,50,181,353,105,0,0,0,0",50,0.004,4,dss_search3+tight
10,200,NONE,0,1229,"1,10,62,254,624,276,2,0,0,0",62,0.001,4,dss_search3+tight
10,201,NONE,0,2124,"1,11,76,375,1008,635,18,0,0,0",76,0.001,4,dss_search3+tight
10,202,NONE,0,3533,"1,12,92,487,1555,1311,75,0,0,0",92,0.012,4,dss_search3+tight
10,203,NONE,0,5802,"1,13,109,620,2289,2524,246,0,0,0",109,0.002,4,dss_search3+tight
10,204,NONE,0,9432,"1,15,127,802,3268,4563,656,0,0,0",127,0.002,4,dss_search3+tight
