graph6	class	class_sizes
O????B_wCoI_F?AoCW?M?	T2	-
O????B_wCoI_K_BO@W?M?	E	[10, 10, 10, 10]
O????B_wCoI_E_IO?w?M?	E	[10, 10, 10, 10]
O????B_wCoI_E_HO?w?U?	E	[10, 10, 10, 10]
O????B_wCoI_E_BOCW?M?	E	[10, 10, 10, 10]
O????B_wCoI_CoJ?@W?M?	E	[10, 10, 10, 10]
O????B_wCoI_CoI_@g?M?	E	[10, 10, 10, 10]
O????B_sF?F?F?Ao?w?M?	T2	-
O????B_sF?D_F?Ao?w?e?	T2	-
O????B_sF?D_E_DO@W?M?	T2	-
O????B_sEOCoH_@oBG?q?	T2	-
O????B_sEOCoHOF?AW?U?	E	[10, 10, 10, 10]
O????B_sDOM?F?Ao?w?M?	T2	-
O????B_sDOM?D_BO@W?M?	E	[10, 10, 10, 10]
O????B_sDOJ?J?@o?w?e?	T2	-
O????B_sDOI_I_DO@W?M?	E	[10, 10, 10, 10]
O????B_sCWM?J?AoAW?M?	T2	-
O????B_sCWL?I_CoAg?M?	E	[10, 10, 10, 10]
O????B_sCWL?E_DOCW?M?	E	[10, 10, 10, 10]
O????B_sCWL?E_CoCg?M?	E	[10, 10, 10, 10]
O????B_sCWL?B_KOAW?M?	E	[10, 10, 10, 10]
O????B_sCWL?AoK_Ag?M?	E	[10, 10, 10, 10]
O????B_sCWH_Ao@oEO@a?	E	[10, 10, 10, 10]
O????B_sCWKOI_BOAW?i?	E	[10, 10, 10, 10]
O????B_sCWKOAoB_EG?i?	E	[10, 10, 10, 10]
O????B_sCWHOM?HO?w?e?	E	[10, 10, 10, 10]
O????B_sCWHOJ?DOAW@E?	E	[10, 10, 10, 10]
O????B_sCWHOJ?@oAW@a?	E	[10, 10, 10, 10]
O????B_sCWHOB_HOAW@a?	E	[10, 10, 10, 10]
O????B_sCWHOIOL?AW?M?	E	[10, 10, 10, 10]
O????B_sCWHOIOH_Ag?e?	E	[10, 10, 10, 10]
O????B_sCWHOBOL?CW?e?	E	[10, 10, 10, 10]
O????B_sCWHOBOH_EG?e?	E	[10, 10, 10, 10]
O????B_sCWHOBO@oEG@c?	E	[10, 10, 10, 10]
O????B_sCWGWI_E_Cg?i?	E	[10, 10, 10, 10]
O????B_sCWGWB_AoE_@a?	E	[10, 10, 10, 10]
O????B_eCKIGL?R?CW?U?	E	[10, 10, 10, 10]
O????B_eCKIGL?Q_@g@E?	E	[10, 10, 10, 10]
O???CB?wB_F?F?B_?w?F?	T2	-
O???CB?wB_BGEOB_Co?L?	T2	-
O???CB?wB@F?EO@oAo?[?	E	[10, 10, 10, 10]
O???CB?wB@F?DOAoAo?[?	E	[10, 10, 10, 10]
O???CB?wB@F?DO@o@o?s?	E	[10, 10, 10, 10]
O???CB?wB@F?@o@oB_?s?	X	[11, 10, 10, 9]
O???CB?wA`DGM?D_?w?[?	E	[10, 10, 10, 10]
O???CB?wA`DGL?E_?w?[?	E	[10, 10, 10, 10]
O???CB?[B_D_a_BGAW?M?	E	[10, 10, 10, 10]
O???CB?[B_D_a_AWAo?M?	E	[10, 10, 10, 10]
O???CB?[B_PGIOB_?s?k?	T2	-
O???CB?[B_DGb?AgAo?M?	E	[10, 10, 10, 10]
O???CB?[B_@cI_EO?wCK?	E	[10, 10, 10, 10]
O???CB?[BOE_b?@gAW?U?	E	[10, 10, 10, 10]
O???CB?[BOCod?BG@W?e?	E	[10, 10, 10, 10]
O???CB?[BOCo`_DGBG?U?	E	[10, 10, 10, 10]
O???CB?[BOCo`_@WBG?s?	E	[10, 10, 10, 10]
O???CB?[BOQGIOD_?s?[?	E	[10, 10, 10, 10]
O???CB?[BOEGb?AoAo?L?	E	[10, 10, 10, 10]
