graph6	class	class_sizes
S???????F?[?e?U?Ao@I?B_?@o?B_?D_?	T2	-
S???????F?[?e?U?Ao@I?@o?@o?P_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?U?Ao@I?BG?BO?B_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?U?Ao@I?@g?HO?B_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?U?Ao@I?@W?HO?D_?D_?	X	[14, 12, 12, 12]
S???????F?[?e?U?Ao@I?@W?BO?P_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?U?Ao@I?@W?@o?S_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?U?Ao@I?@K?J??B_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?U?Ao@I?@K?H_?E_?D_?	E	[13, 13, 12, 12]
S???????F?[?e?T?@W?U?Cg?DO@@_?H_?	T2	-
S???????F?[?e?T?@W?U?Cg?Co?H_@A_?	T2	-
S???????F?[?e?T?@W?T?@o?Oo?B_@G_?	E	[13, 13, 12, 12]
S???????F?[?e?P_Ag?Y?Co?Go?D_@@_?	T2	-
S???????F?[?e?D_Ag?L?OS?H_?S_@@_?	E	[13, 13, 12, 12]
S???????F?Y?w?M?B_?U?@o?Co?D_?B_?	T2	-
S???????F?Y?w?M?B_?U?@g?DO?D_?B_?	T2	-
S???????F?Y?w?M?B_?U?@g?Co?B_?E_?	T2	-
S???????F?Y?w?M?B_?U?@K?Co?F??E_?	T2	-
S???????F?Y?w?J?@o?R?@W?PO?c_?D_?	T2	-
S???????F?Y?w?J?@o?R?@S?R??`_?D_?	T2	-
S???????F?Y?w?J?@o?R?@S?P_?c_?D_?	T2	-
S???????F?Y?w?J?AW?d?B_?KO?B_?B_?	T2	-
S???????F?Y?w?J?AW?d?B_?HO?H_?B_?	T2	-
S???????F?Y?w?J?AW?d?Ao?KO?H_?B_?	T2	-
S???????F?Y?w?J?AW?d?Ac?L??H_?B_?	T2	-
S???????F?Y?q?L?DO?Y?DG?Ao?B_?E_?	E	[13, 13, 12, 12]
S???????F?Y?q?L?DO?Y?@g?BO?`_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?e?Ao?Go?H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?e?Ag?HO?H_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_E_?e?Ag?Go?I_?B_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Co?i?EO?Go?B_?D_?	T2	-
S???????F?Y?q?H_Co?i?EG?HO?D_?B_?	T2	-
S???????F?Y?q?H_Co?i?AW?HO?`_?D_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_EG?k?BG?Go?B_?E_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_EG?k?@g?Go?Q_?B_?	T2	-
S???????F?Y?q?H_Cg?H_Cg?H_?o_?E_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Cg?H_CK?I_?q??E_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Cg?H_?k?P_?U??o_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Ag?[?GW?HO?`_?D_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Ag?[?GK?P_?P_?E_?	E	[13, 13, 12, 12]
S???????F?Y?q?H_Ag?[?CK?`_?P_?E_?	E	[13, 13, 12, 12]
S???????F?Y?i?[?B_?[?@W?BO?D_?B_?	T2	-
S???????F?Y?i?U?@o@I?DG?@o?E_?D_?	E	[13, 13, 12, 12]
S???????F?Y?i?U?@o@I?@W?BO?`_?D_?	E	[13, 13, 12, 12]
S???????F?Y?i?U?@o@I?@W?@o?c_?D_?	E	[13, 13, 12, 12]
S???????F?Y?i?U?@o@I?@K?P_?E_?D_?	E	[13, 13, 12, 12]
S???????F?Y?i?T?@o?U?@g?PO@@_?B_?	E	[13, 13, 12, 12]
S???????F?Y?i?T?@o?U?CW?@o?H_@C_?	E	[13, 13, 12, 12]
S???????F?Y?b?Y?E_?M?Co?Ao?P_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Y?E_?M?Cg?Ao?Q_?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Y?@o@a?CW?BO?H_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?R?@o?F??s?`_@__?`_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@o?q?CW?_o?D_?I_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@o?q?GK?B_?`_?I_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_CW?U?EG?SO?B_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_CW?U?EG?Oo?I_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_CW?U?BG?PO?`_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_CW?U?AW?Oo?g_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@K?o_Go?DO?h??D_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@K?o_GW?F??g_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@K?o_GW?F??c_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?W_@K?o_GS?F??h??D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_@B?@o?PO?D_?`_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_@B?CW?BO?c_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_@B?CS?R??H_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_@B?CS?B_?c_?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_D_@B?CS?BO?d??H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@o?J??w?`O?`_@__?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@o?J?GS?P_@__?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@o?J?GS?PO@`??D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Q_@o?J??s?@o@`?@__?	E	[13, 13, 12, 12]
S???????F?Y?b?I_BG@E?DO@?o?H_?D_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@o?F?IC?P_@__?H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@o?F?IC?PO@`??H_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@o?F?IC?@o?`_@g??	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?W_Gg?T?@__?B_?	E	[13, 13, 12, 12]
S???????F?Y?b?Oo@S?W_?s?c_?`_@a??	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?`_@g?J??B_@O_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?`_@g?B_?Q_@O_?	E	[13, 13, 12, 12]
S???????F?R?`_[?Gg?`_@g?BO?R?@O_?	E	[13, 13, 12, 12]
S??????_E?[?[?ECAa@S?BO?E_?BO?F??	E	[13, 13, 12, 12]
S??????_E?[?[?ECAa@S?Ao?Cg?J??F??	E	[13, 13, 12, 12]
S??????_E?[?[?ECAa@S?AW?DG?L??F??	E	[13, 13, 12, 12]
S??????_E?[?WCECB_?w?H_?B_?F??BO?	T2	-
S??????_E?[?WCECAo?b?HO?L??DO?T??	E	[13, 13, 12, 12]
S??????_E?[?WAM?Ao?i?BG?IO?B_?F??	E	[13, 13, 12, 12]
S??????_E?[?WAM?Ao?i?BG?Go?E_?F??	E	[13, 13, 12, 12]
S??????_E?[?WAM?Ao?i?@c?I_?B_?R??	E	[13, 13, 12, 12]
S??????_E?[?WAM?Ao?i?@c?Go?R??F??	E	[13, 13, 12, 12]
S??????_E?[?WAM?Ao?i?@K?IO?R??F??	E	[13, 13, 12, 12]
S??????_E?[?WAM?BA?K_D_?D_?R??F??	E	[13, 13, 12, 12]
S??????_E?[?WAKCBA?k?B_?H_?J??F??	E	[13, 13, 12, 12]
S??????_E?[?WAKCBA?k?BO?I_?J??F??	E	[13, 13, 12, 12]
S??????_E?[?WAKCBA?k?BO?H_?F??L??	E	[13, 13, 12, 12]
S??????_E?[?WAKCBA?k?AW?H_?M??L??	T2	-
S??????_E?[?WAECBA@g?Ao?E_?J??F??	T2	-
S??????_E?[?SAJ?F??U?Cc?E_?B_?J??	E	[13, 13, 12, 12]
S??????_E?[?SAJ?F??U??s?Ao?h??J??	E	[13, 13, 12, 12]
