n,i,j,family,k_or_m,new_this_session,witness_saving_prime
10,3,5,pow3,2,no,3
16,2,6,pow2,4,no,2
28,3,14,pow3,3,no,3
28,5,14,other,,no,5
244,3,122,pow3,5,no,3
512,2,147,pow2,9,no,2
2048,2,713,pow2,11,yes_below_sweep,2
2188,3,1094,pow3,7,no,3
1594324,3,797162,pow3,13,no,3
2199023255552,2,285920731515,pow2,41,YES,2
147573952589676412928,2,23206563898901803639,pow2,67,YES,2
2535301200456458802993406410752,2,137177249633792241973877360183,pow2,101,YES,2
174224571863520493293247799005065324265472,2,16141961986503368055107762054812561012816,pow2,137,YES,2
