family,exp,level,status,detail
pow2,3,2,NONE,
pow2,3,3,NONE,
pow2,4,2,FAIL,6:EXC
pow2,4,3,NONE,
pow2,5,2,NONE,
pow2,5,3,NONE,
pow2,6,2,NONE,
pow2,6,3,NONE,
pow2,7,2,NONE,
pow2,7,3,NONE,
pow2,8,2,NONE,
pow2,8,3,NONE,
pow2,9,2,FAIL,147:EXC
pow2,9,3,NONE,
pow2,10,2,NONE,
pow2,10,3,NONE,
pow2,11,2,FAIL,713:EXC
pow2,11,3,NONE,
pow2,12,2,NONE,
pow2,12,3,NONE,
pow2,13,2,NONE,
pow2,13,3,NONE,
pow2,14,2,NONE,
pow2,14,3,NONE,
pow2,15,2,NONE,
pow2,15,3,NONE,
pow2,16,2,NONE,
pow2,16,3,NONE,
pow2,17,2,NONE,
pow2,17,3,NONE,
pow2,18,2,NONE,
pow2,18,3,NONE,
pow2,19,2,NONE,
pow2,19,3,NONE,
pow2,20,2,NONE,
pow2,20,3,NONE,
pow2,21,2,NONE,
pow2,21,3,NONE,
pow2,22,2,NONE,
pow2,22,3,NONE,
pow2,23,2,NONE,
pow2,23,3,NONE,
pow2,24,2,NONE,
pow2,24,3,NONE,
pow2,25,2,NONE,
pow2,25,3,NONE,
pow2,26,2,NONE,
pow2,26,3,NONE,
pow2,27,2,NONE,
pow2,27,3,NONE,
pow2,28,2,NONE,
pow2,28,3,NONE,
pow2,29,2,NONE,
pow2,29,3,NONE,
pow2,30,2,NONE,
pow2,30,3,NONE,
pow2,31,2,NONE,
pow2,31,3,NONE,
pow2,32,2,NONE,
pow2,32,3,NONE,
pow2,33,2,NONE,
pow2,33,3,NONE,
pow2,34,2,NONE,
pow2,34,3,NONE,
pow2,35,2,NONE,
pow2,35,3,NONE,
pow2,36,2,NONE,
pow2,36,3,NONE,
pow2,37,2,NONE,
pow2,37,3,NONE,
pow2,38,2,NONE,
pow2,38,3,NONE,
pow2,39,2,NONE,
pow2,39,3,NONE,
pow2,40,2,NONE,
pow2,40,3,NONE,
pow2,41,2,FAIL,285920731515:EXC
pow2,41,3,NONE,
pow2,42,2,NONE,
pow2,42,3,NONE,
pow2,43,2,NONE,
pow2,43,3,NONE,
pow2,44,2,NONE,
pow2,44,3,NONE,
pow2,45,2,NONE,
pow2,45,3,NONE,
pow2,46,2,NONE,
pow2,46,3,NONE,
pow2,47,2,NONE,
pow2,47,3,NONE,
pow2,48,2,NONE,
pow2,48,3,NONE,
pow2,49,2,NONE,
pow2,49,3,NONE,
pow2,50,2,NONE,
pow2,50,3,NONE,
pow2,51,2,NONE,
pow2,51,3,NONE,
pow2,52,2,NONE,
pow2,52,3,NONE,
pow2,53,2,NONE,
pow2,53,3,NONE,
pow2,54,2,NONE,
pow2,54,3,NONE,
pow2,55,2,NONE,
pow2,55,3,NONE,
pow2,56,2,NONE,
pow2,56,3,NONE,
pow2,57,2,NONE,
pow2,57,3,NONE,
pow2,58,2,NONE,
pow2,58,3,NONE,
pow2,59,2,NONE,
pow2,59,3,NONE,
pow2,60,2,NONE,
pow2,60,3,NONE,
pow2,61,2,NONE,
pow2,61,3,NONE,
pow2,62,2,NONE,
pow2,62,3,NONE,
pow2,63,2,NONE,
pow2,63,3,NONE,
pow2,64,2,NONE,
pow2,64,3,NONE,
pow2,65,2,NONE,
pow2,65,3,NONE,
pow2,66,2,NONE,
pow2,66,3,NONE,
pow2,67,2,FAIL,23206563898901803639:EXC
pow2,67,3,NONE,
pow2,68,2,NONE,
pow2,68,3,NONE,
pow2,69,2,NONE,
pow2,69,3,NONE,
pow2,70,2,NONE,
pow2,70,3,NONE,
pow2,71,2,NONE,
pow2,71,3,NONE,
pow2,72,2,NONE,
pow2,72,3,NONE,
pow2,73,2,NONE,
pow2,73,3,NONE,
pow2,74,2,NONE,
pow2,74,3,NONE,
pow2,75,2,NONE,
pow2,75,3,NONE,
pow2,76,2,NONE,
pow2,76,3,NONE,
pow2,77,2,NONE,
pow2,77,3,NONE,
pow2,78,2,NONE,
pow2,78,3,NONE,
pow2,79,2,NONE,
pow2,79,3,NONE,
pow2,80,2,NONE,
pow2,80,3,NONE,
pow2,81,2,NONE,
pow2,81,3,NONE,
pow2,82,2,NONE,
pow2,82,3,NONE,
pow2,83,2,NONE,
pow2,83,3,NONE,
pow2,84,2,NONE,
pow2,84,3,NONE,
pow2,85,2,NONE,
pow2,85,3,NONE,
pow2,86,2,NONE,
pow2,86,3,NONE,
pow2,87,2,NONE,
pow2,87,3,NONE,
pow2,88,2,NONE,
pow2,88,3,NONE,
pow2,89,2,NONE,
pow2,89,3,NONE,
pow2,90,2,NONE,
pow2,90,3,NONE,
pow2,91,2,NONE,
pow2,91,3,NONE,
pow2,92,2,NONE,
pow2,92,3,NONE,
pow2,93,2,NONE,
pow2,93,3,NONE,
pow2,94,2,NONE,
pow2,94,3,NONE,
pow2,95,2,NONE,
pow2,95,3,NONE,
pow2,96,2,NONE,
pow2,96,3,NONE,
pow2,97,2,NONE,
pow2,97,3,NONE,
pow2,98,2,NONE,
pow2,98,3,NONE,
pow2,99,2,NONE,
pow2,99,3,NONE,
pow2,100,2,NONE,
pow2,100,3,NONE,
pow2,101,2,FAIL,137177249633792241973877360183:EXC
pow2,101,3,NONE,
pow2,102,2,NONE,
pow2,102,3,NONE,
pow2,103,2,NONE,
pow2,103,3,NONE,
pow2,104,2,NONE,
pow2,104,3,NONE,
pow2,105,2,NONE,
pow2,105,3,NONE,
pow2,106,2,NONE,
pow2,106,3,NONE,
pow2,107,2,NONE,
pow2,107,3,NONE,
pow2,108,2,NONE,
pow2,108,3,NONE,
pow2,109,2,NONE,
pow2,109,3,NONE,
pow2,110,2,NONE,
pow2,110,3,NONE,
pow2,111,2,NONE,
pow2,111,3,NONE,
pow2,112,2,NONE,
pow2,112,3,NONE,
pow2,113,2,NONE,
pow2,113,3,NONE,
pow2,114,2,NONE,
pow2,114,3,NONE,
pow2,115,2,NONE,
pow2,115,3,NONE,
pow2,116,2,NONE,
pow2,116,3,NONE,
pow2,117,2,NONE,
pow2,117,3,NONE,
pow2,118,2,NONE,
pow2,118,3,NONE,
pow2,119,2,NONE,
pow2,119,3,NONE,
pow2,120,2,NONE,
pow2,120,3,NONE,
