n,minwit,argi,argj
4,1,1,2
5,1,1,2
6,1,1,2
7,1,1,2
8,1,1,2
9,1,1,2
10,1,1,2
11,1,1,2
12,1,1,3
13,1,1,2
14,1,1,2
15,1,1,3
16,1,1,2
17,1,1,2
18,1,1,2
19,1,1,2
20,1,1,4
21,1,1,3
22,1,1,2
23,1,1,2
24,1,1,3
25,1,1,2
26,1,1,2
27,1,1,2
28,1,1,4
29,1,1,2
30,1,5,14
31,1,1,2
32,1,1,2
33,1,1,3
34,1,1,2
35,1,1,5
36,1,1,4
37,1,1,2
38,1,1,2
39,1,1,3
40,1,1,5
41,1,1,2
42,1,3,7
43,1,1,2
44,1,1,4
45,1,1,5
46,1,1,2
47,1,1,2
48,1,1,3
49,1,1,2
50,1,1,2
51,1,1,3
52,1,1,4
53,1,1,2
54,1,1,2
55,1,1,5
56,1,1,7
57,1,1,3
58,1,1,2
59,1,1,2
60,1,1,30
61,1,1,2
62,1,1,2
63,1,1,7
64,1,1,2
65,1,1,5
66,1,3,11
67,1,1,2
68,1,1,4
69,1,1,3
70,2,1,2
71,1,1,2
72,1,1,8
73,1,1,2
74,1,1,2
75,1,1,3
76,1,1,4
77,1,1,7
78,1,1,6
79,1,1,2
80,1,1,5
81,1,1,2
82,1,1,2
83,1,1,2
84,2,1,3
85,1,1,5
86,1,1,2
87,1,1,3
88,1,1,8
89,1,1,2
90,1,1,10
91,1,1,7
92,1,1,4
93,1,1,3
94,1,1,2
95,1,1,5
96,1,1,3
97,1,1,2
98,1,1,2
99,1,1,9
100,1,1,4
101,1,1,2
102,1,1,34
103,1,1,2
104,1,1,8
105,2,1,3
106,1,1,2
107,1,1,2
108,1,1,4
109,1,1,2
110,1,1,10
111,1,1,3
112,1,1,7
113,1,1,2
114,1,3,57
115,1,1,5
116,1,1,4
117,1,1,9
118,1,1,2
119,1,1,7
120,1,1,30
121,1,1,2
122,1,1,2
123,1,1,3
124,1,1,4
125,1,1,2
126,1,1,14
127,1,1,2
128,1,1,2
129,1,1,3
130,2,1,2
131,1,1,2
132,2,1,3
133,1,1,7
134,1,1,2
135,1,1,5
136,1,1,8
137,1,1,2
138,1,3,69
139,1,1,2
140,2,1,4
141,1,1,3
142,1,1,2
143,1,1,11
144,1,1,9
145,1,1,5
146,1,1,2
147,1,1,3
148,1,1,4
149,1,1,2
150,1,1,6
151,1,1,2
152,1,1,8
153,1,1,9
154,2,1,2
155,1,1,5
156,1,1,12
157,1,1,2
158,1,1,2
159,1,1,3
160,1,1,5
161,1,1,7
162,1,1,2
163,1,1,2
164,1,1,4
165,2,1,3
166,1,1,2
167,1,1,2
168,2,1,3
169,1,1,2
170,1,1,10
171,1,1,9
172,1,1,4
173,1,1,2
174,1,1,12
175,1,1,7
176,1,1,11
177,1,1,3
178,1,1,2
179,1,1,2
180,2,1,4
181,1,1,2
182,2,1,2
183,1,1,3
184,1,1,8
185,1,1,5
186,1,1,18
187,1,1,11
188,1,1,4
189,1,1,7
190,1,1,10
191,1,1,2
192,1,1,3
193,1,1,2
194,1,1,2
195,1,1,30
196,1,1,4
