k,factorization_2k_minus_1_verified,distinct_primes,exception,primality_grade
4,3*5,2,YES,deterministic
6,3^2*7,2,no,deterministic
9,7*73,2,YES,deterministic
11,23*89,2,YES,deterministic
23,47*178481,2,no,deterministic
37,223*616318177,2,no,deterministic
41,13367*164511353,2,YES,deterministic
49,127*4432676798593,2,no,deterministic
59,179951*3203431780337,2,no,deterministic
67,193707721*761838257287,2,YES,deterministic
83,167*57912614113275649087721,2,no,deterministic
97,11447*13842607235828485645766393,2,no,BPSW_large_factor
101,7432339208719*341117531003194129,2,YES,deterministic
103,2550183799*3976656429941438590393,2,no,deterministic
109,745988807*870035986098720987332873,2,no,deterministic
113,3391*23279*65993*1868569*1066818132868207,5,no,deterministic
119,127*239*20231*131071*62983048367*131105292137,6,no,deterministic
131,263*10350794431055162386718619237468234569,2,no,BPSW_large_factor
137,32032215596496435569*5439042183600204290159,2,YES,deterministic
139,5625767248687*123876132205208335762278423601,2,no,BPSW_large_factor
167,2349023*79638304766856507377778616296087448490695649,2,no,BPSW_large_factor
197,7487*26828803997912886929710867041891989490486893845712448833,2,no,BPSW_large_factor
199,164504919713*4884164093883941177660049098586324302977543600799,2,no,BPSW_large_factor
241,22000409*160619474372352289412737508720216839225805656328990879953332340439,2,no,BPSW_large_factor
