date	class	n	generated	checked	survivors48	time	cmd
2026-07-31	mindeg3	4	0	0	0	0s	geng -c -d3 -f 4 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	5	0	0	0	0s	geng -c -d3 -f 5 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	6	0	0	0	0s	geng -c -d3 -f 6 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	7	0	0	0	0s	geng -c -d3 -f 7 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	8	0	0	0	0s	geng -c -d3 -f 8 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	9	0	0	0	0s	geng -c -d3 -f 9 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	10	5	5	0	0s	geng -c -d3 -f 10 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	11	9	9	0	0s	geng -c -d3 -f 11 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	12	57	57	0	0s	geng -c -d3 -f 12 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	13	503	503	0	0s	geng -c -d3 -f 13 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	14	6059	6059	0	1s	geng -c -d3 -f 14 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-31	mindeg3	15	91433	91433	0	9s	geng -c -d3 -f 15 [Homebrew geng 2.9.3, bottom_orders.py]
2026-07-30	mindeg3	16	1655659	1655659	0	37s	geng -c -d3 -f 16 [mod=4]
2026-07-30	mindeg3	17	34758006	34758006	0	599s	geng -c -d3 -f 17 [mod=8]
2026-07-31	mindeg3	18	834711846	834711846	0	12480s	geng -c -d3 -f 18 [mod=48]
