b,N_scanned,n_even,even_elements,is_exceptional,predicted_4b2p2bm4
5,4150,3,"4 14 24",0,106
7,4294,4,"4 18 32 206",1,206
9,4486,3,"4 22 40",0,338
11,4726,3,"4 26 48",0,502
13,5014,3,"4 30 56",0,698
15,5350,4,"4 34 64 926",1,926
17,5734,3,"4 38 72",0,1186
19,6166,3,"4 42 80",0,1478
21,6646,3,"4 46 88",0,1802
23,7174,3,"4 50 96",0,2158
25,7750,3,"4 54 104",0,2546
27,8374,3,"4 58 112",0,2966
29,9046,3,"4 62 120",0,3418
31,9766,4,"4 66 128 3902",1,3902
33,10534,3,"4 70 136",0,4418
35,11350,3,"4 74 144",0,4966
37,12214,3,"4 78 152",0,5546
39,13126,3,"4 82 160",0,6158
41,14086,3,"4 86 168",0,6802
43,15094,3,"4 90 176",0,7478
45,16150,3,"4 94 184",0,8186
47,17254,3,"4 98 192",0,8926
49,18406,3,"4 102 200",0,9698
51,19606,3,"4 106 208",0,10502
53,20854,3,"4 110 216",0,11338
55,22150,3,"4 114 224",0,12206
57,23494,3,"4 118 232",0,13106
59,24886,3,"4 122 240",0,14038
61,26326,3,"4 126 248",0,15002
63,27814,4,"4 130 256 15998",1,15998
65,29350,3,"4 134 264",0,17026
67,30934,3,"4 138 272",0,18086
69,32566,3,"4 142 280",0,19178
71,34246,3,"4 146 288",0,20302
73,35974,3,"4 150 296",0,21458
75,37750,3,"4 154 304",0,22646
77,39574,3,"4 158 312",0,23866
79,41446,3,"4 162 320",0,25118
81,43366,3,"4 166 328",0,26402
83,45334,3,"4 170 336",0,27718
85,47350,3,"4 174 344",0,29066
87,49414,3,"4 178 352",0,30446
89,51526,3,"4 182 360",0,31858
91,53686,3,"4 186 368",0,33302
93,55894,3,"4 190 376",0,34778
95,58150,3,"4 194 384",0,36286
97,60454,3,"4 198 392",0,37826
99,62806,3,"4 202 400",0,39398
101,65206,3,"4 206 408",0,41002
103,67654,3,"4 210 416",0,42638
105,70150,3,"4 214 424",0,44306
107,72694,3,"4 218 432",0,46006
109,75286,3,"4 222 440",0,47738
111,77926,3,"4 226 448",0,49502
113,80614,3,"4 230 456",0,51298
115,83350,3,"4 234 464",0,53126
117,86134,3,"4 238 472",0,54986
119,88966,3,"4 242 480",0,56878
121,91846,3,"4 246 488",0,58802
123,94774,3,"4 250 496",0,60758
125,97750,3,"4 254 504",0,62746
127,100774,4,"4 258 512 64766",1,64766
129,103846,3,"4 262 520",0,66818
131,106966,3,"4 266 528",0,68902
133,110134,3,"4 270 536",0,71018
135,113350,3,"4 274 544",0,73166
137,116614,3,"4 278 552",0,75346
139,119926,3,"4 282 560",0,77558
141,123286,3,"4 286 568",0,79802
143,126694,3,"4 290 576",0,82078
145,130150,3,"4 294 584",0,84386
147,133654,3,"4 298 592",0,86726
149,137206,3,"4 302 600",0,89098
151,140806,3,"4 306 608",0,91502
153,144454,3,"4 310 616",0,93938
155,148150,3,"4 314 624",0,96406
157,151894,3,"4 318 632",0,98906
159,155686,3,"4 322 640",0,101438
161,159526,3,"4 326 648",0,104002
163,163414,3,"4 330 656",0,106598
165,167350,3,"4 334 664",0,109226
167,171334,3,"4 338 672",0,111886
169,175366,3,"4 342 680",0,114578
171,179446,3,"4 346 688",0,117302
173,183574,3,"4 350 696",0,120058
175,187750,3,"4 354 704",0,122846
177,191974,3,"4 358 712",0,125666
179,196246,3,"4 362 720",0,128518
181,200566,3,"4 366 728",0,131402
183,204934,3,"4 370 736",0,134318
185,209350,3,"4 374 744",0,137266
187,213814,3,"4 378 752",0,140246
189,218326,3,"4 382 760",0,143258
