a,b,E,W,X0,X1,P,nR,B,prior
4,5,"4,14,24",24,4000,4001,192,32,8822,Cassaigne-Finch 1995
4,7,"4,18,32,206",206,4000,80188659,11301098,1927959,205582126,reported open
4,9,"4,22,40",40,4000,4001,640,88,10646,Cassaigne-Finch 1995
4,11,"4,26,48",48,4000,4001,1318,246,13374,reported open
4,13,"4,30,56",56,4000,4001,896,104,11702,Cassaigne-Finch 1995
4,17,"4,38,72",72,4000,4001,2304,248,17366,Cassaigne-Finch 1995
4,19,"4,42,80",80,4000,14825,2560,352,40054,reported open
4,21,"4,46,88",88,4000,4001,2816,280,19446,Cassaigne-Finch 1995
4,23,"4,50,96",96,4000,4001,29858,5173,127630,reported open
4,25,"4,54,104",104,4000,4001,3328,304,21526,Cassaigne-Finch 1995
4,27,"4,58,112",112,4000,179079,57862,10270,589834,reported open
4,29,"4,62,120",120,4000,4001,3840,320,23606,Cassaigne-Finch 1995
4,33,"4,70,136",136,4000,4001,8704,712,43094,Cassaigne-Finch 1995
4,35,"4,74,144",144,4000,1666723,5326,826,3355042,reported open
4,37,"4,78,152",152,4000,4001,9728,776,47222,Cassaigne-Finch 1995
4,39,"4,82,160",160,4000,4001,620796,108966,2491510,reported open
4,41,"4,86,168",168,4000,4001,10752,824,51350,Cassaigne-Finch 1995
4,43,"4,90,176",176,4000,25613395,5632,632,51249674,reported open
4,45,"4,94,184",184,4000,4001,11776,856,55478,Cassaigne-Finch 1995
4,49,"4,102,200",200,4000,4001,12800,896,59606,Cassaigne-Finch 1995
6,7,"6,20,34,48,112",112,4000,8649,62450,9365,267326,reported open
6,11,"6,28,50,72,176",176,4000,1032601,1408,218,2071190,reported open
8,9,"8,26,44,62,80,180",180,4000,1037273,1440,180,2080670,reported open
8,11,"8,30,52,74,96,220",220,4000,2125721,2183224,299214,12984782,reported open
10,11,"10,32,54,76,98,120,264",264,4000,470567,15312,1782,1002914,reported open
10,13,"10,36,62,88,114,140,312",312,4000,5804913,2496,314,11620438,reported open
10,17,"10,44,78,112,146,180,408",408,4000,3920389,13056,1618,7893822,reported open
12,13,"12,38,64,90,116,142,168,364",364,4000,3329829,1456,149,6666214,reported open
12,17,"12,46,80,114,148,182,216,476",476,4000,3204593,7616,832,6440606,reported open
14,15,"14,44,74,104,134,164,194,224,480",480,4000,2947101,7680,856,5925886,reported open
16,17,"16,50,84,118,152,186,220,254,288,612",612,4000,11427595,48960,4620,23052258,reported open
18,19,"18,56,94,132,170,208,246,284,322,360,760",760,4000,2576877,12160,1198,5203918,reported open
