# All previously published exact generalized Schur numbers in the L(t) family,
# transcribed from Table 1 of: T. Ahmed, D. J. Schaal, "On Generalized Schur
# Numbers", Experimental Mathematics 25 (2016), no. 2, 213-218. Author preprint
# read in-session on 2026-08-07 (primary source):
#   https://raw.githubusercontent.com/tanbir/tanbir.github.io/master/files/preprints/ahmed_schaal_gen_schur.pdf
#   sha256 recorded in data/environment.txt
# "new2016" marks the 26 values the paper reports as previously unknown.
# lower_bound is the paper's Theorem 2.11 value prod(t_i) - sum_i prod_{j>=i} t_j - 1.
# The diagonal S(3;t,t,t) = t^3 - t^2 - t - 1 for ALL t is a theorem of
# Boza-Marin-Revuelta-Sanz, Discrete Appl. Math. 263 (2019) 59-68 (secondary:
# search-digest only, k-range inferred from S_k(3) = k^3 + 2k^2 - 2 with t = k+1).
# 2-color: S(2;t,t) = t^2-t-1 (Beutelspacher-Brestovansky 1982); S(2;3,t) = 3t-4
# (t odd), 3t-5 (t even); S(2;s,t) = st-t-1 for 4 <= s <= t (Robertson-Schaal
# 2001) — quoted in the Ahmed-Schaal preprint (primary).
k,t0,t1,t2,t3,value,new2016,lb_thm211
3,3,3,3,,14,0,14
3,3,3,4,,23,1,19
3,3,3,5,,32,1,24
3,3,3,6,,41,1,29
3,3,3,7,,49,1,34
3,3,4,4,,31,1,27
3,3,4,5,,47,1,34
3,3,4,6,,49,1,41
3,3,4,7,,59,1,48
3,3,5,5,,58,1,44
3,3,5,6,,70,1,53
3,3,5,7,,80,1,62
3,3,6,6,,85,1,65
3,3,6,7,,107,1,76
3,4,4,4,,43,1,43
3,4,4,5,,54,1,54
3,4,4,6,,65,1,65
3,4,4,7,,76,1,76
3,4,5,5,,69,1,69
3,4,5,6,,83,1,83
3,4,5,7,,97,1,97
3,4,6,6,,101,1,101
3,5,5,5,,94,1,94
3,5,5,6,,113,1,113
3,6,6,6,,173,1,173
4,3,3,3,3,45,0,41
4,3,3,3,4,77,1,55
4,3,3,3,5,107,1,69
# 5-color: S(5;3,3,3,3,3) = S(5): the paper had only Exoo's lower bound > 161;
# Heule (arXiv:1711.08076, 2017) proved S(5) = 161 in this convention (secondary).
