triple,conjectured,verdict,S,unsat_time_s,sat_time_s,proof_bytes,rup,witness,cnf_sha256
"4,4,4",43,CONFIRMED,43,0.1,0.0,18606,VERIFIED,OK,1be04ff7cd208cf99e803f24a4f66182fded76ea99e4ea8d321b53a61f5b1e5a
"4,4,5",54,CONFIRMED,54,0.2,0.1,22035,VERIFIED,OK,e23853cfc4890f05c2d76aa07232f14008722e889d47f06f4972fc35290c3b60
"4,4,6",65,CONFIRMED,65,0.9,0.4,18007,VERIFIED,OK,754322e5331e7e9193484b3355bdfb64c51cf8cb40badaa0d7e6d1a900648364
"4,5,5",69,CONFIRMED,69,0.5,0.3,30053,VERIFIED,OK,c9dca29d88813bfcd6db135dee1e84978e1caa756fb15c2520acfe6c70e34b4d
"5,5,5",94,CONFIRMED,94,2.6,1.7,14432,VERIFIED,OK,f297f8aca54abae8b278ec52e63d5a45358386a20ff65c74bc89f14f1b121b44
"4,4,7",76,CONFIRMED,76,4.1,3.0,26500,VERIFIED,OK,1ff775fd74428930a8232895ef0362601d92ed94065ce518ab1cd2d51bf5c4b8
"4,5,6",83,CONFIRMED,83,2.6,1.9,93551,VERIFIED,OK,b172dc1b8a7f11b7dbf813f4de4e7acaf1fd752350e2b6db0ce38aa2d61e9177
"4,6,6",101,CONFIRMED,101,13.9,11.2,24263,VERIFIED,OK,3f1ca28294a1806bf8e92762ebe6ceeccbddb4ab39bbbba11eb58d850a5a79ab
"4,5,7",97,CONFIRMED,97,23.0,14.7,35363,VERIFIED,OK,e9f933fe206616c78aa448be4fed6f7e4b5ff0943781eeae459bcc8625355f8c
"5,5,6",113,CONFIRMED,113,13.5,17.5,40604,VERIFIED,OK,99246d59481faf5239403229e19319379b591c50d3b98fa83e5e6110e3ef7ac7
