i,c_i,se
0.000000000000000000e+00,1.000019365014380490e+00,1.581380833523752367e-04
1.000000000000000000e+00,9.998093219766432949e-01,1.581129770991475164e-04
2.000000000000000000e+00,7.777608924067599405e-01,1.349717953456121028e-04
3.000000000000000000e+00,7.881302376282158795e-01,1.415309075327518648e-04
4.000000000000000000e+00,5.381099968223497232e-01,1.051000959607942086e-04
5.000000000000000000e+00,5.532553317058239717e-01,1.140545613526614736e-04
6.000000000000000000e+00,4.484739742229497117e-01,1.005879445668745231e-04
7.000000000000000000e+00,4.913030113707855251e-01,1.138522452122985528e-04
8.000000000000000000e+00,3.168488783254154728e-01,7.622970747138143688e-05
9.000000000000000000e+00,3.429996375681857446e-01,8.658482684596156842e-05
1.000000000000000000e+01,2.804657901452475288e-01,7.727046683535087745e-05
1.100000000000000000e+01,3.261263057494412365e-01,9.121169034376997386e-05
1.200000000000000000e+01,2.217200096383239727e-01,6.665907924771967386e-05
1.300000000000000000e+01,2.613923682660988512e-01,7.983598900612349516e-05
1.400000000000000000e+01,2.184945501358371289e-01,7.277287840696690228e-05
1.500000000000000000e+01,2.781579158422847198e-01,8.943374578971144981e-05
1.600000000000000000e+01,1.626875097798026193e-01,5.438751724766376062e-05
1.700000000000000000e+01,1.978732650955537242e-01,6.545271836153561721e-05
1.800000000000000000e+01,1.631797154348118284e-01,5.927578972663967785e-05
1.900000000000000000e+01,2.118471388685408963e-01,7.308289016827309388e-05
2.000000000000000000e+01,1.356745329478446505e-01,5.220940940184495935e-05
2.100000000000000000e+01,1.753663077921554514e-01,6.478178138258952048e-05
2.200000000000000000e+01,1.467326485601186670e-01,5.964199082233250616e-05
2.300000000000000000e+01,2.026412902080997891e-01,7.535200515195443092e-05
2.400000000000000000e+01,1.132475173218163711e-01,4.650796563892723188e-05
2.500000000000000000e+01,1.493875886797348118e-01,5.795582508362398505e-05
2.600000000000000000e+01,1.234761896113558688e-01,5.313041647429842223e-05
2.700000000000000000e+01,1.730704266059220897e-01,6.748273908350941556e-05
2.800000000000000000e+01,1.049975298533542128e-01,4.759001133191124289e-05
2.900000000000000000e+01,1.456565773276546905e-01,6.069294190838365381e-05
3.000000000000000000e+01,1.224581414051120198e-01,5.650726516615946270e-05
3.100000000000000000e+01,1.807593385614341963e-01,7.303695228527962689e-05
3.200000000000000000e+01,8.871310697374940046e-02,3.997081372811250551e-05
3.300000000000000000e+01,1.217629542477556559e-01,5.013187266247244741e-05
3.400000000000000000e+01,9.991023737604078081e-02,4.593027933719274954e-05
3.500000000000000000e+01,1.446986752332034554e-01,5.852609909531277459e-05
3.600000000000000000e+01,8.390930138387717174e-02,4.074302968277290158e-05
3.700000000000000000e+01,1.192323448577852912e-01,5.204441982252955593e-05
3.800000000000000000e+01,9.948630328256273525e-02,4.838147547672872574e-05
3.900000000000000000e+01,1.494160074144203210e-01,6.260780046149273554e-05
4.000000000000000000e+01,7.399264363383073473e-02,3.680669318304613942e-05
4.100000000000000000e+01,1.049505730682755850e-01,4.692319289425001596e-05
4.200000000000000000e+01,8.628949152132021905e-02,4.339266742427384154e-05
4.300000000000000000e+01,1.290291239747482221e-01,5.610153240889571494e-05
4.400000000000000000e+01,7.282763984581837324e-02,3.893872250897553917e-05
4.500000000000000000e+01,1.071781381059931648e-01,5.056633527195230769e-05
4.600000000000000000e+01,9.004208965806206888e-02,4.745606126155320435e-05
4.700000000000000000e+01,1.399447116937877489e-01,6.223944525878025668e-05
4.800000000000000000e+01,6.319156771555868579e-02,3.342813125477688278e-05
4.900000000000000000e+01,9.142935288236168911e-02,4.279297679112391696e-05
5.000000000000000000e+01,7.504883690558961096e-02,3.962506618248061902e-05
5.100000000000000000e+01,1.142614572710017734e-01,5.140181908350558847e-05
5.200000000000000000e+01,6.258311596259008569e-02,3.535437787036644025e-05
5.300000000000000000e+01,9.347887955869231547e-02,4.599780089926232214e-05
5.400000000000000000e+01,7.849100713583677391e-02,4.326189254473545160e-05
5.500000000000000000e+01,1.235014659576726126e-01,5.682632715971246904e-05
5.600000000000000000e+01,5.620246166069628457e-02,3.232558765430186098e-05
5.700000000000000000e+01,8.336760312905627801e-02,4.193823607320344303e-05
5.800000000000000000e+01,6.893508151218220859e-02,3.917582166636732075e-05
5.900000000000000000e+01,1.077008416689496512e-01,5.144289783647702633e-05
6.000000000000000000e+01,5.796168848407445146e-02,3.547015631902992241e-05
6.100000000000000000e+01,8.925585898382701333e-02,4.679274898728174350e-05
6.200000000000000000e+01,7.578334220601050386e-02,4.436137733676311751e-05
6.300000000000000000e+01,1.228279444520573999e-01,5.892353695884662009e-05
6.400000000000000000e+01,4.925369331628456915e-02,7.430995747883263863e-05
6.500000000000000000e+01,7.362104403786981499e-02,9.625461008987827875e-05
6.600000000000000000e+01,6.048152548466995126e-02,8.912546571475149677e-05
6.700000000000000000e+01,9.485191321727633185e-02,1.165749736749104455e-04
6.800000000000000000e+01,4.978161269277085743e-02,7.899715184580736083e-05
6.900000000000000000e+01,7.663089473775401561e-02,1.037063586173567843e-04
7.000000000000000000e+01,6.445898981253678217e-02,9.758250784298027616e-05
7.100000000000000000e+01,1.042300097449546104e-01,1.292317579262369591e-04
7.200000000000000000e+01,4.444726482563341602e-02,7.168322645864363756e-05
7.300000000000000000e+01,6.753560940096713094e-02,9.372132630832464585e-05
7.400000000000000000e+01,5.574293342499000298e-02,8.725426785740562343e-05
7.500000000000000000e+01,8.890958050179605110e-02,1.153229894050834207e-04
7.600000000000000000e+01,4.640270768582945016e-02,7.873656024702929679e-05
7.700000000000000000e+01,7.285071045535057577e-02,1.044576411299633344e-04
7.800000000000000000e+01,6.187489338041904374e-02,9.886212917619556799e-05
7.900000000000000000e+01,1.018996820673874204e-01,1.318858148862135627e-04
8.000000000000000000e+01,3.993202170891439057e-02,6.644442725538061403e-05
8.100000000000000000e+01,6.104579074822614332e-02,8.673114803258729385e-05
8.200000000000000000e+01,5.030797639706482277e-02,8.103693164146076968e-05
8.300000000000000000e+01,8.062327048271769603e-02,1.068165467893891589e-04
8.400000000000000000e+01,4.133232850625055688e-02,7.218711443513144718e-05
8.500000000000000000e+01,6.514966133234277590e-02,9.566775091862582772e-05
8.600000000000000000e+01,5.513374889936981105e-02,9.063913364398391121e-05
8.700000000000000000e+01,9.098101584042049550e-02,1.208345495879766386e-04
8.800000000000000000e+01,3.725408036390071009e-02,6.618126904567858064e-05
8.900000000000000000e+01,5.785333763774173910e-02,8.726052498211191524e-05
9.000000000000000000e+01,4.809409547751582886e-02,8.195515854044913083e-05
9.100000000000000000e+01,7.843988557159776998e-02,1.092572618252942481e-04
9.200000000000000000e+01,4.008780395712516903e-02,7.459220624656003919e-05
9.300000000000000000e+01,6.450167119394802084e-02,9.985768757150618959e-05
9.400000000000000000e+01,5.537381926816081074e-02,9.546736266698516030e-05
9.500000000000000000e+01,9.325207408747387960e-02,1.284190120852832457e-04
9.600000000000000000e+01,3.370159635478754689e-02,6.064989495122834754e-05
9.700000000000000000e+01,5.254124630756179526e-02,7.958043761514123446e-05
9.800000000000000000e+01,4.339333581630885894e-02,7.406303361203527306e-05
9.900000000000000000e+01,7.079092369963725651e-02,9.815193753081296864e-05
1.000000000000000000e+02,3.543564624774642180e-02,6.636455143485830998e-05
1.010000000000000000e+02,5.692794941904209816e-02,8.839555686190960794e-05
1.020000000000000000e+02,4.842014344592267955e-02,8.368636560745748760e-05
1.030000000000000000e+02,8.118988615722644298e-02,1.121320563607670765e-04
1.040000000000000000e+02,3.168988933253536616e-02,6.040202601622451613e-05
1.050000000000000000e+02,5.006056939150455021e-02,7.999583891243868471e-05
1.060000000000000000e+02,4.175054008142525808e-02,7.524268772219013153e-05
1.070000000000000000e+02,6.898754372769469456e-02,1.004677758236753349e-04
1.080000000000000000e+02,3.457222987267313113e-02,6.838174609120644309e-05
1.090000000000000000e+02,5.639493197498905014e-02,9.185553212857084228e-05
1.100000000000000000e+02,4.861261757926084448e-02,8.769252266690400616e-05
1.110000000000000000e+02,8.269184527040583654e-02,1.181303684322377711e-04
1.120000000000000000e+02,2.930507336210210964e-02,5.701459497735128859e-05
1.130000000000000000e+02,4.640496260917310878e-02,7.526665436626285674e-05
1.140000000000000000e+02,3.864387589188292282e-02,7.089906278960351332e-05
1.150000000000000000e+02,6.388469920367748078e-02,9.433591410921049643e-05
1.160000000000000000e+02,3.150311425070402571e-02,6.359664663002607358e-05
1.170000000000000000e+02,5.149088427241146904e-02,8.523365484695881933e-05
1.180000000000000000e+02,4.415487940025267233e-02,8.135380350703735961e-05
1.190000000000000000e+02,7.513967501422204320e-02,1.094770557255962386e-04
1.200000000000000000e+02,2.833642297942315369e-02,5.838005127381118572e-05
1.210000000000000000e+02,4.559188085533306262e-02,7.790128836705115625e-05
1.220000000000000000e+02,3.835460594481291535e-02,7.376285259407245308e-05
