p,t,prior,today
7,2,proof_refereed,certified_full_layer
7,3,proof_refereed,certified_full_layer
7,4,proof_refereed,certified_full_layer
7,5,proof_refereed,certified_full_layer
7,6,proof_refereed,certified_full_layer
11,2,proof_refereed,certified_full_layer
11,3,proof_refereed,certified_full_layer
11,4,proof_refereed,certified_full_layer
11,5,proof_refereed,certified_full_layer
11,6,proof_refereed,certified_full_layer
11,7,proof_refereed,certified_full_layer
11,8,proof_refereed,certified_full_layer
11,9,proof_refereed,certified_full_layer
11,10,proof_refereed,certified_full_layer
13,2,proof_refereed,certified_full_layer
13,3,proof_refereed,certified_full_layer
13,4,proof_refereed,certified_full_layer
13,5,proof_refereed,certified_full_layer
13,6,proof_refereed,certified_full_layer
13,7,proof_refereed,certified_full_layer
13,8,proof_refereed,certified_full_layer
13,9,proof_refereed,certified_full_layer
13,10,proof_refereed,certified_full_layer
13,11,proof_refereed,certified_full_layer
13,12,proof_refereed,certified_full_layer
17,2,proof_refereed,certified_full_layer
17,3,proof_refereed,certified_full_layer
17,4,proof_refereed,certified_full_layer
17,5,proof_refereed,certified_full_layer
17,6,proof_refereed,certified_full_layer
17,7,proof_refereed,certified_full_layer
17,8,proof_refereed,certified_full_layer
17,9,proof_refereed,certified_full_layer
17,10,proof_refereed,certified_full_layer
17,11,proof_refereed,certified_full_layer
17,12,proof_refereed,certified_full_layer
17,13,proof_preprint2026,certified_full_layer
17,14,proof_preprint2026,certified_full_layer
17,15,proof_preprint2026,certified_full_layer
17,16,proof_preprint2026,certified_full_layer
19,2,proof_refereed,certified_full_layer
19,3,proof_refereed,certified_full_layer
19,4,proof_refereed,certified_full_layer
19,5,proof_refereed,certified_full_layer
19,6,proof_refereed,certified_full_layer
19,7,proof_refereed,certified_full_layer
19,8,proof_refereed,certified_full_layer
19,9,proof_refereed,certified_full_layer
19,10,proof_refereed,certified_full_layer
19,11,proof_refereed,certified_full_layer
19,12,proof_refereed,certified_full_layer
19,13,proof_preprint2026,certified_full_layer
19,14,proof_preprint2026,certified_full_layer
19,15,proof_preprint2026,certified_full_layer
19,16,proof_preprint2026,certified_full_layer
19,17,proof_preprint2026,certified_full_layer
19,18,proof_preprint2026,certified_full_layer
23,2,proof_refereed,certified_full_layer
23,3,proof_refereed,certified_full_layer
23,4,proof_refereed,certified_full_layer
23,5,proof_refereed,certified_full_layer
23,6,proof_refereed,certified_full_layer
23,7,proof_refereed,certified_full_layer
23,8,proof_refereed,certified_full_layer
23,9,proof_refereed,certified_full_layer
23,10,proof_refereed,certified_full_layer
23,11,proof_refereed,certified_full_layer
23,12,proof_refereed,certified_full_layer
23,13,proof_preprint2026,certified_full_layer
23,14,proof_preprint2026,certified_full_layer
23,15,proof_preprint2026,certified_full_layer
23,16,proof_preprint2026,certified_full_layer
23,17,proof_preprint2026,certified_full_layer
23,18,proof_preprint2026,certified_full_layer
23,19,proof_preprint2026,certified_full_layer
23,20,proof_preprint2026,certified_full_layer
23,21,proof_preprint2026_zerosum_only,certified_full_layer
23,22,proof_preprint2026_zerosum_only,certified_full_layer
29,2,proof_refereed,certified_full_layer
29,3,proof_refereed,certified_full_layer
29,4,proof_refereed,certified_full_layer
29,5,proof_refereed,certified_full_layer
29,6,proof_refereed,certified_full_layer
29,7,proof_refereed,certified_full_layer
29,8,proof_refereed,certified_full_layer
29,9,proof_refereed,certified_full_layer
29,10,proof_refereed,certified_full_layer
29,11,proof_refereed,certified_full_layer
29,12,proof_refereed,certified_full_layer
29,13,proof_preprint2026,certified_full_layer
29,14,proof_preprint2026,certified_full_layer
29,15,proof_preprint2026,certified_full_layer
29,16,proof_preprint2026,certified_full_layer
29,17,proof_preprint2026,certified_full_layer
29,18,proof_preprint2026,certified_full_layer
29,19,proof_preprint2026,certified_full_layer
29,20,proof_preprint2026,certified_full_layer
29,21,proof_preprint2026_zerosum_only,certified_full_layer
29,22,proof_preprint2026_zerosum_only,certified_full_layer
29,23,open,certified_full_layer
29,24,open,certified_full_layer
29,25,open,certified_full_layer
29,26,proof_refereed_nonzerosum_only,certified_full_layer
29,27,proof_refereed,certified_full_layer
29,28,proof_refereed,certified_full_layer
31,2,proof_refereed,certified_full_layer
31,3,proof_refereed,certified_full_layer
31,4,proof_refereed,certified_full_layer
31,5,proof_refereed,certified_full_layer
31,6,proof_refereed,certified_full_layer
31,7,proof_refereed,certified_full_layer
31,8,proof_refereed,certified_full_layer
31,9,proof_refereed,certified_full_layer
31,10,proof_refereed,certified_full_layer
31,11,proof_refereed,certified_full_layer
31,12,proof_refereed,certified_full_layer
31,13,proof_preprint2026,certified_full_layer
31,14,proof_preprint2026,certified_full_layer
31,15,proof_preprint2026,certified_full_layer
31,16,proof_preprint2026,certified_full_layer
31,17,proof_preprint2026,certified_full_layer
31,18,proof_preprint2026,certified_full_layer
31,19,proof_preprint2026,certified_full_layer
31,20,proof_preprint2026,certified_full_layer
31,21,proof_preprint2026_zerosum_only,certified_full_layer
31,22,proof_preprint2026_zerosum_only,certified_full_layer
31,23,open,certified_full_layer
31,24,open,certified_full_layer
31,25,open,certified_full_layer
31,26,open,certified_full_layer
31,27,open,certified_full_layer
31,28,proof_refereed_nonzerosum_only,certified_full_layer
31,29,proof_refereed,certified_full_layer
31,30,proof_refereed,certified_full_layer
37,2,proof_refereed,certified_full_layer
37,3,proof_refereed,certified_full_layer
37,4,proof_refereed,certified_full_layer
37,5,proof_refereed,certified_full_layer
37,6,proof_refereed,certified_full_layer
37,7,proof_refereed,certified_full_layer
37,8,proof_refereed,certified_full_layer
37,9,proof_refereed,certified_full_layer
37,10,proof_refereed,certified_full_layer
37,11,proof_refereed,certified_full_layer
37,12,proof_refereed,certified_full_layer
37,13,proof_preprint2026,certified_full_layer
37,14,proof_preprint2026,certified_full_layer
37,15,proof_preprint2026,certified_full_layer
37,16,proof_preprint2026,certified_full_layer
37,17,proof_preprint2026,certified_full_layer
37,18,proof_preprint2026,certified_full_layer
37,19,proof_preprint2026,certified_full_layer
37,20,proof_preprint2026,certified_full_layer
37,21,proof_preprint2026_zerosum_only,certified_full_layer
37,22,proof_preprint2026_zerosum_only,certified_full_layer
37,23,open,certified_full_layer
37,24,open,certified_full_layer
37,25,open,certified_full_layer
37,26,open,certified_full_layer
37,27,open,certified_full_layer
37,28,open,certified_full_layer
37,29,open,certified_full_layer
37,30,open,certified_full_layer
37,31,open,certified_full_layer
37,32,open,certified_full_layer
37,33,open,certified_full_layer
37,34,proof_refereed_nonzerosum_only,certified_full_layer
37,35,proof_refereed,certified_full_layer
37,36,proof_refereed,certified_full_layer
41,2,proof_refereed,
41,3,proof_refereed,
41,4,proof_refereed,
41,5,proof_refereed,
41,6,proof_refereed,
41,7,proof_refereed,
41,8,proof_refereed,
41,9,proof_refereed,
41,10,proof_refereed,
41,11,proof_refereed,
41,12,proof_refereed,
41,13,proof_preprint2026,
41,14,proof_preprint2026,
41,15,proof_preprint2026,
41,16,proof_preprint2026,
41,17,proof_preprint2026,
41,18,proof_preprint2026,
41,19,proof_preprint2026,
41,20,proof_preprint2026,
41,21,proof_preprint2026_zerosum_only,
41,22,proof_preprint2026_zerosum_only,
41,23,open,
41,24,open,
41,25,open,
41,26,open,
41,27,open,
41,28,open,certified_full_layer
41,29,open,certified_full_layer
41,30,open,certified_full_layer
41,31,open,certified_full_layer
41,32,open,certified_full_layer
41,33,open,certified_full_layer
41,34,open,certified_full_layer
41,35,open,certified_full_layer
41,36,open,certified_full_layer
41,37,open,certified_full_layer
41,38,proof_refereed_nonzerosum_only,certified_full_layer
41,39,proof_refereed,certified_full_layer
41,40,proof_refereed,certified_full_layer
43,2,proof_refereed,
43,3,proof_refereed,
43,4,proof_refereed,
43,5,proof_refereed,
43,6,proof_refereed,
43,7,proof_refereed,
43,8,proof_refereed,
43,9,proof_refereed,
43,10,proof_refereed,
43,11,proof_refereed,
43,12,proof_refereed,
43,13,proof_preprint2026,
43,14,proof_preprint2026,
43,15,proof_preprint2026,
43,16,proof_preprint2026,
43,17,proof_preprint2026,
43,18,proof_preprint2026,
43,19,proof_preprint2026,
43,20,proof_preprint2026,
43,21,proof_preprint2026_zerosum_only,
43,22,proof_preprint2026_zerosum_only,
43,23,open,
43,24,open,
43,25,open,
43,26,open,
43,27,open,
43,28,open,
43,29,open,
43,30,open,
43,31,open,
43,32,open,
43,33,open,
43,34,open,
43,35,open,
43,36,open,
43,37,open,
43,38,open,
43,39,open,
43,40,proof_refereed_nonzerosum_only,certified_zerosum_orbit_only
43,41,proof_refereed,
43,42,proof_refereed,
47,2,proof_refereed,
47,3,proof_refereed,
47,4,proof_refereed,
47,5,proof_refereed,
47,6,proof_refereed,
47,7,proof_refereed,
47,8,proof_refereed,
47,9,proof_refereed,
47,10,proof_refereed,
47,11,proof_refereed,
47,12,proof_refereed,
47,13,proof_preprint2026,
47,14,proof_preprint2026,
47,15,proof_preprint2026,
47,16,proof_preprint2026,
47,17,proof_preprint2026,
47,18,proof_preprint2026,
47,19,proof_preprint2026,
47,20,proof_preprint2026,
47,21,proof_preprint2026_zerosum_only,
47,22,proof_preprint2026_zerosum_only,
47,23,open,
47,24,open,
47,25,open,
47,26,open,
47,27,open,
47,28,open,
47,29,open,
47,30,open,
47,31,open,
47,32,open,
47,33,open,
47,34,open,
47,35,open,
47,36,open,
47,37,open,
47,38,open,
47,39,open,
47,40,open,
47,41,open,
47,42,open,
47,43,open,
47,44,proof_refereed_nonzerosum_only,certified_zerosum_orbit_only
47,45,proof_refereed,
47,46,proof_refereed,
53,2,proof_refereed,
53,3,proof_refereed,
53,4,proof_refereed,
53,5,proof_refereed,
53,6,proof_refereed,
53,7,proof_refereed,
53,8,proof_refereed,
53,9,proof_refereed,
53,10,proof_refereed,
53,11,proof_refereed,
