k,count
1,1646209172
3,1646212298
5,3026977951
7,1387929421
9,1810994405
11,2433625322
13,1376751349
15,1064818015
17,1991204620
19,1153325091
21,981574502
23,1559808909
25,771235122
27,843106921
29,1609392117
31,533002495
33,562889043
35,957182494
37,466163721
39,561916460
41,879396438
43,372356088
45,330184671
47,587064367
49,348794479
51,269910110
53,462105037
55,249707700
57,215694179
59,472677539
61,157398480
63,158505309
65,307049075
67,131461023
69,190476541
71,205372443
73,102515954
75,94908389
77,185339016
79,99809989
81,72576934
83,155328128
85,58706884
87,61507659
89,130427714
91,45878425
93,42673094
95,77342533
97,42106420
99,44648299
101,62596226
103,29642658
105,26302718
107,47476544
109,30317001
111,23981994
113,37985339
115,16879792
117,16580174
119,37243640
121,12461509
123,12729805
125,25598181
127,9516269
129,13213414
131,17718936
133,7647761
135,7247949
137,13681168
139,8998879
141,5450660
143,9761079
145,4367865
147,4679167
149,10228220
151,3470748
153,4317959
155,6267126
157,2700083
159,3281508
161,4443639
163,2186378
165,1955016
167,4296754
169,2184436
171,1475257
173,2787021
175,1342042
177,1223783
179,2774546
181,1143079
183,948578
185,1633630
187,706079
189,1000403
191,1208286
193,565404
195,627823
197,1069512
199,563780
201,418274
203,792211
205,335347
207,363533
209,882595
211,235360
213,230732
215,420252
217,194247
219,270382
221,332559
223,186000
225,138815
227,272217
229,156290
231,113319
233,212163
235,88302
237,108974
239,196564
241,72422
243,64443
245,118658
247,54624
249,66284
251,104172
253,40695
255,36625
257,71226
259,45082
261,29585
263,58879
265,29872
267,23595
269,52938
271,17505
273,18071
275,32508
277,13626
279,22220
281,23596
283,11077
285,12277
287,18398
289,11275
291,8095
293,16647
295,6585
297,6067
299,14300
301,4744
303,4787
305,8980
307,5003
309,4895
311,6582
313,2803
315,2781
317,5204
319,2968
321,2711
323,3782
325,1779
327,1746
329,4304
331,1239
333,1215
335,2527
337,1077
339,1301
341,1775
343,776
345,705
347,1356
349,928
351,660
353,1004
355,450
357,410
359,1076
361,329
363,412
365,587
367,236
369,353
371,447
373,253
375,197
377,399
379,190
381,140
383,288
385,142
387,140
389,279
391,99
393,111
395,182
397,72
399,81
401,112
403,53
405,53
407,121
409,46
411,37
413,78
415,31
417,30
419,85
421,21
423,28
425,30
427,16
429,28
431,31
433,21
435,12
437,29
439,14
441,10
443,19
445,10
447,12
449,18
451,9
453,8
455,13
457,4
459,7
461,12
463,2
465,2
467,5
469,4
471,3
473,10
475,2
477,2
479,4
483,2
485,2
489,1
491,1
493,2
495,1
497,2
499,3
503,2
513,1
515,2
531,1
533,1
539,1
