k,critical_rows
3,5
5,64
7,243
9,234
11,1342
13,2937
15,1030
17,9025
19,13537
21,8383
23,33094
25,19155
27,16552
29,71456
31,46575
33,44533
35,70546
37,72236
39,67764
41,176861
43,123962
45,97389
47,269209
49,167158
51,117912
53,312173
55,166787
57,142529
59,431955
61,202939
63,194643
65,373986
67,225176
69,300529
71,429825
73,280473
75,246673
77,485686
79,338603
81,240250
83,640797
85,244791
87,251634
89,664140
91,232454
93,218767
95,402717
97,270425
99,275595
101,462329
103,261847
105,224219
107,479997
109,355338
111,275453
113,510507
115,228785
117,224670
119,511787
121,177572
123,181068
125,367878
127,158783
129,216809
131,330364
133,144266
135,135497
137,290045
139,213393
141,129398
143,234854
145,106628
147,114414
149,280109
151,105407
153,130612
155,190243
157,92208
159,110902
161,150947
163,83598
165,73636
167,180010
169,91572
171,61276
173,128669
175,62268
177,56789
179,140783
181,63779
183,52200
185,90492
187,39782
189,56483
191,73869
193,37929
195,41281
197,76314
199,43520
201,32215
203,61409
205,26537
207,28600
209,70150
211,20096
213,19641
215,36172
217,16923
219,23710
221,29366
223,17661
225,12948
227,27411
229,17012
231,12146
233,24086
235,10331
237,12515
239,24028
241,9450
243,8327
245,15723
247,7207
249,8761
251,14800
253,5732
255,5192
257,10969
259,6835
261,4492
263,9613
265,4866
267,3802
269,9197
271,3253
273,3275
275,6062
277,2579
279,4250
281,4789
283,2362
285,2612
287,3868
289,2487
291,1776
293,3670
295,1449
297,1457
299,3304
301,1122
303,1116
305,2039
307,1272
309,1250
311,1775
313,761
315,761
317,1423
319,842
321,808
323,1088
325,504
327,478
329,1171
331,368
333,417
335,771
337,341
339,440
341,539
343,247
345,245
347,418
349,330
351,240
353,349
355,150
357,144
359,445
361,141
363,159
365,235
367,87
369,137
371,169
373,90
375,85
377,165
379,80
381,65
383,146
385,65
387,67
389,142
391,44
393,64
395,98
397,41
399,32
401,66
403,22
405,28
407,59
409,20
411,16
413,41
415,20
417,14
419,57
421,10
423,11
425,18
427,13
429,15
431,19
433,16
435,6
437,14
439,13
441,3
443,21
445,10
447,7
449,10
451,7
453,9
455,10
457,2
459,6
461,9
463,2
467,8
469,4
471,3
473,7
475,1
479,4
483,1
485,1
489,1
493,1
495,1
499,2
515,1
533,2
539,1
