p,k,m,factorization,L,assigned,margin
113,13,117,3*13,13,13,0
113,13,120,2*3*5,5,3,0
113,13,121,11,11,11,0
113,13,125,5,5,5,0
113,13,126,2*3*7,7,2,0
317,13,320,2*5,5,5,1
317,13,324,2*3,3,3,1
317,13,325,5*13,13,13,1
317,13,330,2*3*5*11,11,2,1
523,17,525,3*5*7,7,5,1
523,17,528,2*3*11,11,3,1
523,17,539,7*11,11,7,1
523,17,540,2*3*5,5,2,1
1327,33,1330,2*5*7*19,19,5,0
1327,33,1331,11,11,11,0
1327,33,1334,2*23*29,29,23,0
1327,33,1344,2*3*7,7,7,0
1327,33,1350,2*3*5,5,3,0
1327,33,1352,2*13,13,13,0
1327,33,1360,2*5*17,17,2,0
1669,23,1672,2*11*19,19,19,2
1669,23,1680,2*3*5*7,7,3,2
1669,23,1683,3*11*17,17,11,2
1669,23,1690,2*5*13,13,2,2
2179,23,2184,2*3*7*13,13,7,0
2179,23,2185,5*19*23,23,5,0
2179,23,2187,3,3,3,0
2179,23,2197,13,13,13,0
2179,23,2200,2*5*11,11,2,0
2477,25,2484,2*3*23,23,3,1
2477,25,2496,2*3*13,13,13,1
2477,25,2499,3*7*17,17,7,1
2477,25,2500,2*5,5,2,1
3229,21,3230,2*5*17*19,19,17,1
3229,21,3234,2*3*7*11,11,3,1
3229,21,3240,2*3*5,5,5,1
3229,21,3249,3*19,19,19,1
3229,21,3250,2*5*13,13,2,1
3739,21,3740,2*5*11*17,17,5,1
3739,21,3744,2*3*13,13,3,1
3739,21,3750,2*3*5,5,2,1
3739,21,3757,13*17,17,13,1
4177,23,4180,2*5*11*19,19,5,2
4177,23,4186,2*7*13*23,23,7,2
4177,23,4199,13*17*19,19,13,2
4177,23,4200,2*3*5*7,7,2,2
4831,29,4840,2*5*11,11,5,2
4831,29,4845,3*5*17*19,19,3,2
4831,29,4851,3*7*11,11,7,2
4831,29,4860,2*3*5,5,2,2
5749,29,5750,2*5*23,23,23,1
5749,29,5760,2*3*5,5,3,1
5749,29,5775,3*5*7*11,11,5,1
5749,29,5776,2*19,19,2,1
6491,29,6496,2*7*29,29,2,1
6491,29,6498,2*3*19,19,3,1
6491,29,6500,2*5*13,13,5,1
6491,29,6517,7*19,19,7,1
8389,29,8398,2*13*17*19,19,13,2
8389,29,8400,2*3*5*7,7,2,2
8389,29,8410,2*5*29,29,5,2
8389,29,8415,3*5*11*17,17,3,2
9551,35,9555,3*5*7*13,13,5,2
9551,35,9568,2*13*23,23,13,2
9551,35,9570,2*3*5*11*29,29,3,2
9551,35,9576,2*3*7*19,19,2,2
9973,33,9975,3*5*7*19,19,7,1
9973,33,9982,2*7*23*31,31,23,1
9973,33,9984,2*3*13,13,13,1
9973,33,9996,2*3*7*17,17,2,1
9973,33,10000,2*5,5,5,1
9973,33,10005,3*5*23*29,29,3,1
10799,31,10800,2*3*5,5,3,1
10799,31,10816,2*13,13,13,1
10799,31,10829,7*13*17,17,7,1
10799,31,10830,2*3*5*19,19,2,1
11743,33,11745,3*5*29,29,5,1
11743,33,11760,2*3*5*7,7,3,1
11743,33,11774,2*7*29,29,7,1
11743,33,11776,2*23,23,2,1
15683,43,15686,2*11*23*31,31,11,2
15683,43,15708,2*3*7*11*17,17,2,2
15683,43,15717,3*13*31,31,3,2
15683,43,15725,5*17*37,37,5,2
16141,41,16146,2*3*13*23,23,13,2
16141,41,16150,2*5*17*19,19,5,2
16141,41,16169,19*23*37,37,19,2
16141,41,16170,2*3*5*7*11,11,3,2
16141,41,16182,2*3*29*31,31,2,2
19609,51,19635,3*5*7*11*17,17,3,1
19609,51,19646,2*11*19*47,47,11,1
19609,51,19652,2*17,17,17,1
19609,51,19656,2*3*7*13,13,2,1
20563,29,20570,2*5*11*17,17,5,1
20563,29,20577,3*19,19,19,1
20563,29,20580,2*3*5*7,7,3,1
20563,29,20592,2*3*11*13,13,2,1
24281,35,24288,2*3*11*23,23,11,2
24281,35,24300,2*3*5,5,3,2
24281,35,24304,2*7*31,31,7,2
24281,35,24310,2*5*11*13*17,17,2,2
25261,39,25270,2*5*7*19,19,5,1
25261,39,25272,2*3*13,13,13,1
25261,39,25289,11*19,19,11,1
25261,39,25296,2*3*17*31,31,3,1
25261,39,25300,2*5*11*23,23,2,1
25471,51,25480,2*5*7*13,13,7,2
25471,51,25500,2*3*5*17,17,3,2
25471,51,25515,3*5*7,7,5,2
25471,51,25520,2*5*11*29,29,2,2
26597,29,26600,2*5*7*19,19,7,1
