decade,gaps_with_criticals,critical_rows,max_s,min_margin,tight_gaps,last_tight_p,max_L,max_k_with_critical
0,1,2,2,0,1,7,3,3
1,9,14,3,0,5,79,5,7
2,42,70,5,0,8,727,13,19
3,219,347,7,0,9,8191,31,35
4,1015,1398,10,0,11,83497,67,71
5,4454,5672,9,0,9,531383,113,113
6,18759,21810,7,0,14,9765619,151,153
7,74478,81469,7,0,10,67108859,191,219
8,284986,299063,9,0,16,893871733,281,281
9,1049580,1076022,6,0,15,8589934583,313,353
10,3761362,3807285,5,0,17,96889010371,433,463
11,13206090,13281870,4,0,18,852891037337,521,539
