p,k,m,factorization,L,assigned,margin
7,3,8,2,2,2,0
7,3,9,3,3,3,0
13,3,16,2,2,2,0
23,5,24,2*3,3,2,0
23,5,25,5,5,5,0
23,5,27,3,3,3,0
31,5,32,2,2,2,0
31,5,36,2*3,3,3,0
61,5,64,2,2,2,0
79,3,81,3,3,3,0
113,13,117,3*13,13,13,0
113,13,120,2*3*5,5,3,0
113,13,121,11,11,11,0
113,13,125,5,5,5,0
113,13,126,2*3*7,7,2,0
127,3,128,2,2,2,0
241,9,243,3,3,3,0
241,9,245,5*7,7,5,0
241,9,250,2*5,5,2,0
251,5,256,2,2,2,0
337,9,343,7,7,7,0
509,11,512,2,2,2,0
619,11,625,5,5,5,0
619,11,630,2*3*5*7,7,2,0
727,5,729,3,3,3,0
1021,9,1024,2,2,2,0
1021,9,1029,3*7,7,3,0
1327,33,1330,2*5*7*19,19,5,0
1327,33,1331,11,11,11,0
1327,33,1334,2*23*29,29,23,0
1327,33,1344,2*3*7,7,7,0
1327,33,1350,2*3*5,5,3,0
1327,33,1352,2*13,13,13,0
1327,33,1360,2*5*17,17,2,0
2039,13,2048,2,2,2,0
2179,23,2184,2*3*7*13,13,7,0
2179,23,2185,5*19*23,23,5,0
2179,23,2187,3,3,3,0
2179,23,2197,13,13,13,0
2179,23,2200,2*5*11,11,2,0
2399,11,2400,2*3*5,5,2,0
2399,11,2401,7,7,7,0
3121,15,3125,5,5,5,0
3121,15,3136,2*7,7,2,0
4093,5,4096,2,2,2,0
6553,9,6561,3,3,3,0
8191,17,8192,2,2,2,0
12163,33,12167,23,23,23,0
12163,33,12168,2*3*13,13,3,0
12163,33,12180,2*3*5*7*29,29,2,0
14639,13,14641,11,11,11,0
15619,9,15625,5,5,5,0
16381,29,16384,2,2,2,0
16787,23,16796,2*13*17*19,19,13,0
16787,23,16800,2*3*5*7,7,2,0
16787,23,16807,7,7,7,0
19681,5,19683,3,3,3,0
32749,21,32760,2*3*5*7*13,13,3,0
32749,21,32768,2,2,2,0
59029,21,59049,3,3,3,0
65521,15,65536,2,2,2,0
78121,15,78125,5,5,5,0
83497,39,83520,2*3*5*29,29,2,0
83497,39,83521,17,17,17,0
117643,15,117649,7,7,7,0
130307,29,130321,19,19,19,0
131071,29,131072,2,2,2,0
131071,29,131100,2*3*5*19*23,23,3,0
177131,35,177147,3,3,3,0
262139,7,262144,2,2,2,0
279823,23,279841,23,23,23,0
390581,65,390600,2*3*5*7*31,31,2,0
390581,65,390609,3*17*23*37,37,3,0
390581,65,390625,5,5,5,0
524287,21,524288,2,2,2,0
531383,73,531392,2*19*23,23,19,0
531383,73,531432,2*3*11*61,61,11,0
531383,73,531440,2*5*7*13*73,73,5,0
531383,73,531441,3,3,3,0
531383,73,531454,2*7*11*17*29,29,2,0
1048573,9,1048576,2,2,2,0
1419839,37,1419840,2*3*5*17*29,29,2,0
1419839,37,1419857,17,17,17,0
1594301,29,1594323,3,3,3,0
1771559,47,1771560,2*3*5*7*19*37,37,2,0
1771559,47,1771561,11,11,11,0
1953109,41,1953125,5,5,5,0
2097143,25,2097152,2,2,2,0
2476081,39,2476099,19,19,19,0
4194301,17,4194304,2,2,2,0
4782961,9,4782969,3,3,3,0
4826797,15,4826809,13,13,13,0
5764799,17,5764801,7,7,7,0
6436327,23,6436343,23,23,23,0
8388593,23,8388608,2,2,2,0
9765619,9,9765625,5,5,5,0
14348891,17,14348907,3,3,3,0
16777213,45,16777216,2,2,2,0
19487147,43,19487160,2*3*5*7*11*19*37,37,2,0
19487147,43,19487171,11,11,11,0
33554393,73,33554400,2*3*5*11*31*41,41,3,0
33554393,73,33554432,2,2,2,0
40353601,9,40353607,7,7,7,0
43046623,123,43046640,2*3*5*7*13*73,73,2,0
43046623,123,43046705,5*13*79*83*101,101,5,0
43046623,123,43046721,3,3,3,0
47045849,47,47045881,19,19,19,0
48828113,25,48828125,5,5,5,0
62748493,29,62748517,13,13,13,0
67108859,19,67108864,2,2,2,0
115856177,49,115856201,41,41,41,0
