n,m,verdict,nodes,seconds,workers,source
3,1,SAT,3,0.00,1,fresh
3,2,UNSAT,18,0.00,1,fresh
4,2,SAT,4,0.00,1,fresh
4,3,UNSAT,78,0.00,1,fresh
5,4,SAT,156,0.00,1,fresh
5,5,UNSAT,200,0.00,1,fresh
6,5,SAT,84,0.00,1,fresh
6,6,UNSAT,4178,0.00,1,fresh
7,7,SAT,1149,0.00,1,fresh
7,8,UNSAT,16796,0.00,1,fresh
8,9,SAT,1482,0.00,1,fresh
8,10,UNSAT,107042,0.02,1,fresh
9,12,SAT,42042,0.01,1,fresh
9,13,UNSAT,257574,0.05,1,fresh
10,14,SAT,47040,0.01,1,fresh
10,15,UNSAT,3767922,0.72,1,fresh
11,17,SAT,50192,0.01,1,fresh
11,18,UNSAT,20324326,3.82,1,fresh
12,21,SAT,2788932,0.42,1,fresh
12,22,UNSAT,52285114,11.10,1,fresh
13,25,UNSAT,477786646,99.35,1,results/n13_m25.txt
14,29,UNSAT,2264952960,231.0,4,results/n14_m29.txt
15,33,UNSAT,1476498420,156,4,results/n15_m33.txt
16,42,UNSAT,607406702,174,4,results/n16_m42.txt
16,38,UNSAT,5032610558,462,4,results/n16_m38.txt
