order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
2,C2,1,1,1,2,pinned,0,0.00,"(1,)"
3,C3,1,1,1,2,pinned,0,0.00,"(1,)"
4,C4,2,2,2,3,pinned,0,0.00,"(1,) (2,)"
4,C2+C2,2,2,2,3,pinned,0,0.00,"(1,0) (0,1)"
5,C5,2,2,2,3,pinned,0,0.00,"(1,) (2,)"
6,C2+C3,2,2,2,3,pinned,0,0.00,"(1,1) (0,2)"
7,C7,2,2,2,3,pinned,0,0.00,"(1,) (2,)"
8,C8,3,3,3,4,pinned,0,0.00,"(1,) (2,) (4,)"
8,C2+C4,3,3,3,4,pinned,0,0.00,"(0,1) (0,2) (1,0)"
8,C2+C2+C2,3,3,3,4,pinned,0,0.00,"(1,0,0) (0,1,0) (0,0,1)"
9,C9,3,3,3,4,pinned,0,0.00,"(1,) (2,) (4,)"
9,C3+C3,2,3,2,3,theorem-T3,9,0.00,"(0,1) (1,0)"
10,C2+C5,3,3,3,4,pinned,0,0.00,"(1,1) (0,2) (0,4)"
11,C11,3,3,3,4,pinned,0,0.00,"(1,) (2,) (4,)"
12,C3+C4,3,3,3,4,pinned,0,0.00,"(1,1) (2,2) (1,0)"
12,C2+C2+C3,3,3,3,4,pinned,0,0.00,"(1,0,1) (0,0,2) (0,1,0)"
13,C13,3,3,3,4,pinned,0,0.00,"(1,) (2,) (4,)"
14,C2+C7,3,3,3,4,pinned,0,0.00,"(1,1) (0,2) (0,4)"
15,C3+C5,3,3,3,4,pinned,0,0.00,"(1,1) (2,2) (1,4)"
16,C16,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
16,C2+C8,4,4,4,5,pinned,0,0.00,"(0,1) (0,2) (0,4) (1,0)"
16,C4+C4,4,4,4,5,pinned,0,0.00,"(1,0) (2,0) (0,1) (0,2)"
16,C2+C2+C4,4,4,4,5,pinned,0,0.00,"(0,0,1) (0,0,2) (1,0,0) (0,1,0)"
16,C2+C2+C2+C2,4,4,4,5,pinned,0,0.00,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1)"
17,C17,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
18,C2+C9,4,4,4,5,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8)"
18,C2+C3+C3,3,4,4,5,search,96,0.00,"(1,0,1) (1,1,0) (1,1,1) (1,1,2)"
19,C19,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
20,C4+C5,4,4,4,5,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,3)"
20,C2+C2+C5,4,4,4,5,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,1,0)"
21,C3+C7,4,4,4,5,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,1)"
22,C2+C11,4,4,4,5,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8)"
23,C23,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
24,C3+C8,4,4,4,5,pinned,0,0.00,"(1,1) (2,2) (1,4) (2,0)"
24,C2+C3+C4,4,4,4,5,pinned,0,0.00,"(0,1,1) (0,2,2) (0,1,0) (1,0,0)"
24,C2+C2+C2+C3,4,4,4,5,pinned,0,0.00,"(1,0,0,1) (0,0,0,2) (0,1,0,0) (0,0,1,0)"
25,C25,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
25,C5+C5,4,4,4,5,pinned,0,0.00,"(1,0) (2,0) (0,1) (0,2)"
26,C2+C13,4,4,4,5,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8)"
27,C27,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
27,C3+C9,4,4,4,5,pinned,0,0.00,"(0,1) (0,2) (0,4) (1,0)"
27,C3+C3+C3,3,4,3,4,theorem-T3,313,0.00,"(0,0,1) (0,1,0) (1,0,0)"
28,C4+C7,4,4,4,5,pinned,0,0.00,"(1,1) (2,2) (0,4) (0,1)"
28,C2+C2+C7,4,4,4,5,pinned,0,0.00,"(1,0,1) (0,0,2) (0,0,4) (0,1,0)"
29,C29,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
30,C2+C3+C5,4,4,4,5,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,3)"
31,C31,4,4,4,5,pinned,0,0.00,"(1,) (2,) (4,) (8,)"
32,C32,5,5,5,6,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,)"
32,C2+C16,5,5,5,6,pinned,0,0.00,"(0,1) (0,2) (0,4) (0,8) (1,0)"
32,C4+C8,5,5,5,6,pinned,0,0.00,"(0,1) (0,2) (0,4) (1,0) (2,0)"
32,C2+C2+C8,5,5,5,6,pinned,0,0.00,"(0,0,1) (0,0,2) (0,0,4) (1,0,0) (0,1,0)"
32,C2+C4+C4,5,5,5,6,pinned,0,0.00,"(0,1,0) (0,2,0) (0,0,1) (0,0,2) (1,0,0)"
32,C2+C2+C2+C4,5,5,5,6,pinned,0,0.00,"(0,0,0,1) (0,0,0,2) (1,0,0,0) (0,1,0,0) (0,0,1,0)"
