order,group,lb,cap,lmax,dpm,method,nodes,seconds,witness
256,C256,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
256,C2+C128,8,8,8,9,pinned,0,0.00,"(0,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (1,0)"
256,C4+C64,8,8,8,9,pinned,0,0.00,"(0,1) (0,2) (0,4) (0,8) (0,16) (0,32) (1,0) (2,0)"
256,C2+C2+C64,8,8,8,9,pinned,0,0.00,"(0,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,0,32) (1,0,0) (0,1,0)"
256,C8+C32,8,8,8,9,pinned,0,0.00,"(0,1) (0,2) (0,4) (0,8) (0,16) (1,0) (2,0) (4,0)"
256,C2+C4+C32,8,8,8,9,pinned,0,0.00,"(0,0,1) (0,0,2) (0,0,4) (0,0,8) (0,0,16) (0,1,0) (0,2,0) (1,0,0)"
256,C2+C2+C2+C32,8,8,8,9,pinned,0,0.00,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,0,16) (1,0,0,0) (0,1,0,0) (0,0,1,0)"
256,C16+C16,8,8,8,9,pinned,0,0.00,"(1,0) (2,0) (4,0) (8,0) (0,1) (0,2) (0,4) (0,8)"
256,C2+C8+C16,8,8,8,9,pinned,0,0.00,"(0,0,1) (0,0,2) (0,0,4) (0,0,8) (0,1,0) (0,2,0) (0,4,0) (1,0,0)"
256,C4+C4+C16,8,8,8,9,pinned,0,0.00,"(0,0,1) (0,0,2) (0,0,4) (0,0,8) (1,0,0) (2,0,0) (0,1,0) (0,2,0)"
256,C2+C2+C4+C16,8,8,8,9,pinned,0,0.00,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8) (0,0,1,0) (0,0,2,0) (1,0,0,0) (0,1,0,0)"
256,C2+C2+C2+C2+C16,8,8,8,9,pinned,0,0.00,"(0,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,0,0,0,8) (1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0)"
256,C4+C8+C8,8,8,8,9,pinned,0,0.00,"(0,1,0) (0,2,0) (0,4,0) (0,0,1) (0,0,2) (0,0,4) (1,0,0) (2,0,0)"
256,C2+C2+C8+C8,8,8,8,9,pinned,0,0.00,"(0,0,1,0) (0,0,2,0) (0,0,4,0) (0,0,0,1) (0,0,0,2) (0,0,0,4) (1,0,0,0) (0,1,0,0)"
256,C2+C4+C4+C8,8,8,8,9,pinned,0,0.00,"(0,0,0,1) (0,0,0,2) (0,0,0,4) (0,1,0,0) (0,2,0,0) (0,0,1,0) (0,0,2,0) (1,0,0,0)"
256,C2+C2+C2+C4+C8,8,8,8,9,pinned,0,0.00,"(0,0,0,0,1) (0,0,0,0,2) (0,0,0,0,4) (0,0,0,1,0) (0,0,0,2,0) (1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0)"
256,C2+C2+C2+C2+C2+C8,8,8,8,9,pinned,0,0.01,"(0,0,0,0,0,1) (0,0,0,0,0,2) (0,0,0,0,0,4) (1,0,0,0,0,0) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0) (0,0,0,0,1,0)"
256,C4+C4+C4+C4,8,8,8,9,pinned,0,0.01,"(1,0,0,0) (2,0,0,0) (0,1,0,0) (0,2,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)"
256,C2+C2+C4+C4+C4,8,8,8,9,pinned,0,0.00,"(0,0,1,0,0) (0,0,2,0,0) (0,0,0,1,0) (0,0,0,2,0) (0,0,0,0,1) (0,0,0,0,2) (1,0,0,0,0) (0,1,0,0,0)"
256,C2+C2+C2+C2+C4+C4,8,8,8,9,pinned,0,0.01,"(0,0,0,0,1,0) (0,0,0,0,2,0) (0,0,0,0,0,1) (0,0,0,0,0,2) (1,0,0,0,0,0) (0,1,0,0,0,0) (0,0,1,0,0,0) (0,0,0,1,0,0)"
256,C2+C2+C2+C2+C2+C2+C4,8,8,8,9,pinned,0,0.02,"(0,0,0,0,0,0,1) (0,0,0,0,0,0,2) (1,0,0,0,0,0,0) (0,1,0,0,0,0,0) (0,0,1,0,0,0,0) (0,0,0,1,0,0,0) (0,0,0,0,1,0,0) (0,0,0,0,0,1,0)"
256,C2+C2+C2+C2+C2+C2+C2+C2,8,8,8,9,pinned,0,0.13,"(1,0,0,0,0,0,0,0) (0,1,0,0,0,0,0,0) (0,0,1,0,0,0,0,0) (0,0,0,1,0,0,0,0) (0,0,0,0,1,0,0,0) (0,0,0,0,0,1,0,0) (0,0,0,0,0,0,1,0) (0,0,0,0,0,0,0,1)"
257,C257,8,8,8,9,pinned,0,0.00,"(1,) (2,) (4,) (8,) (16,) (32,) (64,) (128,)"
258,C2+C3+C43,8,8,8,9,pinned,0,0.00,"(1,1,1) (0,2,2) (0,1,4) (0,2,8) (0,1,16) (0,2,32) (0,1,21) (0,2,42)"
259,C7+C37,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (1,8) (2,16) (4,32) (1,27) (2,17)"
260,C4+C5+C13,8,8,8,9,pinned,0,0.00,"(1,1,1) (2,2,2) (0,4,4) (0,3,8) (0,1,3) (0,2,6) (0,4,12) (0,3,11)"
260,C2+C2+C5+C13,8,8,8,9,pinned,0,0.00,"(1,0,1,1) (0,0,2,2) (0,0,4,4) (0,0,3,8) (0,0,1,3) (0,0,2,6) (0,0,4,12) (0,1,0,0)"
261,C9+C29,8,8,8,9,pinned,0,0.00,"(1,1) (2,2) (4,4) (8,8) (7,16) (5,3) (1,6) (2,12)"
261,C3+C3+C29,7,8,TIMEOUT,,search,,>600,
262,C2+C131,8,8,8,9,pinned,0,0.00,"(1,1) (0,2) (0,4) (0,8) (0,16) (0,32) (0,64) (0,128)"
