order,invariant_factors,dis,Dpm,log2_upper,attains_upper,nodes,secs
2,2,1,2,1,yes,2,0.00
3,3,1,2,1,yes,2,0.00
4,4,2,3,2,yes,4,0.00
4,2x2,2,3,2,yes,7,0.00
5,5,2,3,2,yes,4,0.00
6,6,2,3,2,yes,7,0.00
7,7,2,3,2,yes,7,0.00
8,8,3,4,3,yes,13,0.00
8,2x4,3,4,3,yes,23,0.00
8,2x2x2,3,4,3,yes,57,0.00
9,9,3,4,3,yes,12,0.00
9,3x3,2,3,3,NO,11,0.00
10,10,3,4,3,yes,22,0.00
11,11,3,4,3,yes,21,0.00
12,12,3,4,3,yes,35,0.00
12,2x6,3,4,3,yes,56,0.00
13,13,3,4,3,yes,34,0.00
14,14,3,4,3,yes,54,0.00
15,15,3,4,3,yes,52,0.00
16,16,4,5,4,yes,87,0.00
16,2x8,4,5,4,yes,147,0.00
16,4x4,4,5,4,yes,163,0.00
16,2x2x4,4,5,4,yes,365,0.00
16,2x2x2x2,4,5,4,yes,1381,0.00
17,17,4,5,4,yes,79,0.00
18,18,4,5,4,yes,123,0.00
18,3x6,4,5,4,yes,111,0.00
19,19,4,5,4,yes,118,0.00
20,20,4,5,4,yes,198,0.00
20,2x10,4,5,4,yes,315,0.00
21,21,4,5,4,yes,167,0.00
22,22,4,5,4,yes,277,0.00
23,23,4,5,4,yes,254,0.00
24,24,4,5,4,yes,392,0.00
24,2x12,4,5,4,yes,628,0.00
24,2x2x6,4,5,4,yes,1290,0.00
25,25,4,5,4,yes,369,0.00
25,5x5,4,5,4,yes,394,0.00
26,26,4,5,4,yes,556,0.00
27,27,4,5,4,yes,498,0.00
27,3x9,4,5,4,yes,455,0.00
27,3x3x3,3,4,4,NO,326,0.00
28,28,4,5,4,yes,769,0.00
28,2x14,4,5,4,yes,1144,0.00
29,29,4,5,4,yes,708,0.00
30,30,4,5,4,yes,1023,0.00
31,31,4,5,4,yes,961,0.00
32,32,5,6,5,yes,1435,0.00
32,2x16,5,6,5,yes,2251,0.00
32,4x8,5,6,5,yes,2539,0.00
32,2x2x8,5,6,5,yes,5097,0.00
32,2x4x4,5,6,5,yes,6053,0.00
32,2x2x2x4,5,6,5,yes,19149,0.01
32,2x2x2x2x2,5,6,5,yes,114205,0.05
33,33,5,6,5,yes,1264,0.00
34,34,5,6,5,yes,1834,0.00
35,35,5,6,5,yes,1704,0.00
36,36,5,6,5,yes,2454,0.00
36,3x12,5,6,5,yes,2250,0.00
36,2x18,5,6,5,yes,3579,0.00
36,6x6,5,6,5,yes,3188,0.00
37,37,5,6,5,yes,2233,0.00
38,38,5,6,5,yes,3164,0.00
39,39,5,6,5,yes,2852,0.00
40,40,5,6,5,yes,4351,0.00
40,2x20,5,6,5,yes,6851,0.00
40,2x2x10,5,6,5,yes,13885,0.01
41,41,5,6,5,yes,3746,0.00
42,42,5,6,5,yes,5104,0.00
43,43,5,6,5,yes,4810,0.00
44,44,5,6,5,yes,7131,0.00
44,2x22,5,6,5,yes,10552,0.01
45,45,5,6,5,yes,6084,0.00
45,3x15,5,6,5,yes,5624,0.00
46,46,5,6,5,yes,8747,0.01
47,47,5,6,5,yes,7821,0.01
48,48,5,6,5,yes,11138,0.01
48,2x24,5,6,5,yes,17156,0.01
48,4x12,5,6,5,yes,18860,0.01
48,2x2x12,5,6,5,yes,35182,0.02
48,2x2x2x6,5,6,5,yes,97622,0.07
49,49,5,6,5,yes,9793,0.01
49,7x7,5,6,5,yes,8995,0.01
50,50,5,6,5,yes,14222,0.01
50,5x10,5,6,5,yes,15162,0.01
51,51,5,6,5,yes,12142,0.01
52,52,5,6,5,yes,18142,0.01
52,2x26,5,6,5,yes,26497,0.02
53,53,5,6,5,yes,15679,0.01
54,54,5,6,5,yes,21402,0.02
54,3x18,5,6,5,yes,19665,0.02
54,3x3x6,5,6,5,yes,14562,0.01
55,55,5,6,5,yes,19874,0.02
56,56,5,6,5,yes,27588,0.03
56,2x28,5,6,5,yes,41202,0.04
56,2x2x14,5,6,5,yes,75292,0.07
57,57,5,6,5,yes,23690,0.02
58,58,5,6,5,yes,33630,0.03
59,59,5,6,5,yes,30074,0.03
60,60,5,6,5,yes,41541,0.05
60,2x30,5,6,5,yes,59060,0.07
61,61,5,6,5,yes,36976,0.04
62,62,5,6,5,yes,50260,0.06
63,63,5,6,5,yes,43878,0.05
63,3x21,5,6,5,yes,40817,0.05
64,64,6,7,6,yes,62563,0.06
64,2x32,6,7,6,yes,92299,0.10
64,4x16,6,7,6,yes,101819,0.10
64,2x2x16,6,7,6,yes,184041,0.21
64,8x8,6,7,6,yes,105691,0.09
64,2x4x8,6,7,6,yes,223005,0.24
64,2x2x2x8,6,7,6,yes,599829,0.72
64,4x4x4,6,7,6,yes,293973,0.25
64,2x2x4x4,6,7,6,yes,771421,0.89
64,2x2x2x2x4,6,7,6,yes,3575021,5.06
64,2x2x2x2x2x2,6,7,6,yes,33835789,62.78
65,65,6,7,6,yes,55614,0.06
66,66,6,7,6,yes,72372,0.09
67,67,6,7,6,yes,66595,0.08
68,68,6,7,6,yes,90316,0.10
68,2x34,6,7,6,yes,125375,0.16
69,69,6,7,6,yes,78685,0.09
70,70,6,7,6,yes,106200,0.13
71,71,6,7,6,yes,96216,0.11
72,72,6,7,6,yes,128091,0.14
72,3x24,6,7,6,yes,119695,0.16
72,2x36,6,7,6,yes,184160,0.24
72,6x12,6,7,6,yes,169047,0.23
72,2x2x18,6,7,6,yes,325463,0.46
72,2x6x6,6,7,6,yes,287270,0.40
73,73,6,7,6,yes,114904,0.14
74,74,6,7,6,yes,150515,0.21
75,75,6,7,6,yes,135102,0.17
75,5x15,5,6,6,NO,139052,0.18
76,76,6,7,6,yes,182593,0.22
76,2x38,6,7,6,yes,250702,0.38
77,77,6,7,6,yes,161219,0.21
78,78,6,7,6,yes,207073,0.30
79,79,6,7,6,yes,190984,0.26
80,80,6,7,6,yes,258289,0.35
80,2x40,6,7,6,yes,378079,0.61
80,4x20,6,7,6,yes,416391,0.52
80,2x2x20,6,7,6,yes,747033,1.20
80,2x2x2x10,6,7,6,yes,2044169,3.49
81,81,6,7,6,yes,221601,0.31
81,3x27,6,7,6,yes,211595,0.30
81,9x9,6,7,6,yes,215438,0.30
81,3x3x9,5,6,6,NO,178400,0.29
81,3x3x3x3,4,5,6,NO,73361,0.13
82,82,6,7,6,yes,290766,0.48
83,83,6,7,6,yes,263426,0.38
84,84,6,7,6,yes,340736,0.53
84,2x42,6,7,6,yes,462458,0.83
85,85,6,7,6,yes,309124,0.44
86,86,6,7,6,yes,397728,0.71
87,87,6,7,6,yes,353852,0.54
88,88,6,7,6,yes,482392,0.72
88,2x44,6,7,6,yes,698864,1.25
88,2x2x22,6,7,6,yes,1254582,2.53
89,89,6,7,6,yes,417770,0.69
90,90,6,7,6,yes,534713,1.06
90,3x30,6,7,6,yes,500667,0.92
91,91,6,7,6,yes,482398,0.84
92,92,6,7,6,yes,646936,1.10
92,2x46,6,7,6,yes,890545,1.88
93,93,6,7,6,yes,552983,0.91
94,94,6,7,6,yes,725399,1.50
95,95,6,7,6,yes,652504,1.19
96,96,6,7,6,yes,851198,1.47
96,2x48,6,7,6,yes,1231060,2.59
96,4x24,6,7,6,yes,1369196,2.49
96,2x2x24,6,7,6,yes,2359602,5.36
96,2x4x12,6,7,6,yes,2715222,5.94
96,2x2x2x12,6,7,6,yes,6567358,15.55
96,2x2x2x2x6,6,7,6,yes,25599182,68.71
97,97,6,7,6,yes,749365,1.52
98,98,6,7,6,yes,960202,2.17
98,7x14,6,7,6,yes,899134,2.01
99,99,6,7,6,yes,854062,1.73
99,3x33,6,7,6,yes,809643,1.45
100,100,6,7,6,yes,1164528,2.34
100,5x20,6,7,6,yes,1215168,2.39
100,2x50,6,7,6,yes,1616425,3.91
100,10x10,6,7,6,yes,1722535,4.18
