order,invariant_factors,dis,Dpm,log2_upper,attains_upper,nodes,secs
101,101,6,7,6,yes,993251,2.18
102,102,6,7,6,yes,1256823,3.05
103,103,6,7,6,yes,1140973,2.71
104,104,6,7,6,yes,1529619,3.44
104,2x52,6,7,6,yes,2219433,5.95
104,2x2x26,6,7,6,yes,3924227,11.01
105,105,6,7,6,yes,1284976,2.65
106,106,6,7,6,yes,1695540,4.54
107,107,6,7,6,yes,1499424,3.85
108,108,6,7,6,yes,1966329,4.77
108,3x36,6,7,6,yes,1854327,4.12
108,3x3x12,6,7,6,yes,1502661,3.26
108,2x54,6,7,6,yes,2704362,7.96
108,6x18,6,7,6,yes,2508161,7.43
108,3x6x6,6,7,6,yes,1951229,5.50
109,109,6,7,6,yes,1715527,4.59
110,110,6,7,6,yes,2248749,6.74
111,111,6,7,6,yes,1926848,4.35
112,112,6,7,6,yes,2590694,7.32
112,2x56,6,7,6,yes,3738646,11.48
112,4x28,6,7,6,yes,4058986,9.78
112,2x2x28,6,7,6,yes,6883220,21.24
112,2x2x2x14,6,7,6,yes,16308556,52.89
113,113,6,7,6,yes,2237187,6.30
114,114,6,7,6,yes,2833882,9.08
115,115,6,7,6,yes,2567954,7.10
116,116,6,7,6,yes,3389040,9.55
116,2x58,6,7,6,yes,4673697,16.16
117,117,6,7,6,yes,2862150,8.70
117,3x39,6,7,6,yes,2707034,6.78
118,118,6,7,6,yes,3750688,13.21
119,119,6,7,6,yes,3272713,10.17
120,120,6,7,6,yes,4318574,11.70
120,2x60,6,7,6,yes,6171856,22.80
120,2x2x30,6,7,6,yes,10559734,39.41
121,121,6,7,6,yes,3757676,12.28
121,11x11,6,7,6,yes,3859426,12.45
122,122,6,7,6,yes,4829703,18.55
123,123,6,7,6,yes,4177340,11.28
124,124,6,7,6,yes,5597562,18.73
124,2x62,6,7,6,yes,7665019,31.47
125,125,6,7,6,yes,4849469,17.08
125,5x25,6,7,6,yes,5015644,16.18
125,5x5x5,6,7,6,yes,5789344,18.13
126,126,6,7,6,yes,6033765,25.14
126,3x42,6,7,6,yes,5685705,23.14
127,127,6,7,6,yes,5448052,19.64
