# family sweep, orders <= 200 shell, 2026-08-20 (deterministic, single-thread)
group=3x3 N=9 dis=2 Dpm=3 nodes=11 root=[0,4) witness=(0,1),(1,0)
group=3x6 N=18 dis=4 Dpm=5 nodes=111 root=[0,9) witness=(0,1),(1,1),(1,3),(1,5)
group=3x9 N=27 dis=4 Dpm=5 nodes=455 root=[0,13) witness=(0,1),(0,2),(0,4),(1,0)
group=3x12 N=36 dis=5 Dpm=6 nodes=2250 root=[0,18) witness=(0,1),(0,2),(1,2),(1,6),(1,10)
group=3x15 N=45 dis=5 Dpm=6 nodes=5624 root=[0,22) witness=(0,1),(0,2),(1,1),(1,6),(1,12)
group=3x18 N=54 dis=5 Dpm=6 nodes=19665 root=[0,27) witness=(0,1),(0,2),(0,4),(0,8),(1,0)
group=3x21 N=63 dis=5 Dpm=6 nodes=40817 root=[0,31) witness=(0,1),(0,2),(0,4),(0,8),(1,0)
group=3x24 N=72 dis=6 Dpm=7 nodes=119695 root=[0,36) witness=(0,1),(0,2),(0,4),(1,3),(1,11),(1,19)
group=3x27 N=81 dis=6 Dpm=7 nodes=211595 root=[0,40) witness=(0,1),(0,2),(0,4),(1,2),(1,12),(1,21)
group=3x30 N=90 dis=6 Dpm=7 nodes=500667 root=[0,45) witness=(0,1),(0,2),(0,4),(1,1),(1,14),(1,23)
group=3x33 N=99 dis=6 Dpm=7 nodes=809643 root=[0,49) witness=(0,1),(0,2),(0,4),(0,8),(0,16),(1,0)
group=3x36 N=108 dis=6 Dpm=7 nodes=1854327 root=[0,54) witness=(0,1),(0,2),(0,4),(0,8),(0,16),(1,0)
group=3x39 N=117 dis=6 Dpm=7 nodes=2707034 root=[0,58) witness=(0,1),(0,2),(0,4),(0,8),(0,16),(1,0)
group=3x42 N=126 dis=6 Dpm=7 nodes=5685705 root=[0,63) witness=(0,1),(0,2),(0,4),(0,8),(0,16),(1,0)
group=3x48 N=144 dis=7 Dpm=8 nodes=16772581 root=[0,72) witness=(0,1),(0,2),(0,4),(0,8),(1,6),(1,22),(1,38)
group=3x51 N=153 dis=7 Dpm=8 nodes=22655909 root=[0,76) witness=(0,1),(0,2),(0,4),(0,8),(1,5),(1,22),(1,40)
group=3x54 N=162 dis=7 Dpm=8 nodes=42533766 root=[0,81) witness=(0,1),(0,2),(0,4),(0,8),(1,4),(1,24),(1,42)
group=3x57 N=171 dis=7 Dpm=8 nodes=56500022 root=[0,85) witness=(0,1),(0,2),(0,4),(0,8),(1,3),(1,26),(1,44)
group=3x60 N=180 dis=7 Dpm=8 nodes=101421556 root=[0,90) witness=(0,1),(0,2),(0,4),(0,8),(1,2),(1,28),(1,46)
group=3x63 N=189 dis=7 Dpm=8 nodes=129254261 root=[0,94) witness=(0,1),(0,2),(0,4),(0,8),(1,1),(1,30),(1,48)
group=5x5 N=25 dis=4 Dpm=5 nodes=394 root=[0,12) witness=(0,1),(0,2),(1,0),(2,0)
group=5x10 N=50 dis=5 Dpm=6 nodes=15162 root=[0,25) witness=(0,1),(0,2),(0,4),(1,0),(2,0)
group=5x20 N=100 dis=6 Dpm=7 nodes=1215168 root=[0,50) witness=(0,1),(0,2),(0,4),(0,8),(1,0),(2,0)
group=5x25 N=125 dis=6 Dpm=7 nodes=5015644 root=[0,62) witness=(0,1),(0,2),(0,4),(0,8),(1,0),(2,0)
