order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
2,2,2,1,1,2,cyclic,2,OK,1:1,(1),1,0.00,
3,3,3,1,1,2,cyclic,2,OK,1:1,(1),1,0.00,
4,4,4,2,2,3,cyclic,3,OK,1:2;2:1,(1) (2),3,0.00,
4,2+2,2+2,3,2,3,elem2,3,OK,1:3;2:3,"(1,0) (0,1)",7,0.00,
5,5,5,2,2,3,cyclic,3,OK,1:2;2:1,(1) (2),3,0.00,
6,2+3,6,3,2,3,,,,1:3;2:3,"(1,0) (0,1)",7,0.00,
7,7,7,3,2,3,cyclic,3,OK,1:3;2:3,(1) (2),7,0.00,
8,8,8,4,3,4,cyclic,4,OK,1:4;2:6;3:2,(1) (2) (4),14,0.00,
8,2+4,2+4,5,3,4,,,,1:5;2:10;3:7,"(1,0) (0,1) (0,2)",28,0.00,
8,2+2+2,2+2+2,7,3,4,elem2,4,OK,1:7;2:21;3:28,"(1,0,0) (0,1,0) (0,0,1)",90,0.00,
9,9,9,4,3,4,cyclic,4,OK,1:4;2:6;3:1,(1) (2) (4),14,0.00,
9,3+3,3+3,4,2,3,elem3,3,OK,1:4;2:6,"(1,0) (0,1)",14,0.00,
10,2+5,10,5,3,4,,,,1:5;2:10;3:6,"(1,0) (0,1) (0,2)",28,0.00,
11,11,11,5,3,4,cyclic,4,OK,1:5;2:10;3:5,(1) (2) (4),27,0.00,
12,3+4,12,6,3,4,,,,1:6;2:15;3:13,"(1,0) (0,1) (0,2)",48,0.00,
12,2+2+3,2+6,7,3,4,,,,1:7;2:21;3:27,"(1,0,0) (0,1,0) (0,0,1)",90,0.00,
13,13,13,6,3,4,cyclic,4,OK,1:6;2:15;3:12,(1) (2) (4),49,0.00,
14,2+7,14,7,3,4,,,,1:7;2:21;3:25,"(1,0) (0,1) (0,2)",88,0.00,
15,3+5,15,7,3,4,,,,1:7;2:21;3:23,"(1,0) (0,1) (0,2)",83,0.00,
16,16,16,8,4,5,cyclic,5,OK,1:8;2:28;3:42;4:8,(1) (2) (4) (8),138,0.00,
16,2+8,2+8,9,4,5,,,,1:9;2:36;3:69;4:32,"(1,0) (0,1) (0,2) (0,4)",241,0.00,
16,4+4,4+4,9,4,5,,,,1:9;2:36;3:69;4:48,"(1,0) (2,0) (0,1) (0,2)",257,0.00,
16,2+2+4,2+2+4,11,4,5,,,,1:11;2:55;3:146;4:152,"(1,0,0) (0,1,0) (0,0,1) (0,0,2)",695,0.00,
16,2+2+2+2,2+2+2+2,15,4,5,elem2,5,OK,1:15;2:105;3:420;4:840,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1)",3600,0.00,
17,17,17,8,4,5,cyclic,5,OK,1:8;2:28;3:40;4:2,(1) (2) (4) (8),140,0.00,
18,2+9,18,9,4,5,,,,1:9;2:36;3:65;4:12,"(1,0) (0,1) (0,2) (0,4)",232,0.00,
18,2+3+3,3+6,9,4,5,,,,1:9;2:36;3:64;4:1,"(1,1,0) (1,0,1) (1,1,1) (1,2,1)",227,0.00,
19,19,19,9,4,5,cyclic,5,OK,1:9;2:36;3:63;4:9,(1) (2) (4) (8),225,0.00,
20,4+5,20,10,4,5,,,,1:10;2:45;3:96;4:46,"(1,0) (2,0) (0,1) (0,2)",404,0.00,
20,2+2+5,2+10,11,4,5,,,,1:11;2:55;3:140;4:108,"(1,0,0) (0,1,0) (0,0,1) (0,0,2)",663,0.00,
21,3+7,21,10,4,5,,,,1:10;2:45;3:93;4:18,"(0,1) (1,1) (2,1) (1,3)",342,0.00,
22,2+11,22,11,4,5,,,,1:11;2:55;3:135;4:75,"(1,0) (0,1) (0,2) (0,4)",593,0.00,
23,23,23,11,4,5,cyclic,5,OK,1:11;2:55;3:132;4:55,(1) (2) (4) (8),549,0.00,
24,3+8,24,12,4,5,,,,1:12;2:66;3:183;4:130,"(1,0) (0,1) (0,2) (0,4)",815,0.00,
24,2+3+4,2+12,13,4,5,,,,1:13;2:78;3:248;4:288,"(1,0,0) (0,1,0) (0,0,1) (0,0,2)",1407,0.00,
24,2+2+2+3,2+2+6,15,4,5,,,,1:15;2:105;3:413;4:756,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1)",3516,0.00,
25,25,25,12,4,5,cyclic,5,OK,1:12;2:66;3:180;4:110,(1) (2) (4) (8),842,0.00,
25,5+5,5+5,12,4,5,,,,1:12;2:66;3:180;4:135,"(1,0) (2,0) (0,1) (0,2)",883,0.00,
26,2+13,26,13,4,5,,,,1:13;2:78;3:242;4:222,"(1,0) (0,1) (0,2) (0,4)",1352,0.00,
27,27,27,13,4,5,cyclic,5,OK,1:13;2:78;3:238;4:168,(1) (2) (4) (8),1216,0.00,
27,3+9,3+9,13,4,5,,,,1:13;2:78;3:237;4:126,"(1,0) (0,1) (0,2) (0,4)",1112,0.00,
27,3+3+3,3+3+3,13,3,4,elem3,4,OK,1:13;2:78;3:234,"(1,0,0) (0,1,0) (0,0,1)",953,0.00,
28,4+7,28,14,4,5,,,,1:14;2:91;3:312;4:351,"(1,0) (2,0) (0,1) (0,2)",2036,0.00,
28,2+2+7,2+14,15,4,5,,,,1:15;2:105;3:402;4:621,"(1,0,0) (0,1,0) (0,0,1) (0,0,2)",3172,0.00,
29,29,29,14,4,5,cyclic,5,OK,1:14;2:91;3:308;4:294,(1) (2) (4) (8),1821,0.00,
30,2+3+5,30,15,4,5,,,,1:15;2:105;3:394;4:508,"(1,0,0) (0,1,0) (0,0,1) (0,0,2)",2779,0.00,
31,31,31,15,4,5,cyclic,5,OK,1:15;2:105;3:390;4:450,(1) (2) (4) (8),2618,0.00,
32,32,32,16,5,6,cyclic,6,OK,1:16;2:120;3:490;4:744;5:64,(1) (2) (4) (8) (16),3671,0.00,
32,2+16,2+16,17,5,6,,,,1:17;2:136;3:609;4:1200;5:288,"(1,0) (0,1) (0,2) (0,4) (0,8)",5666,0.00,
32,4+8,4+8,17,5,6,,,,1:17;2:136;3:609;4:1216;5:560,"(1,0) (2,0) (0,1) (0,2) (0,4)",6054,0.00,
32,2+2+8,2+2+8,19,5,6,,,,1:19;2:171;3:894;4:2428;5:1584,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",13333,0.00,
32,2+4+4,2+4+4,19,5,6,,,,1:19;2:171;3:894;4:2472;5:2496,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",15566,0.00,
32,2+2+2+4,2+2+2+4,23,5,6,,,,1:23;2:253;3:1680;4:6608;5:10584,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2)",61162,0.00,
32,2+2+2+2+2,2+2+2+2+2,31,5,6,elem2,6,OK,1:31;2:465;3:4340;4:26040;5:83328,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1)",524220,0.02,
33,3+11,33,16,5,6,,,,1:16;2:120;3:485;4:640;5:2,"(1,1) (2,2) (1,3) (1,4) (1,5)",3593,0.00,
34,2+17,34,17,5,6,,,,1:17;2:136;3:600;4:1032;5:48,"(1,0) (0,1) (0,2) (0,4) (0,8)",5574,0.00,
35,5+7,35,17,5,6,,,,1:17;2:136;3:595;4:943;5:12,"(1,1) (2,1) (2,2) (4,2) (2,3)",5255,0.00,
36,4+9,36,18,5,6,,,,1:18;2:153;3:725;4:1385;5:172,"(1,0) (2,0) (0,1) (0,2) (0,4)",7761,0.00,
36,2+2+9,2+18,19,5,6,,,,1:19;2:171;3:877;4:2079;5:432,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",11606,0.00,
36,3+3+4,3+12,18,5,6,,,,1:18;2:153;3:724;4:1329;5:25,"(0,0,1) (1,0,2) (0,1,2) (1,1,2) (2,1,2)",6753,0.00,
36,2+2+3+3,6+6,19,5,6,,,,1:19;2:171;3:876;4:2049;5:72,"(1,0,0,0) (0,1,1,0) (0,1,0,1) (0,1,1,1) (0,1,2,1)",11152,0.00,
37,37,37,18,5,6,cyclic,6,OK,1:18;2:153;3:720;4:1287;5:54,(1) (2) (4) (8) (16),7089,0.00,
38,2+19,38,19,5,6,,,,1:19;2:171;3:867;4:1863;5:243,"(1,0) (0,1) (0,2) (0,4) (0,8)",10463,0.00,
39,3+13,39,19,5,6,,,,1:19;2:171;3:861;4:1704;5:96,"(0,1) (1,1) (2,1) (1,3) (0,6)",9432,0.00,
40,5+8,40,20,5,6,,,,1:20;2:190;3:1026;4:2438;5:676,"(1,0) (2,0) (0,1) (0,2) (0,4)",13562,0.00,
40,2+4+5,2+20,21,5,6,,,,1:21;2:210;3:1215;4:3432;5:1972,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",24847,0.00,
40,2+2+2+5,2+2+10,23,5,6,,,,1:23;2:253;3:1652;4:5908;5:6048,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2)",51687,0.00,
41,41,41,20,5,6,cyclic,6,OK,1:20;2:190;3:1020;4:2275;5:240,(1) (2) (4) (8) (16),12953,0.00,
42,2+3+7,42,21,5,6,,,,1:21;2:210;3:1203;4:3096;5:573,"(1,0,0) (0,0,1) (0,1,1) (0,2,1) (0,1,3)",18246,0.00,
43,43,43,21,5,6,cyclic,6,OK,1:21;2:210;3:1197;4:2940;5:441,(1) (2) (4) (8) (16),17292,0.00,
44,4+11,44,22,5,6,,,,1:22;2:231;3:1400;4:3940;5:1537,"(1,0) (2,0) (0,1) (0,2) (0,4)",26635,0.00,
44,2+2+11,2+22,23,5,6,,,,1:23;2:253;3:1630;4:5310;5:3335,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",40021,0.00,
45,5+9,45,22,5,6,,,,1:22;2:231;3:1393;4:3716;5:721,"(1,0) (2,0) (0,1) (0,2) (0,4)",22604,0.00,
45,3+3+5,3+15,22,5,6,,,,1:22;2:231;3:1392;4:3626;5:352,"(0,0,1) (1,0,1) (0,1,1) (2,2,1) (2,1,2)",20906,0.00,
46,2+23,46,23,5,6,,,,1:23;2:253;3:1617;4:4917;5:1936,"(1,0) (0,1) (0,2) (0,4) (0,8)",33501,0.00,
47,47,47,23,5,6,cyclic,6,OK,1:23;2:253;3:1610;4:4692;5:1242,(1) (2) (4) (8) (16),30127,0.00,
48,3+16,48,24,5,6,,,,1:24;2:276;3:1855;4:6038;5:2944,"(1,0) (0,1) (0,2) (0,4) (0,8)",39381,0.01,
48,2+3+8,2+24,25,5,6,,,,1:25;2:300;3:2130;4:7884;5:6816,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",60502,0.01,
48,3+4+4,4+12,25,5,6,,,,1:25;2:300;3:2130;4:7884;5:8520,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",65824,0.01,
48,2+2+3+4,2+2+12,27,5,6,,,,1:27;2:351;3:2751;4:12316;5:19736,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2)",138176,0.01,
48,2+2+2+2+3,2+2+2+6,31,5,6,,,,1:31;2:465;3:4305;4:24780;5:68040,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1)",481696,0.03,
49,49,49,24,5,6,cyclic,6,OK,1:24;2:276;3:1848;4:5817;5:1827,(1) (2) (4) (8) (16),39066,0.01,
49,7+7,7+7,24,5,6,,,,1:24;2:276;3:1848;4:5838;5:1008,"(1,0) (0,1) (2,1) (4,1) (1,3)",37438,0.00,
50,2+25,50,25,5,6,,,,1:25;2:300;3:2116;4:7410;5:4370,"(1,0) (0,1) (0,2) (0,4) (0,8)",58081,0.01,
50,2+5+5,5+10,25,5,6,,,,1:25;2:300;3:2116;4:7440;5:5280,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",61630,0.01,
51,3+17,51,25,5,6,,,,1:25;2:300;3:2108;4:7090;5:2618,"(1,0) (0,1) (0,2) (0,4) (0,8)",49739,0.01,
52,4+13,52,26,5,6,,,,1:26;2:325;3:2400;4:8952;5:6438,"(1,0) (2,0) (0,1) (0,2) (0,4)",77623,0.01,
52,2+2+13,2+26,27,5,6,,,,1:27;2:351;3:2724;4:11340;5:12054,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",115454,0.01,
53,53,53,26,5,6,cyclic,6,OK,1:26;2:325;3:2392;4:8645;5:4290,(1) (2) (4) (8) (16),66260,0.01,
54,2+27,54,27,5,6,,,,1:27;2:351;3:2708;4:10701;5:7614,"(1,0) (0,1) (0,2) (0,4) (0,8)",93264,0.01,
54,2+3+9,3+18,27,5,6,,,,1:27;2:351;3:2707;4:10603;5:5976,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4)",84653,0.01,
54,2+3+3+3,3+3+6,27,5,6,,,,1:27;2:351;3:2704;4:10309;5:1170,"(0,1,0,0) (1,0,1,0) (1,0,0,1) (1,0,1,1) (1,0,2,1)",70775,0.01,
55,5+11,55,27,5,6,,,,1:27;2:351;3:2700;4:10400;5:6395,"(1,0) (2,0) (0,1) (0,2) (0,4)",86794,0.01,
56,7+8,56,28,5,6,,,,1:28;2:378;3:3042;4:12771;5:11368,"(1,0) (2,0) (0,1) (0,2) (0,4)",112940,0.01,
