order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
151,151,151,75,7,8,cyclic,8,OK,1:75;2:2775;3:65700;4:1026375;5:8413425;6:12090900;7:25725,(1) (2) (4) (8) (16) (32) (64),223542707,46.94,
152,8+19,152,76,7,8,,,,1:76;2:2850;3:68450;4:1089504;5:9313428;6:16545327;7:442746,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4) (0,8)",290212962,58.41,
152,2+4+19,2+76,77,7,8,,,,1:77;2:2926;3:71299;4:1158816;5:10475196;6:24373545;7:1489425,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",406120690,76.69,
152,2+2+2+19,2+2+38,79,7,8,,,,1:79;2:3081;3:77224;4:1305684;5:12965904;6:41845797;7:4907700,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4) (0,0,0,8)",675228961,111.53,
153,9+17,153,76,7,8,,,,1:76;2:2850;3:68425;4:1085826;5:9084708;6:13420252;7:50354,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4) (0,8)",248000796,51.64,
153,3+3+17,3+51,76,7,8,,,,1:76;2:2850;3:68424;4:1085466;5:9033624;6:12453052;7:12416,"(0,0,1) (1,0,1) (0,1,1) (2,2,1) (2,1,2) (1,2,4) (2,1,8)",234448767,45.86,
154,2+7+11,154,77,7,8,,,,1:77;2:2926;3:71250;4:1151745;5:10056122;6:18327299;7:151212,"(1,0,0) (0,1,0) (0,1,1) (0,2,2) (0,5,3) (0,4,4) (0,3,5)",316937970,64.80,
155,5+31,155,77,7,8,,,,1:77;2:2926;3:71225;4:1148075;5:9837900;6:15745710;7:41520,"(0,1) (1,1) (0,2) (2,2) (4,3) (3,7) (1,14)",284613462,60.91,
156,3+4+13,156,78,7,8,,,,1:78;2:3003;3:74125;4:1216464;5:10829430;6:20714968;7:394268,"(0,1,0) (0,2,0) (0,0,1) (1,0,1) (2,0,1) (1,0,3) (0,0,6)",362222997,73.06,
156,2+2+3+13,2+78,79,7,8,,,,1:79;2:3081;3:77127;4:1291548;5:12131430;6:29265180;7:992076,"(1,0,0,0) (0,1,0,0) (0,0,0,1) (0,0,1,1) (0,0,2,1) (0,0,1,3) (0,0,0,6)",480422314,89.63,
157,157,157,78,7,8,cyclic,8,OK,1:78;2:3003;3:74100;4:1212822;5:10614240;6:17675775;7:70122,(1) (2) (4) (8) (16) (32) (64),317334620,68.36,
158,2+79,158,79,7,8,,,,1:79;2:3081;3:77077;4:1284153;5:11684829;6:23251956;7:322686,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16) (0,32)",399439876,83.71,
159,3+53,159,79,7,8,,,,1:79;2:3081;3:77051;4:1280149;5:11423399;6:19548672;7:79092,"(0,1) (1,1) (2,1) (1,3) (0,6) (0,12) (0,24)",349776404,74.44,
160,5+32,160,80,7,8,,,,1:80;2:3160;3:80106;4:1354478;5:12577740;6:26558856;7:1058608,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8) (0,16)",418438453,94.16,
160,2+5+16,2+80,81,7,8,,,,1:81;2:3240;3:83265;4:1435576;5:14024196;6:37504432;7:4142064,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",557652161,116.76,
160,4+5+8,4+40,81,7,8,,,,1:81;2:3240;3:83265;4:1435528;5:14026324;6:38813848;7:7874208,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",612291553,126.24,
160,2+2+5+8,2+2+40,83,7,8,,,,1:83;2:3403;3:89822;4:1606888;5:17118696;6:63065656;7:19627248,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",985101522,186.06,
160,2+4+4+5,2+4+20,83,7,8,,,,1:83;2:3403;3:89822;4:1606804;5:17129464;6:65862840;7:31546944,"(1,0,0,0) (0,1,0,0) (0,2,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",1406092628,240.64,
