order,moduli,invariant_factors,lower_d,upper_d,dpm,Dpm,status,nodes,seconds,witness
101,101,101,6,6,6,7,forced+confirmed,993251,9.713,"[[1], [2], [4], [8], [16], [32]]"
102,17 3 2,102,6,6,6,7,forced+confirmed,1256823,12.374,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
103,103,103,6,6,6,7,forced+confirmed,1140973,11.346,"[[1], [2], [4], [8], [16], [32]]"
104,13 2 2 2,2 2 26,6,6,6,7,forced (search capped),2000001,22.021,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]"
104,13 4 2,2 52,6,6,6,7,forced (search capped),2000001,21.475,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
104,13 8,104,6,6,6,7,forced+confirmed,1529619,16.495,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
105,7 5 3,105,6,6,6,7,forced+confirmed,1284976,14.656,"[[0, 0, 1], [1, 1, 0], [1, 2, 0], [2, 2, 0], [2, 4, 0], [3, 2, 0]]"
106,53 2,106,6,6,6,7,forced+confirmed,1695540,18.483,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
107,107,107,6,6,6,7,forced+confirmed,1499424,17.111,"[[1], [2], [4], [8], [16], [32]]"
108,3 3 3 2 2,3 6 6,5,6,6,7,gap:search-decided,1951229,22.791,"[[0, 0, 0, 0, 1], [0, 0, 1, 0, 0], [0, 1, 0, 1, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 0], [1, 2, 0, 1, 0]]"
108,4 3 3 3,3 3 12,5,6,6,7,gap:search-decided,1502661,15.517,"[[0, 0, 0, 1], [1, 0, 0, 0], [2, 0, 1, 0], [2, 1, 0, 0], [2, 1, 1, 0], [2, 1, 2, 0]]"
108,9 3 2 2,6 18,6,6,6,7,forced (search capped),2000001,22.259,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0], [4, 0, 0, 0]]"
108,9 4 3,3 36,6,6,6,7,forced+confirmed,1854327,21.401,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
108,27 2 2,2 54,6,6,6,7,forced (search capped),2000001,24.251,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
108,27 4,108,6,6,6,7,forced+confirmed,1966329,22.604,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
109,109,109,6,6,6,7,forced+confirmed,1715527,19.396,"[[1], [2], [4], [8], [16], [32]]"
110,11 5 2,110,6,6,6,7,forced (search capped),2000001,23.386,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
111,37 3,111,6,6,6,7,forced+confirmed,1926848,21.404,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
112,7 2 2 2 2,2 2 2 14,6,6,6,7,forced (search capped),2000001,27.466,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [2, 0, 0, 0, 0]]"
112,7 4 2 2,2 2 28,6,6,6,7,forced (search capped),2000001,25.841,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
112,7 4 4,4 28,6,6,6,7,forced (search capped),2000001,24.734,"[[0, 0, 1], [0, 0, 2], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
112,8 7 2,2 56,6,6,6,7,forced (search capped),2000001,20.532,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
112,16 7,112,6,6,6,7,forced (search capped),2000001,22.1,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
113,113,113,6,6,6,7,forced (search capped),2000001,23.421,"[[1], [2], [4], [8], [16], [32]]"
114,19 3 2,114,6,6,6,7,forced (search capped),2000001,25.499,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
115,23 5,115,6,6,6,7,forced (search capped),2000001,24.401,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
116,29 2 2,2 58,6,6,6,7,forced (search capped),2000001,27.978,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
116,29 4,116,6,6,6,7,forced (search capped),2000001,29.557,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
117,13 3 3,3 39,6,6,6,7,forced (search capped),2000001,28.994,"[[0, 0, 1], [1, 0, 0], [1, 1, 0], [1, 2, 0], [3, 1, 0], [6, 0, 0]]"
117,13 9,117,6,6,6,7,forced (search capped),2000001,25.867,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
118,59 2,118,6,6,6,7,forced (search capped),2000001,24.149,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
119,17 7,119,6,6,6,7,forced (search capped),2000001,24.914,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
120,5 3 2 2 2,2 2 30,6,6,6,7,forced (search capped),2000001,26.465,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0], [2, 0, 0, 0, 0]]"
120,5 4 3 2,2 60,6,6,6,7,forced (search capped),2000001,27.073,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [0, 2, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
120,8 5 3,120,6,6,6,7,forced (search capped),2000001,22.273,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
121,11 11,11 11,6,6,6,7,forced (search capped),2000001,25.455,"[[0, 1], [0, 2], [0, 4], [1, 0], [2, 0], [4, 0]]"
121,121,121,6,6,6,7,forced (search capped),2000001,24.873,"[[1], [2], [4], [8], [16], [32]]"
122,61 2,122,6,6,6,7,forced (search capped),2000001,25.332,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
123,41 3,123,6,6,6,7,forced (search capped),2000001,25.912,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0], [16, 0]]"
124,31 2 2,2 62,6,6,6,7,forced (search capped),2000001,26.568,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0], [8, 0, 0]]"
124,31 4,124,6,6,6,7,forced (search capped),2000001,26.019,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0], [8, 0]]"
125,5 5 5,5 5 5,6,6,6,7,forced (search capped),2000001,27.318,"[[0, 0, 1], [0, 0, 2], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
