order,moduli,invariant_factors,lower_d,upper_d,dpm,Dpm,status,nodes,seconds,witness
2,2,2,1,1,1,2,forced+confirmed,2,0.0,[[1]]
3,3,3,1,1,1,2,forced+confirmed,2,0.0,[[1]]
4,2 2,2 2,2,2,2,3,forced+confirmed,7,0.0,"[[0, 1], [1, 0]]"
4,4,4,2,2,2,3,forced+confirmed,4,0.0,"[[1], [2]]"
5,5,5,2,2,2,3,forced+confirmed,4,0.0,"[[1], [2]]"
6,3 2,6,2,2,2,3,forced+confirmed,7,0.0,"[[0, 1], [1, 0]]"
7,7,7,2,2,2,3,forced+confirmed,7,0.0,"[[1], [2]]"
8,2 2 2,2 2 2,3,3,3,4,forced+confirmed,57,0.0,"[[0, 0, 1], [0, 1, 0], [1, 0, 0]]"
8,4 2,2 4,3,3,3,4,forced+confirmed,23,0.0,"[[0, 1], [1, 0], [2, 0]]"
8,8,8,3,3,3,4,forced+confirmed,13,0.0,"[[1], [2], [4]]"
9,3 3,3 3,2,3,2,3,gap:search-decided,11,0.0,"[[0, 1], [1, 0]]"
9,9,9,3,3,3,4,forced+confirmed,12,0.0,"[[1], [2], [4]]"
10,5 2,10,3,3,3,4,forced+confirmed,22,0.0,"[[0, 1], [1, 0], [2, 0]]"
11,11,11,3,3,3,4,forced+confirmed,21,0.0,"[[1], [2], [4]]"
12,3 2 2,2 6,3,3,3,4,forced+confirmed,56,0.0,"[[0, 0, 1], [0, 1, 0], [1, 0, 0]]"
12,4 3,12,3,3,3,4,forced+confirmed,35,0.0,"[[0, 1], [1, 0], [2, 0]]"
13,13,13,3,3,3,4,forced+confirmed,34,0.0,"[[1], [2], [4]]"
14,7 2,14,3,3,3,4,forced+confirmed,54,0.0,"[[0, 1], [1, 0], [2, 0]]"
15,5 3,15,3,3,3,4,forced+confirmed,52,0.0,"[[0, 1], [1, 0], [2, 0]]"
16,2 2 2 2,2 2 2 2,4,4,4,5,forced+confirmed,1381,0.005,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]"
16,4 2 2,2 2 4,4,4,4,5,forced+confirmed,365,0.002,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0]]"
16,4 4,4 4,4,4,4,5,forced+confirmed,163,0.001,"[[0, 1], [0, 2], [1, 0], [2, 0]]"
16,8 2,2 8,4,4,4,5,forced+confirmed,147,0.001,"[[0, 1], [1, 0], [2, 0], [4, 0]]"
16,16,16,4,4,4,5,forced+confirmed,87,0.0,"[[1], [2], [4], [8]]"
17,17,17,4,4,4,5,forced+confirmed,79,0.001,"[[1], [2], [4], [8]]"
18,3 3 2,3 6,3,4,4,5,gap:search-decided,111,0.001,"[[0, 1, 1], [1, 0, 1], [1, 1, 1], [1, 2, 1]]"
18,9 2,18,4,4,4,5,forced+confirmed,123,0.001,"[[0, 1], [1, 0], [2, 0], [4, 0]]"
19,19,19,4,4,4,5,forced+confirmed,118,0.001,"[[1], [2], [4], [8]]"
20,5 2 2,2 10,4,4,4,5,forced+confirmed,315,0.002,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0]]"
20,5 4,20,4,4,4,5,forced+confirmed,198,0.001,"[[0, 1], [0, 2], [1, 0], [2, 0]]"
21,7 3,21,4,4,4,5,forced+confirmed,167,0.001,"[[1, 0], [1, 1], [1, 2], [3, 1]]"
22,11 2,22,4,4,4,5,forced+confirmed,277,0.002,"[[0, 1], [1, 0], [2, 0], [4, 0]]"
23,23,23,4,4,4,5,forced+confirmed,254,0.001,"[[1], [2], [4], [8]]"
24,3 2 2 2,2 2 6,4,4,4,5,forced+confirmed,1290,0.005,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0]]"
24,4 3 2,2 12,4,4,4,5,forced+confirmed,628,0.003,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0]]"
24,8 3,24,4,4,4,5,forced+confirmed,392,0.002,"[[0, 1], [1, 0], [2, 0], [4, 0]]"
25,5 5,5 5,4,4,4,5,forced+confirmed,394,0.002,"[[0, 1], [0, 2], [1, 0], [2, 0]]"
25,25,25,4,4,4,5,forced+confirmed,369,0.002,"[[1], [2], [4], [8]]"
26,13 2,26,4,4,4,5,forced+confirmed,556,0.003,"[[0, 1], [1, 0], [2, 0], [4, 0]]"
27,3 3 3,3 3 3,3,4,3,4,gap:search-decided,326,0.002,"[[0, 0, 1], [0, 1, 0], [1, 0, 0]]"
27,9 3,3 9,4,4,4,5,forced+confirmed,455,0.002,"[[0, 1], [1, 0], [2, 0], [4, 0]]"
27,27,27,4,4,4,5,forced+confirmed,498,0.002,"[[1], [2], [4], [8]]"
28,7 2 2,2 14,4,4,4,5,forced+confirmed,1144,0.006,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0]]"
28,7 4,28,4,4,4,5,forced+confirmed,769,0.004,"[[0, 1], [0, 2], [1, 0], [2, 0]]"
29,29,29,4,4,4,5,forced+confirmed,708,0.003,"[[1], [2], [4], [8]]"
30,5 3 2,30,4,4,4,5,forced+confirmed,1023,0.005,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0]]"
31,31,31,4,4,4,5,forced+confirmed,961,0.005,"[[1], [2], [4], [8]]"
32,2 2 2 2 2,2 2 2 2 2,5,5,5,6,forced+confirmed,114205,0.641,"[[0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 0]]"
32,4 2 2 2,2 2 2 4,5,5,5,6,forced+confirmed,19149,0.078,"[[0, 0, 0, 1], [0, 0, 1, 0], [0, 1, 0, 0], [1, 0, 0, 0], [2, 0, 0, 0]]"
32,4 4 2,2 4 4,5,5,5,6,forced+confirmed,6053,0.021,"[[0, 0, 1], [0, 1, 0], [0, 2, 0], [1, 0, 0], [2, 0, 0]]"
32,8 2 2,2 2 8,5,5,5,6,forced+confirmed,5097,0.019,"[[0, 0, 1], [0, 1, 0], [1, 0, 0], [2, 0, 0], [4, 0, 0]]"
32,8 4,4 8,5,5,5,6,forced+confirmed,2539,0.009,"[[0, 1], [0, 2], [1, 0], [2, 0], [4, 0]]"
32,16 2,2 16,5,5,5,6,forced+confirmed,2251,0.01,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
32,32,32,5,5,5,6,forced+confirmed,1435,0.006,"[[1], [2], [4], [8], [16]]"
33,11 3,33,5,5,5,6,forced+confirmed,1264,0.006,"[[1, 1], [2, 2], [3, 1], [4, 1], [5, 1]]"
34,17 2,34,5,5,5,6,forced+confirmed,1834,0.009,"[[0, 1], [1, 0], [2, 0], [4, 0], [8, 0]]"
35,7 5,35,5,5,5,6,forced+confirmed,1704,0.008,"[[1, 1], [1, 2], [2, 2], [2, 4], [3, 2]]"
