invariant_factors,N,t_log2N,concat_lb,mu,attained,deficiency,n_extremal,nodes,witness
2,2,1,1,1,1,0,,,FORCED(gap0)
3,3,1,1,1,1,0,,,FORCED(gap0)
4,4,2,2,2,1,0,,,FORCED(gap0)
2x2,4,2,2,2,1,0,,,FORCED(gap0)
5,5,2,2,2,1,0,,,FORCED(gap0)
6,6,2,2,2,1,0,,,FORCED(gap0)
7,7,2,2,2,1,0,,,FORCED(gap0)
8,8,3,3,3,1,0,,,FORCED(gap0)
2x4,8,3,3,3,1,0,,,FORCED(gap0)
2x2x2,8,3,3,3,1,0,,,FORCED(gap0)
9,9,3,3,3,1,0,,,FORCED(gap0)
3x3,9,3,2,2,0,1,6,10,"(0,1) (1,0)"
10,10,3,3,3,1,0,,,FORCED(gap0)
11,11,3,3,3,1,0,,,FORCED(gap0)
12,12,3,3,3,1,0,,,FORCED(gap0)
2x6,12,3,3,3,1,0,,,FORCED(gap0)
13,13,3,3,3,1,0,,,FORCED(gap0)
14,14,3,3,3,1,0,,,FORCED(gap0)
15,15,3,3,3,1,0,,,FORCED(gap0)
16,16,4,4,4,1,0,,,FORCED(gap0)
2x8,16,4,4,4,1,0,,,FORCED(gap0)
4x4,16,4,4,4,1,0,,,FORCED(gap0)
2x2x4,16,4,4,4,1,0,,,FORCED(gap0)
2x2x2x2,16,4,4,4,1,0,,,FORCED(gap0)
17,17,4,4,4,1,0,,,FORCED(gap0)
18,18,4,4,4,1,0,,,FORCED(gap0)
3x6,18,4,3,4,1,0,1,110,"(0,1) (1,1) (1,3) (1,5)"
19,19,4,4,4,1,0,,,FORCED(gap0)
20,20,4,4,4,1,0,,,FORCED(gap0)
2x10,20,4,4,4,1,0,,,FORCED(gap0)
21,21,4,4,4,1,0,,,FORCED(gap0)
22,22,4,4,4,1,0,,,FORCED(gap0)
23,23,4,4,4,1,0,,,FORCED(gap0)
24,24,4,4,4,1,0,,,FORCED(gap0)
2x12,24,4,4,4,1,0,,,FORCED(gap0)
2x2x6,24,4,4,4,1,0,,,FORCED(gap0)
25,25,4,4,4,1,0,,,FORCED(gap0)
5x5,25,4,4,4,1,0,,,FORCED(gap0)
26,26,4,4,4,1,0,,,FORCED(gap0)
27,27,4,4,4,1,0,,,FORCED(gap0)
3x9,27,4,4,4,1,0,,,FORCED(gap0)
3x3x3,27,4,3,3,0,1,234,325,"(0,0,1) (0,1,0) (1,0,0)"
28,28,4,4,4,1,0,,,FORCED(gap0)
2x14,28,4,4,4,1,0,,,FORCED(gap0)
29,29,4,4,4,1,0,,,FORCED(gap0)
30,30,4,4,4,1,0,,,FORCED(gap0)
31,31,4,4,4,1,0,,,FORCED(gap0)
32,32,5,5,5,1,0,,,FORCED(gap0)
2x16,32,5,5,5,1,0,,,FORCED(gap0)
4x8,32,5,5,5,1,0,,,FORCED(gap0)
2x2x8,32,5,5,5,1,0,,,FORCED(gap0)
2x4x4,32,5,5,5,1,0,,,FORCED(gap0)
2x2x2x4,32,5,5,5,1,0,,,FORCED(gap0)
2x2x2x2x2,32,5,5,5,1,0,,,FORCED(gap0)
33,33,5,5,5,1,0,,,FORCED(gap0)
34,34,5,5,5,1,0,,,FORCED(gap0)
35,35,5,5,5,1,0,,,FORCED(gap0)
36,36,5,5,5,1,0,,,FORCED(gap0)
2x18,36,5,5,5,1,0,,,FORCED(gap0)
3x12,36,5,4,5,1,0,25,2249,"(0,1) (0,2) (1,2) (1,6) (1,10)"
6x6,36,5,4,5,1,0,72,3187,"(0,1) (1,0) (1,2) (1,4) (3,2)"
37,37,5,5,5,1,0,,,FORCED(gap0)
38,38,5,5,5,1,0,,,FORCED(gap0)
39,39,5,5,5,1,0,,,FORCED(gap0)
40,40,5,5,5,1,0,,,FORCED(gap0)
2x20,40,5,5,5,1,0,,,FORCED(gap0)
2x2x10,40,5,5,5,1,0,,,FORCED(gap0)
41,41,5,5,5,1,0,,,FORCED(gap0)
42,42,5,5,5,1,0,,,FORCED(gap0)
43,43,5,5,5,1,0,,,FORCED(gap0)
44,44,5,5,5,1,0,,,FORCED(gap0)
2x22,44,5,5,5,1,0,,,FORCED(gap0)
45,45,5,5,5,1,0,,,FORCED(gap0)
3x15,45,5,4,5,1,0,352,5623,"(0,1) (0,2) (1,1) (1,6) (1,12)"
46,46,5,5,5,1,0,,,FORCED(gap0)
47,47,5,5,5,1,0,,,FORCED(gap0)
48,48,5,5,5,1,0,,,FORCED(gap0)
2x24,48,5,5,5,1,0,,,FORCED(gap0)
4x12,48,5,5,5,1,0,,,FORCED(gap0)
2x2x12,48,5,5,5,1,0,,,FORCED(gap0)
2x2x2x6,48,5,5,5,1,0,,,FORCED(gap0)
49,49,5,5,5,1,0,,,FORCED(gap0)
7x7,49,5,4,5,1,0,1008,8994,"(0,1) (1,0) (1,2) (1,4) (3,1)"
50,50,5,5,5,1,0,,,FORCED(gap0)
5x10,50,5,5,5,1,0,,,FORCED(gap0)
51,51,5,5,5,1,0,,,FORCED(gap0)
52,52,5,5,5,1,0,,,FORCED(gap0)
2x26,52,5,5,5,1,0,,,FORCED(gap0)
53,53,5,5,5,1,0,,,FORCED(gap0)
54,54,5,5,5,1,0,,,FORCED(gap0)
3x18,54,5,5,5,1,0,,,FORCED(gap0)
3x3x6,54,5,4,5,1,0,1170,14561,"(0,0,1) (0,1,0) (1,0,1) (1,0,3) (1,0,5)"
55,55,5,5,5,1,0,,,FORCED(gap0)
56,56,5,5,5,1,0,,,FORCED(gap0)
2x28,56,5,5,5,1,0,,,FORCED(gap0)
2x2x14,56,5,5,5,1,0,,,FORCED(gap0)
57,57,5,5,5,1,0,,,FORCED(gap0)
58,58,5,5,5,1,0,,,FORCED(gap0)
59,59,5,5,5,1,0,,,FORCED(gap0)
60,60,5,5,5,1,0,,,FORCED(gap0)
2x30,60,5,5,5,1,0,,,FORCED(gap0)
61,61,5,5,5,1,0,,,FORCED(gap0)
62,62,5,5,5,1,0,,,FORCED(gap0)
63,63,5,5,5,1,0,,,FORCED(gap0)
3x21,63,5,5,5,1,0,,,FORCED(gap0)
64,64,6,6,6,1,0,,,FORCED(gap0)
2x32,64,6,6,6,1,0,,,FORCED(gap0)
4x16,64,6,6,6,1,0,,,FORCED(gap0)
2x2x16,64,6,6,6,1,0,,,FORCED(gap0)
8x8,64,6,6,6,1,0,,,FORCED(gap0)
2x4x8,64,6,6,6,1,0,,,FORCED(gap0)
2x2x2x8,64,6,6,6,1,0,,,FORCED(gap0)
4x4x4,64,6,6,6,1,0,,,FORCED(gap0)
2x2x4x4,64,6,6,6,1,0,,,FORCED(gap0)
2x2x2x2x4,64,6,6,6,1,0,,,FORCED(gap0)
2x2x2x2x2x2,64,6,6,6,1,0,,,FORCED(gap0)
65,65,6,6,6,1,0,,,FORCED(gap0)
66,66,6,6,6,1,0,,,FORCED(gap0)
67,67,6,6,6,1,0,,,FORCED(gap0)
68,68,6,6,6,1,0,,,FORCED(gap0)
2x34,68,6,6,6,1,0,,,FORCED(gap0)
69,69,6,6,6,1,0,,,FORCED(gap0)
70,70,6,6,6,1,0,,,FORCED(gap0)
71,71,6,6,6,1,0,,,FORCED(gap0)
72,72,6,6,6,1,0,,,FORCED(gap0)
2x36,72,6,6,6,1,0,,,FORCED(gap0)
2x2x18,72,6,6,6,1,0,,,FORCED(gap0)
3x24,72,6,5,6,1,0,738,119694,"(0,1) (0,2) (0,4) (1,3) (1,11) (1,19)"
6x12,72,6,5,6,1,0,3169,169046,"(0,1) (0,2) (1,0) (1,4) (1,8) (3,4)"
2x6x6,72,6,5,6,1,0,12096,287269,"(0,0,1) (0,1,0) (0,1,2) (0,1,4) (0,3,2) (1,0,0)"
73,73,6,6,6,1,0,,,FORCED(gap0)
74,74,6,6,6,1,0,,,FORCED(gap0)
75,75,6,6,6,1,0,,,FORCED(gap0)
5x15,75,6,5,5,0,1,85155,139051,"(0,1) (0,2) (0,4) (1,0) (2,0)"
76,76,6,6,6,1,0,,,FORCED(gap0)
2x38,76,6,6,6,1,0,,,FORCED(gap0)
77,77,6,6,6,1,0,,,FORCED(gap0)
78,78,6,6,6,1,0,,,FORCED(gap0)
79,79,6,6,6,1,0,,,FORCED(gap0)
80,80,6,6,6,1,0,,,FORCED(gap0)
2x40,80,6,6,6,1,0,,,FORCED(gap0)
4x20,80,6,6,6,1,0,,,FORCED(gap0)
2x2x20,80,6,6,6,1,0,,,FORCED(gap0)
2x2x2x10,80,6,6,6,1,0,,,FORCED(gap0)
81,81,6,6,6,1,0,,,FORCED(gap0)
3x27,81,6,5,6,1,0,3348,211594,"(0,1) (0,2) (0,4) (1,2) (1,12) (1,21)"
9x9,81,6,6,6,1,0,,,FORCED(gap0)
3x3x9,81,6,5,5,0,1,103518,178399,"(0,0,1) (0,0,2) (0,0,4) (0,1,0) (1,0,0)"
3x3x3x3,81,6,4,4,0,2,63180,73360,"(0,0,0,1) (0,0,1,0) (0,1,0,0) (1,0,0,0)"
82,82,6,6,6,1,0,,,FORCED(gap0)
83,83,6,6,6,1,0,,,FORCED(gap0)
84,84,6,6,6,1,0,,,FORCED(gap0)
2x42,84,6,6,6,1,0,,,FORCED(gap0)
85,85,6,6,6,1,0,,,FORCED(gap0)
86,86,6,6,6,1,0,,,FORCED(gap0)
87,87,6,6,6,1,0,,,FORCED(gap0)
88,88,6,6,6,1,0,,,FORCED(gap0)
2x44,88,6,6,6,1,0,,,FORCED(gap0)
2x2x22,88,6,6,6,1,0,,,FORCED(gap0)
89,89,6,6,6,1,0,,,FORCED(gap0)
90,90,6,6,6,1,0,,,FORCED(gap0)
3x30,90,6,5,6,1,0,28244,500666,"(0,1) (0,2) (0,4) (1,1) (1,14) (1,23)"
91,91,6,6,6,1,0,,,FORCED(gap0)
92,92,6,6,6,1,0,,,FORCED(gap0)
2x46,92,6,6,6,1,0,,,FORCED(gap0)
93,93,6,6,6,1,0,,,FORCED(gap0)
94,94,6,6,6,1,0,,,FORCED(gap0)
95,95,6,6,6,1,0,,,FORCED(gap0)
96,96,6,6,6,1,0,,,FORCED(gap0)
2x48,96,6,6,6,1,0,,,FORCED(gap0)
4x24,96,6,6,6,1,0,,,FORCED(gap0)
2x2x24,96,6,6,6,1,0,,,FORCED(gap0)
2x4x12,96,6,6,6,1,0,,,FORCED(gap0)
2x2x2x12,96,6,6,6,1,0,,,FORCED(gap0)
2x2x2x2x6,96,6,6,6,1,0,,,FORCED(gap0)
97,97,6,6,6,1,0,,,FORCED(gap0)
98,98,6,6,6,1,0,,,FORCED(gap0)
7x14,98,6,5,6,1,0,90972,899133,"(0,1) (0,2) (1,0) (1,4) (1,8) (3,2)"
99,99,6,6,6,1,0,,,FORCED(gap0)
3x33,99,6,6,6,1,0,,,FORCED(gap0)
100,100,6,6,6,1,0,,,FORCED(gap0)
2x50,100,6,6,6,1,0,,,FORCED(gap0)
5x20,100,6,6,6,1,0,,,FORCED(gap0)
10x10,100,6,6,6,1,0,,,FORCED(gap0)
101,101,6,6,6,1,0,,,FORCED(gap0)
102,102,6,6,6,1,0,,,FORCED(gap0)
103,103,6,6,6,1,0,,,FORCED(gap0)
104,104,6,6,6,1,0,,,FORCED(gap0)
2x52,104,6,6,6,1,0,,,FORCED(gap0)
2x2x26,104,6,6,6,1,0,,,FORCED(gap0)
105,105,6,6,6,1,0,,,FORCED(gap0)
106,106,6,6,6,1,0,,,FORCED(gap0)
107,107,6,6,6,1,0,,,FORCED(gap0)
108,108,6,6,6,1,0,,,FORCED(gap0)
2x54,108,6,6,6,1,0,,,FORCED(gap0)
3x36,108,6,6,6,1,0,,,FORCED(gap0)
6x18,108,6,6,6,1,0,,,FORCED(gap0)
3x3x12,108,6,5,6,1,0,143208,1502660,"(0,0,1) (0,0,2) (0,1,0) (1,0,2) (1,0,6) (1,0,10)"
