name,v,k,lam,G,criterion
"SDS(100,34,10,[10,10])",100,34,10,"[10, 10]","T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,34,10,[100])",100,34,10,[100],"T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,34,10,[2,50])",100,34,10,"[2, 50]","T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,34,10,[5,20])",100,34,10,"[5, 20]","T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,45,4,[10,10])",100,45,4,"[10, 10]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,45,4,[2,50])",100,45,4,"[2, 50]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,45,4,[5,20])",100,45,4,"[5, 20]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,49,8,[10,10])",100,49,8,"[10, 10]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,49,8,[2,50])",100,49,8,"[2, 50]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,49,8,[5,20])",100,49,8,"[5, 20]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,58,14,[10,10])",100,58,14,"[10, 10]","T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,58,14,[100])",100,58,14,[100],"T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,58,14,[2,50])",100,58,14,"[2, 50]","T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,58,14,[5,20])",100,58,14,"[5, 20]","T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,58,2,[10,10])",100,58,2,"[10, 10]","T1: |G| even, k-lam=56 not a perfect square"
"SDS(100,58,2,[100])",100,58,2,[100],"T1: |G| even, k-lam=56 not a perfect square"
"SDS(100,58,2,[2,50])",100,58,2,"[2, 50]","T1: |G| even, k-lam=56 not a perfect square"
"SDS(100,58,2,[5,20])",100,58,2,"[5, 20]","T1: |G| even, k-lam=56 not a perfect square"
"SDS(100,70,46,[10,10])",100,70,46,"[10, 10]","T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,70,46,[100])",100,70,46,[100],"T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,70,46,[2,50])",100,70,46,"[2, 50]","T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,70,46,[5,20])",100,70,46,"[5, 20]","T1: |G| even, k-lam=24 not a perfect square"
"SDS(100,82,38,[10,10])",100,82,38,"[10, 10]","T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,82,38,[100])",100,82,38,[100],"T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,82,38,[2,50])",100,82,38,"[2, 50]","T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,82,38,[5,20])",100,82,38,"[5, 20]","T1: |G| even, k-lam=44 not a perfect square"
"SDS(100,82,6,[10,10])",100,82,6,"[10, 10]","T1: |G| even, k-lam=76 not a perfect square"
"SDS(100,82,6,[100])",100,82,6,[100],"T1: |G| even, k-lam=76 not a perfect square"
"SDS(100,82,6,[2,50])",100,82,6,"[2, 50]","T1: |G| even, k-lam=76 not a perfect square"
"SDS(100,82,6,[5,20])",100,82,6,"[5, 20]","T1: |G| even, k-lam=76 not a perfect square"
"SDS(100,88,4,[10,10])",100,88,4,"[10, 10]","T1: |G| even, k-lam=84 not a perfect square"
"SDS(100,88,4,[100])",100,88,4,[100],"T1: |G| even, k-lam=84 not a perfect square"
"SDS(100,88,4,[2,50])",100,88,4,"[2, 50]","T1: |G| even, k-lam=84 not a perfect square"
"SDS(100,88,4,[5,20])",100,88,4,"[5, 20]","T1: |G| even, k-lam=84 not a perfect square"
"SDS(100,91,2,[10,10])",100,91,2,"[10, 10]","T1: |G| even, k-lam=89 not a perfect square"
"SDS(100,91,2,[2,50])",100,91,2,"[2, 50]","T1: |G| even, k-lam=89 not a perfect square"
"SDS(100,91,2,[5,20])",100,91,2,"[5, 20]","T1: |G| even, k-lam=89 not a perfect square"
"SDS(100,91,50,[10,10])",100,91,50,"[10, 10]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,91,50,[2,50])",100,91,50,"[2, 50]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,91,50,[5,20])",100,91,50,"[5, 20]","T1: |G| even, k-lam=41 not a perfect square"
"SDS(100,99,10,[10,10])",100,99,10,"[10, 10]","T1: |G| even, k-lam=89 not a perfect square"
"SDS(100,99,10,[2,50])",100,99,10,"[2, 50]","T1: |G| even, k-lam=89 not a perfect square"
"SDS(100,99,10,[5,20])",100,99,10,"[5, 20]","T1: |G| even, k-lam=89 not a perfect square"
"SDS(101,100,15,[101])",101,100,15,[101],"T2: m=101 | exp(G)=101, p=17 self-conjugate mod 101, v_p(k-lam)=1 odd"
"SDS(101,100,35,[101])",101,100,35,[101],"T2: m=101 | exp(G)=101, p=13 self-conjugate mod 101, v_p(k-lam)=1 odd"
"SDS(101,100,48,[101])",101,100,48,[101],"T2: m=101 | exp(G)=101, p=13 self-conjugate mod 101, v_p(k-lam)=1 odd"
"SDS(101,100,8,[101])",101,100,8,[101],"T2: m=101 | exp(G)=101, p=23 self-conjugate mod 101, v_p(k-lam)=1 odd"
"SDS(101,24,3,[101])",101,24,3,[101],"T2: m=101 | exp(G)=101, p=3 self-conjugate mod 101, v_p(k-lam)=1 odd"
"SDS(101,29,5,[101])",101,29,5,[101],"T2: m=101 | exp(G)=101, p=2 self-conjugate mod 101, v_p(k-lam)=3 odd"
"SDS(101,29,7,[101])",101,29,7,[101],"T2: m=101 | exp(G)=101, p=2 self-conjugate mod 101, v_p(k-lam)=1 odd"
