name,status,comment,set_index,verdict,detail
"SDS(101,100,-1,[101])",Yes,Paley,0,VALID,
"SDS(103,52,24,[103])",Yes,Paley and zero,0,VALID,
"SDS(104,29,4,[104])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=1 is 8 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=4 is 8 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=2 is 0 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,4,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,5,INVALID,autocorrelation at d=2 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,6,INVALID,autocorrelation at d=1 is 8 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,7,INVALID,autocorrelation at d=2 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,8,INVALID,autocorrelation at d=2 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,9,INVALID,autocorrelation at d=2 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,10,INVALID,autocorrelation at d=1 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,11,INVALID,autocorrelation at d=6 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,12,INVALID,autocorrelation at d=1 is 0 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,13,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,14,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,15,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,16,INVALID,autocorrelation at d=1 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,17,INVALID,autocorrelation at d=1 is 8 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,18,INVALID,autocorrelation at d=1 is 8 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,19,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,20,INVALID,autocorrelation at d=1 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,21,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,22,INVALID,autocorrelation at d=2 is 2 != lam=4
"SDS(104,29,4,[104])",All,Orbit Exhaust,23,INVALID,autocorrelation at d=1 is 6 != lam=4
"SDS(107,54,25,[107])",All,Paley and zero,0,VALID,
"SDS(109,108,-1,[109])",Yes,Paley,0,VALID,
"SDS(109,81,6,[109])",Yes,Orbit exhaust with forced multiplier,0,VALID,
"SDS(11,6,1,[11])",All,Paley and zero,0,VALID,
"SDS(111,66,17,[111])",All,Orbit Exhaust,0,INVALID,autocorrelation at d=2 is 13 != lam=17
"SDS(111,66,17,[111])",All,Orbit Exhaust,1,INVALID,autocorrelation at d=1 is 25 != lam=17
"SDS(111,66,17,[111])",All,Orbit Exhaust,2,INVALID,autocorrelation at d=3 is 25 != lam=17
"SDS(111,66,17,[111])",All,Orbit Exhaust,3,INVALID,autocorrelation at d=1 is 13 != lam=17
"SDS(111,66,17,[111])",All,Orbit Exhaust,4,INVALID,autocorrelation at d=1 is 19 != lam=17
"SDS(111,66,17,[111])",All,Orbit Exhaust,5,INVALID,autocorrelation at d=1 is 21 != lam=17
