file,cell,n_pos,n_neg,verdict,detail,sha256
sds_25_12_1_c5xc5.json,"SDS(25,12,1,[5,5])",9,3,VALID,ok,1be9efec80639574ddc8b36511ac38b85a47219287e24404cfeac8de287f9d46
sds_27_10_1_3_3_3.json,"SDS(27,10,1,[3,3,3])",8,2,VALID,ok,0e95ade30225bfe8dc64ec360d9913f56003259b528b68f80e698ed1c2511e71
sds_27_10_1_3_9.json,"SDS(27,10,1,[3,9])",8,2,VALID,ok,5bf59924eadfbbaec7717ff5778ef1ee928679eeeb534471559d45af16616d27
sds_27_14_5_3_3_3.json,"SDS(27,14,5,[3,3,3])",13,1,VALID,ok,160382a0fd26a75f7c6125751434152b64cc8a3ad9e1e0b3eb143e402d7c28a9
sds_27_14_5_3_9.json,"SDS(27,14,5,[3,9])",13,1,VALID,ok,b0e1e8c828b30613634e6c4bfe711e47f7c376bd72bcfdeadb7c5649ba4ecb76
sds_27_17_8_3_3_3.json,"SDS(27,17,8,[3,3,3])",16,1,VALID,ok,1832ff68cb00c3f5218dd41553106cb07c002c2805191d277be97aa75db903f2
sds_32_20_4_2_16.json,"SDS(32,20,4,[2,16])",16,4,VALID,ok,4ac02b48513f14385bffd574a2b531d46223375baf7cdc3e398be7f70a433eff
sds_32_20_4_2_2_2_2_2.json,"SDS(32,20,4,[2,2,2,2,2])",16,4,VALID,ok,7b4fdd2a34ca1e61376a53169e7475bccecd69aa909d967b5d44011e4eabd101
sds_32_20_4_2_2_2_4.json,"SDS(32,20,4,[2,2,2,4])",16,4,VALID,ok,d099f73f04a3233d8802183e714edfa3cbdc396c252f02dd3dc45dba99910334
sds_32_20_4_2_2_8.json,"SDS(32,20,4,[2,2,8])",16,4,VALID,ok,7b6c903b5b6c7c788615ec9a3ea2b67eb8ff41e538e23085c97b842219144799
sds_32_20_4_2_4_4.json,"SDS(32,20,4,[2,4,4])",16,4,VALID,ok,b6b9de3b1bd7f821e1d79ffcd03fc92e9931f245429825d1f01e53342e896dc1
sds_32_20_4_4_8.json,"SDS(32,20,4,[4,8])",16,4,VALID,ok,d22db64868c4632dde42cf06c2f8ad4f36378cec7a8b62f77fa39f022f362540
sds_32_28_12_2_4_4.json,"SDS(32,28,12,[2,4,4])",24,4,VALID,ok,c99d1a823145ccbdc68216dc2149b2f96711a5a6564b76de4ecf8251946bd113
sds_32_28_12_4_8.json,"SDS(32,28,12,[4,8])",24,4,VALID,ok,b3d6206389fd754c1e796f57bcc29652fbeec87ceb4a47e47281fad60adaf72b
sds_36_11_2_3_12.json,"SDS(36,11,2,[3,12])",10,1,VALID,ok,6026d2446cd20368ab91bb2b8c3dad327fe374b639f74a77230680586598f268
sds_36_11_2_6_6.json,"SDS(36,11,2,[6,6])",10,1,VALID,ok,24c261a45c89c45d3b813436d025f43b81c3beb07fd80b7c51c6bfcac6904cce
