disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 12 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 12 10 6 | 0 5 10 8 7 | 0 6 8 | 0 7 6 10 9 | 0 8 10 | 0 9 8 6 5 12 11 | 0 10 12 | 0 11 10 5 1 14 13 | 0 12 14 | 0 13 12 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 12 11 3 2 | 0 1 3 | 0 2 1 11 10 5 4 | 0 3 5 | 0 4 3 10 9 7 6 | 0 5 7 | 0 6 5 9 8 | 0 7 9 | 0 8 7 5 10 | 0 9 5 3 11 | 0 10 3 1 12 | 0 11 1 14 13 | 0 12 14 | 0 13 12 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 12 11 9 2 | 0 1 9 7 3 | 0 2 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 2 9 8 | 0 7 9 | 0 8 7 2 1 11 10 | 0 9 11 | 0 10 9 1 12 | 0 11 1 14 13 | 0 12 14 | 0 13 12 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 9 2 | 0 1 9 7 6 4 3 | 0 2 4 | 0 3 2 6 5 | 0 4 6 | 0 5 4 2 7 | 0 6 2 9 8 | 0 7 9 | 0 8 7 2 1 14 10 | 0 9 14 12 11 | 0 10 12 | 0 11 10 14 13 | 0 12 14 | 0 13 12 10 9 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 15 10 6 | 0 5 10 8 7 | 0 6 8 | 0 7 6 10 9 | 0 8 10 | 0 9 8 6 5 15 11 | 0 10 15 13 12 | 0 11 13 | 0 12 11 15 14 | 0 13 15 | 0 14 13 11 10 5 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 9 8 3 2 | 0 1 3 | 0 2 1 8 4 | 0 3 8 6 5 | 0 4 6 | 0 5 4 8 7 | 0 6 8 | 0 7 6 4 3 1 9 | 0 8 1 14 13 11 10 | 0 9 11 | 0 10 9 13 12 | 0 11 13 | 0 12 11 9 14 | 0 13 9 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 15 7 6 | 0 5 7 | 0 6 5 15 8 | 0 7 15 13 9 | 0 8 13 11 10 | 0 9 11 | 0 10 9 13 12 | 0 11 13 | 0 12 11 9 8 15 14 | 0 13 15 | 0 14 13 8 7 5 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 12 11 3 2 | 0 1 3 | 0 2 1 11 4 | 0 3 11 6 5 | 0 4 6 | 0 5 4 11 10 8 7 | 0 6 8 | 0 7 6 10 9 | 0 8 10 | 0 9 8 6 11 | 0 10 6 4 3 1 12 | 0 11 1 14 13 | 0 12 14 | 0 13 12 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 9 2 | 0 1 9 7 3 | 0 2 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 2 9 8 | 0 7 9 | 0 8 7 2 1 14 13 11 10 | 0 9 11 | 0 10 9 13 12 | 0 11 13 | 0 12 11 9 14 | 0 13 9 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 9 2 | 0 1 9 4 3 | 0 2 4 | 0 3 2 9 8 6 5 | 0 4 6 | 0 5 4 8 7 | 0 6 8 | 0 7 6 4 9 | 0 8 4 2 1 14 13 11 10 | 0 9 11 | 0 10 9 13 12 | 0 11 13 | 0 12 11 9 14 | 0 13 9 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 5 3 2 | 0 1 3 | 0 2 1 5 4 | 0 3 5 | 0 4 3 1 15 13 12 10 9 7 6 | 0 5 7 | 0 6 5 9 8 | 0 7 9 | 0 8 7 5 10 | 0 9 5 12 11 | 0 10 12 | 0 11 10 5 13 | 0 12 5 15 14 | 0 13 15 | 0 14 13 5 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 6 2 | 0 1 6 4 3 | 0 2 4 | 0 3 2 6 5 | 0 4 6 | 0 5 4 2 1 14 7 | 0 6 14 9 8 | 0 7 9 | 0 8 7 14 10 | 0 9 14 12 11 | 0 10 12 | 0 11 10 14 13 | 0 12 14 | 0 13 12 10 9 7 6 1 15 | 0 14 1
disc=4 n=16 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 | 0 15 14 3 2 | 0 1 3 | 0 2 1 14 7 5 4 | 0 3 5 | 0 4 3 7 6 | 0 5 7 | 0 6 5 3 14 9 8 | 0 7 9 | 0 8 7 14 10 | 0 9 14 12 11 | 0 10 12 | 0 11 10 14 13 | 0 12 14 | 0 13 12 10 9 7 3 1 15 | 0 14 1
