k=21 m=3: reach 38 (2k=42), nodes 9867, surv 0, EXHAUSTED [14s]
k=21 m=5: reach 32 (2k=42), nodes 2563, surv 0, EXHAUSTED [2s]
k=21 m=7: reach 42 (2k=42), nodes 22501, surv 0, EXHAUSTED [39s]
k=21 m=9: reach 28 (2k=42), nodes 803, surv 0, EXHAUSTED [0s]
k=21 m=13: reach 40 (2k=42), nodes 17171, surv 0, EXHAUSTED [27s]
k=21 m=15: reach 26 (2k=42), nodes 539, surv 0, EXHAUSTED [0s]
k=21 m=17: reach 36 (2k=42), nodes 5687, surv 0, EXHAUSTED [6s]
k=21 m=19: reach 30 (2k=42), nodes 1199, surv 0, EXHAUSTED [1s]
k=21 m=21: reach 42 (2k=42), nodes 7465, surv 0, EXHAUSTED [13s]
k=22 m=3: reach 44 (2k=44), nodes 50508, surv 0, EXHAUSTED [77s]
k=22 m=5: reach 44 (2k=44), nodes 72802, surv 0, EXHAUSTED [98s]
k=22 m=7: reach 44 (2k=44), nodes 55495, surv 0, EXHAUSTED [78s]
k=22 m=9: reach 66 (2k=44), nodes 43577, surv 1, EXHAUSTED [65s]
SURVIVOR FOUND — stopping scan for inspection
