k=22 m=3: reach 44 (2k=44), nodes 50508, surv 0, EXHAUSTED [78s]
k=22 m=5: reach 44 (2k=44), nodes 72802, surv 0, EXHAUSTED [98s]
k=22 m=7: reach 44 (2k=44), nodes 55495, surv 0, EXHAUSTED [79s]
k=22 m=9: reach 66 (2k=44), nodes 59547, surv 0, EXHAUSTED [90s]
k=22 m=13: reach 66 (2k=44), nodes 53002, surv 0, EXHAUSTED [81s]
k=22 m=15: reach 45 (2k=44), nodes 56626, surv 0, EXHAUSTED [83s]
k=22 m=17: reach 44 (2k=44), nodes 57583, surv 0, EXHAUSTED [82s]
k=22 m=19: reach 45 (2k=44), nodes 59509, surv 0, EXHAUSTED [95s]
k=22 m=21: reach 44 (2k=44), nodes 56908, surv 0, EXHAUSTED [84s]
k=23 m=3: reach 39 (2k=46), nodes 9400, surv 0, EXHAUSTED [9s]
k=23 m=5: reach 38 (2k=46), nodes 17263, surv 0, EXHAUSTED [19s]
k=23 m=7: reach 43 (2k=46), nodes 17575, surv 0, EXHAUSTED [24s]
k=23 m=9: reach 44 (2k=46), nodes 50437, surv 0, EXHAUSTED [77s]
k=23 m=13: reach 41 (2k=46), nodes 12525, surv 0, EXHAUSTED [14s]
k=23 m=15: reach 46 (2k=46), nodes 64157, surv 0, EXHAUSTED [88s]
k=23 m=17: reach 37 (2k=46), nodes 12036, surv 0, EXHAUSTED [11s]
k=23 m=19: reach 41 (2k=46), nodes 29156, surv 0, EXHAUSTED [39s]
k=23 m=21: reach 46 (2k=46), nodes 64052, surv 0, EXHAUSTED [85s]
k=24 m=3: reach 48 (2k=48), nodes 20713, surv 0, EXHAUSTED [25s]
k=24 m=5: reach 48 (2k=48), nodes 37078, surv 0, EXHAUSTED [47s]
k=24 m=7: reach 33 (2k=48), nodes 3550, surv 0, EXHAUSTED [2s]
k=24 m=9: reach 43 (2k=48), nodes 15335, surv 0, EXHAUSTED [18s]
k=24 m=13: reach 37 (2k=48), nodes 8390, surv 0, EXHAUSTED [7s]
k=24 m=15: reach 44 (2k=48), nodes 13920, surv 0, EXHAUSTED [16s]
k=24 m=17: reach 48 (2k=48), nodes 45904, surv 0, EXHAUSTED [52s]
k=24 m=19: reach 43 (2k=48), nodes 21432, surv 0, EXHAUSTED [22s]
k=24 m=21: reach 48 (2k=48), nodes 12986, surv 0, EXHAUSTED [16s]
k=25 m=3: reach 46 (2k=50), nodes 400009, surv 0, CAPPED [468s]
k=25 m=5: reach 46 (2k=50), nodes 400022, surv 0, CAPPED [456s]
k=25 m=7: reach 36 (2k=50), nodes 41289, surv 0, EXHAUSTED [38s]
k=25 m=9: reach 51 (2k=50), nodes 400000, surv 0, CAPPED [455s]
k=25 m=13: reach 65 (2k=50), nodes 400018, surv 0, CAPPED [506s]
k=25 m=15: reach 35 (2k=50), nodes 37948, surv 0, EXHAUSTED [34s]
k=25 m=17: reach 46 (2k=50), nodes 400015, surv 0, CAPPED [473s]
