cube,status,seconds,conflicts,proof_sha256,note
37.31.43.-33,INDET,0.38,,,
37.31.43.-33,SPLIT,0.38,,,->16 kids
37.31.43.33,INDET,0.41,,,
37.31.43.33,SPLIT,0.41,,,->16 kids
37.31.-43.33,INDET,0.16,,,
37.31.-43.33,SPLIT,0.16,,,->16 kids
37.-31.43.33,INDET,0.01,,,
37.-31.43.33,SPLIT,0.01,,,->16 kids
37.-31.43.-33,INDET,0.17,,,
37.-31.43.-33,SPLIT,0.17,,,->16 kids
37.31.-43.-33,INDET,0.49,,,
37.31.-43.-33,SPLIT,0.49,,,->16 kids
37.-31.-43.33,INDET,0.18,,,
37.-31.-43.33,SPLIT,0.18,,,->16 kids
-37.31.43.33,INDET,0.05,,,
-37.31.43.33,SPLIT,0.05,,,->16 kids
-37.31.43.-33,INDET,0.05,,,
-37.31.43.-33,SPLIT,0.05,,,->16 kids
-37.31.-43.33,INDET,0.49,,,
-37.31.-43.33,SPLIT,0.49,,,->16 kids
-37.31.-43.-33,INDET,0.10,,,
-37.31.-43.-33,SPLIT,0.10,,,->16 kids
-37.-31.43.33,INDET,0.14,,,
-37.-31.43.33,SPLIT,0.14,,,->16 kids
37.-31.-43.-33,UNSAT,0.41,10872,c2a2c322e7031994a9664ddfd2ce046effe134672a1f0b40e53926695f370d37,740274
-37.-31.-43.33,INDET,0.12,,,
-37.-31.-43.33,SPLIT,0.12,,,->16 kids
-37.-31.-43.-33,INDET,0.04,,,
-37.-31.-43.-33,SPLIT,0.04,,,->16 kids
-37.-31.43.-33,UNSAT,0.23,7482,d23930c03df229a39e4c7fce945d56a99511fe089c17d1cb3c57972cdcfb4af1,468294
37.31.43.-33.41.34.40.-29,UNSAT,0.07,1059,aff2db4e77865eabe49c5b8622de3d077873582ab9f2c9446f3cac1493122d12,48787
37.31.43.-33.41.34.40.29,UNSAT,0.08,1358,8d89aa0b4769355bfe2a7069cf9d02b17a207f5e24317c1f9402bcc789dee8dc,62864
37.31.43.-33.41.34.-40.-29,UNSAT,0.07,2613,07608b0618564b570c89444b5f20594473305984d98625110303f49aff90351a,139323
37.31.43.-33.41.34.-40.29,UNSAT,0.08,3186,61ab6332642438c09ba200b8ccc0f90b79b89944958821ff99f76aa041f697c1,187232
37.31.43.-33.41.-34.40.-29,INDET,0.00,,,
37.31.43.-33.41.-34.40.-29,SPLIT,0.00,,,->16 kids
37.31.43.-33.41.-34.-40.29,UNSAT,0.03,1304,a61ab1bfcd13af54a9db1e647a191fa15cba5c54fab61aff301167e823b2ee53,58810
37.31.43.-33.41.-34.40.29,UNSAT,0.05,1924,87eb8ee872312c3dc32e0c254d140d83dc7412c24fd67b1bf0eb88641785e2e8,86188
37.31.43.-33.41.-34.-40.-29,UNSAT,0.02,957,e1321879d3cc4fe1db8c11f7ed32c577a2323f9655b0ebcfb42bf5e15b863211,45894
37.31.43.-33.-41.34.40.29,UNSAT,0.02,1149,ca7ccfb01854ba4a2ae810c60bf79d93cc835f4b71a71772dd02062c8f24d9ed,54119
37.31.43.-33.-41.34.40.-29,UNSAT,0.01,778,96ffd8f1a83aaca694c2dca114f599aa15daa6063ecbc8a5f2fbc00856dfe717,37774
37.31.43.-33.-41.34.-40.-29,UNSAT,0.02,1097,94cdebfc992c0903052292e6a4eb75f49cb70ea7ed11857cbf49ea5deb542441,51745
37.31.43.-33.-41.-34.40.29,INDET,0.02,,,
37.31.43.-33.-41.-34.40.29,SPLIT,0.02,,,->16 kids
37.31.43.-33.-41.34.-40.29,UNSAT,0.05,1771,36a8e5bd91b7964bae5fe5307ed4118c927f17455bf83c0a2efeda8405c43c31,78969
37.31.43.-33.-41.-34.40.-29,UNSAT,0.03,1077,ff3d00ea81f181d39f17dd4059e9de59067c8fa1dff60c18d9f47b871933f46a,50507
